Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
23.56,0.0,1,1,Takács Boglárka,1,BHSE,F1,Nyíregyháza (HUN),2024.2.18
23.7,0.0,2,2,Sulyán Alexa,5,MATE - GEAC,F1,Nyíregyháza (HUN),2024.2.18
23.73,0.0,-,3,Sulyán Alexa,5,MATE - GEAC,F1,Nyíregyháza (HUN),2024.2.25
23.95,0.0,-,4,Sulyán Alexa,5,MATE - GEAC,F9,Nyíregyháza (HUN),2024.1.27
24.01,0.0,-,5,Sulyán Alexa,5,MATE - GEAC,F1,Nyíregyháza (HUN),2024.1.2
24.14,0.0,3,6,Szentgyörgyi Zita,6,MTK Budapest,F4,Budapest (HUN),2024.1.28
24.32,0.0,4,7,Molnár Janka,1,TSC-Geotech,F1,Nyíregyháza (HUN),2024.2.18
24.34,0.0,-,8,Molnár Janka,1,TSC-Geotech,F1,Nyíregyháza (HUN),2024.1.2
24.41,0.0,5,9,Brucker Lili,6,UTE,F1,Nyíregyháza (HUN),2024.2.25
24.56,0.0,6,10,Füleky Dorottya,0,TSC-Geotech,F2,Nyíregyháza (HUN),2024.2.18
24.6,0.0,7,11,Kőszegi Míra,2,BHSE,F1,Budapest (HUN),2024.2.1
24.61,0.0,-,12,Kőszegi Míra,2,BHSE,F2,Nyíregyháza (HUN),2024.2.18
24.65,0.0,8,13,Besenyődi Petra,6,SVSE,F1,Nyíregyháza (HUN),2024.2.25
24.76,0.0,9,14,Csóti Jusztina,98,FTC,F1,Budapest (HUN),2024.1.28
24.79,0.0,10,15,Bathó Borbála,1,BHSE,F2,Nyíregyháza (HUN),2024.2.18
24.82,0.0,-,16,Bathó Borbála,1,BHSE,F2,Budapest (HUN),2024.2.1
24.86,0.0,-,17,Besenyődi Petra,6,SVSE,F3,Nyíregyháza (HUN),2024.2.18
24.93,0.0,-,18,Kőszegi Míra,2,BHSE,F1,Nyíregyháza (HUN),2024.1.27
25.0,0.0,11,19,Pfiszterer Dorina,8,TSC-Geotech,F1,Nyíregyháza (HUN),2024.2.25
25.04,0.0,12,20,Fodor Júlia,1,Vasas,F4,Nyíregyháza (HUN),2024.2.18
25.2,0.0,-,21,Füleky Dorottya,0,TSC-Geotech,F2,Nyíregyháza (HUN),2024.1.2
25.2,0.0,-,21,Besenyődi Petra,6,SVSE,F2,Budapest (HUN),2024.1.28
25.21,0.0,-,23,Kőszegi Míra,2,BHSE,F3,Nyíregyháza (HUN),2024.1.2
25.22,0.0,13,24,Bottlik Judit,98,BHSE,F1,Nyíregyháza (HUN),2024.1.27
25.25,0.0,-,25,Brucker Lili,6,UTE,F7,Nyíregyháza (HUN),2024.1.2
25.28,0.0,-,26,Bathó Borbála,1,BHSE,F4,Nyíregyháza (HUN),2024.1.2
25.28,0.0,-,26,Bathó Borbála,1,BHSE,F3,Budapest (HUN),2024.1.28
25.29,0.0,-,28,Bottlik Judit,98,BHSE,F2,Budapest (HUN),2024.2.1
25.3,0.0,-,29,Bottlik Judit,98,BHSE,F3,Nyíregyháza (HUN),2024.2.18
25.31,0.0,-,30,Besenyődi Petra,6,SVSE,F1,Budapest (HUN),2024.2.1
25.32,0.0,-,31,Brucker Lili,6,UTE,F3,Nyíregyháza (HUN),2024.2.18
25.33,0.0,14,32,Lalik Petra,6,DVTK,F1,Nyíregyháza (HUN),2024.2.25
25.35,0.0,15,33,Szikossy Szilvia,3,FTC,F3,Budapest (HUN),2024.2.1
25.36,0.0,-,34,Lalik Petra,6,DVTK,F1,Nyíregyháza (HUN),2024.1.27
25.37,0.0,16,35,Darai Laura,7,DSC-SI,F1,Nyíregyháza (HUN),2024.1.27
25.42,0.0,-,36,Fodor Júlia,1,Vasas,F2,Budapest (HUN),2024.1.28
25.43,0.0,17,37,Mohai Regina,3,MTK Budapest,F1,Budapest (HUN),2024.1.28
25.56,0.0,18,38,Boldogh Boróka,7,DVTK,F9,Nyíregyháza (HUN),2024.2.25
25.59,0.0,19,39,Hargittai Zsófia,8,A-Plast Ikarus BSE,F3,Nyíregyháza (HUN),2024.2.25
25.6,0.0,-,40,Lalik Petra,6,DVTK,F3,Nyíregyháza (HUN),2024.2.18
25.61,0.0,20,41,Decker Szonja,2,Vasas,F4,Budapest (HUN),2024.2.1
25.64,0.0,21,42,Keszthelyi Szonja,8,DSC-SI,F1,Nyíregyháza (HUN),2024.2.25
25.74,0.0,-,43,Decker Szonja,2,Vasas,F4,Nyíregyháza (HUN),2024.2.18
25.83,0.0,22,44,Kovács Viktória,7,Haladás VSE,F2,Nyíregyháza (HUN),2024.2.25
25.84,0.0,23,45,Erdei Tamara,99,MTK Budapest,F4,Nyíregyháza (HUN),2024.1.2
25.89,0.0,24,46,Ecseri Angéla,6,Szolnoki MÁV-SE,F4,Nyíregyháza (HUN),2024.2.18
25.9,0.0,-,47,Decker Szonja,2,Vasas,F5,Budapest (HUN),2024.1.28
25.92,0.0,25,48,Csahóczi Kamilla,8,Keszthely VDSE,F1,Nyíregyháza (HUN),2024.2.25
25.93,0.0,-,49,Darai Laura,7,DSC-SI,F2,Nyíregyháza (HUN),2024.1.2
25.98,0.0,26,50,Huszka Blanka,4,KARC,F5,Nyíregyháza (HUN),2024.2.18
26.06,0.0,27,51,Kalmár Alíz,5,UTE,F2,Nyíregyháza (HUN),2024.2.25
26.13,0.0,-,52,Ecseri Angéla,6,Szolnoki MÁV-SE,F1,Nyíregyháza (HUN),2024.2.25
26.18,0.0,-,53,Keszthelyi Szonja,8,DSC-SI,F2,Nyíregyháza (HUN),2024.1.27
26.21,0.0,-,54,Csahóczi Kamilla,8,Keszthely VDSE,F13,Budapest (HUN),2024.1.28
26.22,0.0,28,55,Nagy Pálma,1,ZALASZÁM-ZAC,F3,Budapest (HUN),2024.1.28
26.23,0.0,29,56,Ekler Luca,98,TFSE,F4,Budapest (HUN),2024.1.28
26.23,0.0,29,56,Németh Mimi,8,Németh-Gerely AC SE,F2,Nyíregyháza (HUN),2024.2.25
26.24,0.0,-,58,Ecseri Angéla,6,Szolnoki MÁV-SE,F1,Nyíregyháza (HUN),2024.1.27
26.25,0.0,31,59,Sákovics Janka,7,Haladás VSE,F1,Nyíregyháza (HUN),2024.2.25
26.26,0.0,-,60,Sákovics Janka,7,Haladás VSE,F6,Budapest (HUN),2024.2.1
26.33,0.0,32,61,Sipos Borbála,99,KSI SE,F5,Nyíregyháza (HUN),2024.2.18
26.35,0.0,33,62,Szücs Dóra,2,FTC,F3,Budapest (HUN),2024.2.1
26.35,0.0,33,62,Weiner Anna,4,BHSE,F5,Nyíregyháza (HUN),2024.2.18
26.36,0.0,35,64,Búzás Mara,7,DSC-SI,F3,Nyíregyháza (HUN),2024.2.25
26.38,0.0,-,65,Huszka Blanka,4,KARC,F10,Budapest (HUN),2024.1.28
26.38,0.0,36,65,Polgár Zsófia,9,Győri Atlétikai Club,F5,Budapest (HUN),2024.1.28
26.38,0.0,36,65,Radics Luca,6,Győri Atlétikai Club,F2,Nyíregyháza (HUN),2024.2.25
26.4,0.0,38,68,Szmolár Boglárka,7,VSD,F6,Budapest (HUN),2024.1.28
26.44,0.0,39,69,Erdős Viktória,5,DSC-SI,F3,Nyíregyháza (HUN),2024.2.25
26.48,0.0,-,70,Szücs Dóra,2,FTC,F9,Nyíregyháza (HUN),2024.1.2
26.5,0.0,40,71,Ablonczy Lili,5,DSC-SI,F4,Nyíregyháza (HUN),2024.1.27
