Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
23.75,1.9,1,1,Kaptur Éva,87,MATE - GEAC,F,Szombathely (HUN),2016.6.26
23.99,1.4,2,2,Csóti Jusztina,98,ZALASZÁM-ZAC,F,Szombathely (HUN),2016.6.26
24.05,1.0,-,3,Kaptur Éva,87,MATE - GEAC,F,Székesfehérvár (HUN),2016.7.18
24.09,1.5,-,4,Kaptur Éva,87,MATE - GEAC,F1,Budapest (HUN),2016.8.19
24.17,-1.2,-,5,Kaptur Éva,87,MATE - GEAC,F2,Genève (SUI),2016.6.11
24.23,2.0,3,6,Nádházy Evelin,95,BHSE,F,Szombathely (HUN),2016.6.26
24.24,1.4,4,7,Ferenczi Melinda,97,ZALASZÁM-ZAC,F,Szombathely (HUN),2016.6.26
24.25,-0.8,-,8,Kaptur Éva,87,MATE - GEAC,F,Miskolc (HUN),2016.5.29
24.25,-0.8,-,8,Kaptur Éva,87,MATE - GEAC,F,Miskolc (HUN),2016.5.29
24.35,1.0,-,10,Csóti Jusztina,98,ZALASZÁM-ZAC,F1,Budapest (HUN),2016.6.18
24.39,0.0,-,11,Nádházy Evelin,95,BHSE,F1,Debrecen (HUN),2016.5.15
24.39,0.6,-,11,Ferenczi Melinda,97,ZALASZÁM-ZAC,F,Miskolc (HUN),2016.7.01
24.4,0.0,5,13,Kozák Luca,96,DSC-SI,F1,Debrecen (HUN),2016.5.15
24.4,-0.8,-,13,Csóti Jusztina,98,ZALASZÁM-ZAC,F,Budapest (HUN),2016.9.04
24.41,1.0,6,15,Renkó Evelin,99,VEDAC,F1,Budapest (HUN),2016.6.18
24.46,0.0,-,16,Kaptur Éva,87,MATE - GEAC,F1,Debrecen (HUN),2016.5.15
24.46,-0.8,-,16,Kaptur Éva,87,MATE - GEAC,F,Budapest (HUN),2016.9.04
24.49,-0.7,-,18,Csóti Jusztina,98,ZALASZÁM-ZAC,F1,Székesfehérvár (HUN),2016.9.11
24.5,-2.1,-,19,Kaptur Éva,87,MATE - GEAC,F1,Debrecen (HUN),2016.6.05
24.54,1.5,-,20,Nádházy Evelin,95,BHSE,F1,Budapest (HUN),2016.8.19
24.55,1.1,-,21,Csóti Jusztina,98,ZALASZÁM-ZAC,H4,Bydgoszcz (POL),2016.7.22
24.55,1.5,-,21,Csóti Jusztina,98,ZALASZÁM-ZAC,F1,Budapest (HUN),2016.8.19
24.57,1.0,-,23,Nádházy Evelin,95,BHSE,F1,Budapest (HUN),2016.6.18
24.57,-0.7,-,23,Kaptur Éva,87,MATE - GEAC,F1,Székesfehérvár (HUN),2016.9.11
24.58,2.0,-,25,Renkó Evelin,99,VEDAC,F,Miskolc (HUN),2016.7.03
24.58,1.8,-,25,Renkó Evelin,99,VEDAC,H2,Tbilisi (GEO),2016.7.15
24.6,-1.4,-,27,Kaptur Éva,87,MATE - GEAC,F1,Namur (BEL),2016.5.25
24.65,1.1,-,28,Nádházy Evelin,95,BHSE,F,Debrecen (HUN),2016.7.09
24.65,1.3,-,28,Renkó Evelin,99,VEDAC,SF3,Tbilisi (GEO),2016.7.16
24.66,0.2,-,30,Kaptur Éva,87,MATE - GEAC,F,Velenje (SLO),2016.8.31
24.68,1.1,-,31,Ferenczi Melinda,97,ZALASZÁM-ZAC,F,Debrecen (HUN),2016.7.09
24.72,-3.5,-,32,Kaptur Éva,87,MATE - GEAC,F,Székesfehérvár (HUN),2016.7.31
24.73,1.0,7,33,Guba Liliána,95,NYSC,F1,Budapest (HUN),2016.6.18
24.77,2.0,8,34,Furulyás Lili,0,UTE,F,Miskolc (HUN),2016.7.03
24.83,-0.8,9,35,Komiszár Kriszta,92,MATE - GEAC,F,Miskolc (HUN),2016.5.29
24.84,0.0,-,36,Komiszár Kriszta,92,MATE - GEAC,F2,Debrecen (HUN),2016.5.15
24.84,-2.1,-,36,Guba Liliána,95,NYSC,F1,Debrecen (HUN),2016.6.05
24.84,-0.7,-,36,Nádházy Evelin,95,BHSE,F1,Székesfehérvár (HUN),2016.9.11
24.85,-3.5,-,39,Csóti Jusztina,98,ZALASZÁM-ZAC,F,Székesfehérvár (HUN),2016.7.31
24.87,-0.4,-,40,Csóti Jusztina,98,ZALASZÁM-ZAC,F1,Zalaegerszeg (HUN),2016.6.11
24.89,-0.4,-,41,Ferenczi Melinda,97,ZALASZÁM-ZAC,F1,Zalaegerszeg (HUN),2016.6.11
