Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
6:25.12,1,1,File Zita,88,DSC-SI,F,Budapest (HUN),2016.5.22
6:26.63,2,2,Wagner-Gyürkés Viktória,92,A-Plast Ikarus BSE,F,Budapest (HUN),2016.5.22
6:30.32,3,3,Kószás Kriszta,94,Győri Atlétikai Club,F,Budapest (HUN),2016.5.22
6:40.64,4,4,Pavuk Tíra,99,Békéscsabai AC,F,Budapest (HUN),2016.5.22
6:41.70,-,5,Pavuk Tíra,99,Békéscsabai AC,F,Tbilisi (GEO),2016.7.16
6:45.46,5,6,Somogyi Anett,96,VEDAC,F,Budapest (HUN),2016.5.22
6:45.56,6,7,Vindics-Tóth Lili,98,DOVASE,F,Budapest (HUN),2016.5.22
6:47.73,-,8,Pavuk Tíra,99,Békéscsabai AC,F,Brno (CZE),2016.6.11
6:50.61,-,9,Pavuk Tíra,99,Békéscsabai AC,H1,Tbilisi (GEO),2016.7.14
7:01.34,7,10,Mógor Boglárka,99,UTE,F,Budapest (HUN),2016.5.22
7:01.86,-,11,Mógor Boglárka,99,UTE,F,Brno (CZE),2016.6.11
7:04.04,-,12,Mógor Boglárka,99,UTE,F,Miskolc (HUN),2016.7.02
7:11.84,-,13,Mógor Boglárka,99,UTE,F,Debrecen (HUN),2016.6.04
7:23.17,-,14,Mógor Boglárka,99,UTE,H1,Tbilisi (GEO),2016.7.14
7:26.16,8,15,Kocsis Kata,0,AC Bonyhád,F,Debrecen (HUN),2016.6.04
7:29.32,-,16,Kocsis Kata,0,AC Bonyhád,F,Miskolc (HUN),2016.7.02
7:36.82,-,17,Kocsis Kata,0,AC Bonyhád,F,Budapest (HUN),2016.5.22
8:29.97,9,18,Strijk Johanna,0,DOVASE,F,Miskolc (HUN),2016.7.02
8:57.10,10,19,Ludmán Eszter,0,MATE - GEAC,F,Debrecen (HUN),2016.6.04
9:02.18,11,20,Németh Eszter,99,MATE - GEAC,F,Miskolc (HUN),2016.7.02
6:18.43,1,1,Wagner-Gyürkés Viktória,92,A-Plast Ikarus BSE,F,Debrecen (HUN),2017.5.2
6:29.75,2,2,File Zita,88,DSC-SI,F,Debrecen (HUN),2017.5.2
6:38.95,3,3,Kószás Kriszta,94,Győri Atlétikai Club,F,Debrecen (HUN),2017.5.2
6:42.40,4,4,Horváth Karolina,2,Csepeli DAC,F,Debrecen (HUN),2017.5.2
6:44.88,5,5,Pavuk Tíra,99,Békéscsabai AC,F,Debrecen (HUN),2017.5.2
6:48.04,6,6,Mógor Boglárka,99,BHSE,F,Debrecen (HUN),2017.5.2
6:51.04,-,7,Horváth Karolina,2,Csepeli DAC,F,Győr (HUN),2017.7.28
6:53.23,7,8,Urbán Zita,2,A-Plast Ikarus BSE,F,Miskolc (HUN),2017.6.16
