Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
14:02.09,1,1,Récsei Rita,96,BHSE,F,Budapest (HUN),2016.2.21
15:32.08,2,2,Hornyák Anna,0,BHSE,F,Budapest (HUN),2016.2.13
15:42.11,3,3,Dimanopulosz Daphne,99,BHSE,F,Budapest (HUN),2016.2.13
15:42.88,4,4,Südi Anna,97,BEAC,F,Budapest (HUN),2016.2.13
15:57.32,5,5,Komoróczy Laura,99,BHSE,F,Budapest (HUN),2016.2.13
16:04.39,6,6,Zahorán Petra,2,Békéscsabai AC,F,Budapest (HUN),2016.2.06
16:23.92,-,7,Dimanopulosz Daphne,99,BHSE,F,Budapest (HUN),2016.2.21
16:58.20,7,8,Székely Kata,2,BHSE,F,Budapest (HUN),2016.2.06
17:35.83,8,9,Gráfik Margaréta,2,Békéscsabai AC,F,Budapest (HUN),2016.2.06
17:40.53,9,10,Balogh Bianka,99,Hunyadi DSE,F,Budapest (HUN),2016.2.13
17:47.86,10,11,Répási Bernadett,2,Miskolci Sportiskola,F,Budapest (HUN),2016.2.06
17:50.69,11,12,Elek Dóra,98,Hunyadi DSE,F,Budapest (HUN),2016.2.13
18:18.08,12,13,Tatay Kata,99,BHSE,F,Budapest (HUN),2016.2.13
18:31.85,13,14,Tóth Katalin,2,Hunyadi DSE,F,Budapest (HUN),2016.2.06
19:07.60,14,15,Dombi Viktória,2,PSN - Pécsi Sportiskola,F,Budapest (HUN),2016.2.06
19:10.69,15,16,Tamás Dorottya,3,Miskolci Sportiskola,F,Budapest (HUN),2016.2.06
19:25.47,16,17,Molnár Boglárka,3,Miskolci Sportiskola,F,Budapest (HUN),2016.2.06
19:29.20,17,18,Benke Demetria,2,Miskolci Sportiskola,F,Budapest (HUN),2016.2.06
20:06.87,18,19,Alvári Míra,2,Miskolci Sportiskola,F,Budapest (HUN),2016.2.06
20:11.26,19,20,Tunkel Kinga,3,Budaörsi DSE,F,Budapest (HUN),2016.2.06
20:15.77,20,21,Szilágyi Emma,0,Békési DAC,F,Budapest (HUN),2016.2.13
20:20.02,21,22,Jezsoviczki Anna,2,Hunyadi DSE,F,Budapest (HUN),2016.2.06
21:20.54,22,23,Lázár Katalin,3,Bokodi SE,F,Budapest (HUN),2016.2.06
21:24.05,23,24,Egyed Orsolya,2,Hunyadi DSE,F,Budapest (HUN),2016.2.06
21:26.34,24,25,Cser Tímea,3,Bokodi SE,F,Budapest (HUN),2016.2.06
21:57.54,25,26,Jónás Enikő,2,Hunyadi DSE,F,Budapest (HUN),2016.2.06
22:50.34,26,27,Bodor Szilvia,3,BHSE,F,Budapest (HUN),2016.2.06
13:03.53,1,1,Oláh Barbara,93,Békéscsabai AC,F,Budapest (HUN),2017.2.19
13:03.66,2,2,Récsei Rita,96,BHSE,F,Budapest (HUN),2017.2.19
13:09.51,3,3,Torma Anett,84,Kaposvári AC,F,Budapest (HUN),2017.2.19
13:53.49,-,4,Torma Anett,84,Kaposvári AC,F,Pozsony (SVK),2017.1.29
14:15.67,4,5,Dimanopulosz Daphne,99,BHSE,F,Budapest (HUN),2017.2.11
14:26.93,5,6,Kovács Andrea,80,,F,Sheffield (GBR),2017.2.12
14:27.26,-,7,Dimanopulosz Daphne,99,BHSE,F,Budapest (HUN),2017.2.19
14:32.70,-,8,Kovács Andrea,80,,F,Bécs (AUT),2017.2.18
14:35.77,-,9,Kovács Andrea,80,,F,Pozsony (SVK),2017.1.29
15:01.40,6,10,Szarka Eszter,85,BHSE,F,Budapest (HUN),2017.2.19
15:11.31,7,11,Hornyák Anna,0,BHSE,F,Budapest (HUN),2017.2.19
15:17.18,-,12,Hornyák Anna,0,BHSE,F,Budapest (HUN),2017.2.11
15:19.58,8,13,Szabó Réka,0,Békéscsabai AC,F,Budapest (HUN),2017.2.11
15:44.64,9,14,Zahorán Petra,2,Békéscsabai AC,F,Budapest (HUN),2017.2.04
15:54.85,10,15,Komoróczy Laura,99,BHSE,F,Budapest (HUN),2017.2.11
16:02.17,-,16,Komoróczy Laura,99,BHSE,F,Budapest (HUN),2017.2.19
16:07.58,11,17,Bodorkós-Horváth Katalin,67,Dobó SE,F,Budapest (HUN),2017.2.19
16:18.96,12,18,Csörgő Dóra,1,Hunyadi DSE,F,Budapest (HUN),2017.2.11
16:40.71,13,19,Spiller Tiziana,3,BHSE,F,Budapest (HUN),2017.2.04
16:59.96,-,20,Szabó Réka,0,Békéscsabai AC,F,Budapest (HUN),2017.2.19
17:18.68,14,21,Tóth Katalin,2,Hunyadi DSE,F,Budapest (HUN),2017.2.04
17:18.72,15,22,Tamás Dorottya,3,Miskolci Sportiskola,F,Budapest (HUN),2017.2.04
17:48.84,16,23,Répási Bernadett,2,Miskolci Sportiskola,F,Budapest (HUN),2017.2.04
18:15.00,17,24,Kocsi Elizabet,2,Miskolci Sportiskola,F,Budapest (HUN),2017.2.04
18:42.89,18,25,Mészáros Babett,4,PSN - Pécsi Sportiskola,F,Budapest (HUN),2017.2.04
19:00.76,19,26,Vásárhelyi Panka,0,BEAC,F,Budapest (HUN),2017.2.11
19:03.57,20,27,Dombi Viktória,2,PSN - Pécsi Sportiskola,F,Budapest (HUN),2017.2.04
19:08.49,21,28,Molnár Boglárka,3,Miskolci Sportiskola,F,Budapest (HUN),2017.2.04
19:37.28,22,29,Mészáros Fanni,3,PSN - Pécsi Sportiskola,F,Budapest (HUN),2017.2.04
19:54.04,23,30,Egyed Orsolya,2,Hunyadi DSE,F,Budapest (HUN),2017.2.04
20:16.45,24,31,Oravecz Anikó,4,Miskolci Sportiskola,F,Budapest (HUN),2017.2.04
20:23.94,25,32,Jezsoviczki Anna,2,Hunyadi DSE,F,Budapest (HUN),2017.2.04
20:29.05,26,33,Tunkel Kinga,3,Budaörsi DSE,F,Budapest (HUN),2017.2.04
20:33.08,27,34,Szilágyi Emma,0,Békési DAC,F,Budapest (HUN),2017.2.11
21:04.60,28,35,Kolmer Jázmin,4,Hunyadi DSE,F,Budapest (HUN),2017.2.04
21:50.23,29,36,Pataki Petra,4,Bokodi SE,F,Budapest (HUN),2017.2.04
13:59.44,1,1,Oláh Barbara,93,Békéscsabai AC,F,Budapest (HUN),2018.2.18
14:36.1h,2,2,Kovács Andrea,80,,F,Bécs (AUT),2018.2.03
14:58.31,3,3,Zahorán Petra,2,Békéscsabai AC,F,Budapest (HUN),2018.2.18
15:06.35,4,4,Komoróczy Laura,99,BHSE,F,Budapest (HUN),2018.2.18
15:06.69,-,5,Zahorán Petra,2,Békéscsabai AC,F2,Budapest (HUN),2018.2.1
15:15.34,-,6,Komoróczy Laura,99,BHSE,F1,Budapest (HUN),2018.2.1
15:35.56,5,7,Dimanopulosz Daphne,99,BHSE,F1,Budapest (HUN),2018.2.1
15:55.42,6,8,Bodorkós-Horváth Katalin,67,Dobó SE,F,Budapest (HUN),2018.2.18
16:18.67,7,9,Tóth Katalin,2,Hunyadi DSE,F2,Budapest (HUN),2018.2.1
16:30.60,8,10,Kocsi Elizabet,2,Miskolci Sportiskola,F2,Budapest (HUN),2018.2.1
16:30.66,9,11,Egyed Orsolya,2,Hunyadi DSE,F2,Budapest (HUN),2018.2.1
16:32.82,10,12,Spiller Tiziana,3,BHSE,F,Budapest (HUN),2018.2.03
17:09.56,11,13,Tamás Dorottya,3,Miskolci Sportiskola,F,Budapest (HUN),2018.2.03
17:30.34,12,14,Molnár Boglárka,3,Miskolci Sportiskola,F,Budapest (HUN),2018.2.03
18:07.94,13,15,Jezsoviczki Anna,2,Hunyadi DSE,F2,Budapest (HUN),2018.2.1
18:13.80,14,16,Paulcsik Lara,4,Békéscsabai AC,F,Budapest (HUN),2018.2.03
18:14.12,15,17,Török Viola,4,Békéscsabai AC,F,Budapest (HUN),2018.2.03
19:09.88,16,18,Zsemberi Zsófia,4,Hunyadi DSE,F,Budapest (HUN),2018.2.03
19:10.19,17,19,Erdős Judit,5,POSTÁS SE,F,Budapest (HUN),2018.1.28
21:06.84,18,20,Oravecz Anikó,4,Miskolci Sportiskola,F,Budapest (HUN),2018.2.03
21:44.02,19,21,Hassan Mirjam,5,Miskolci Sportiskola,F,Budapest (HUN),2018.1.28
22:07.92,20,22,Bojtor Zsófia,5,Bokodi SE,F,Budapest (HUN),2018.1.28
13:03.80,1,1,Madarász Viktória,85,UTE,F,Banská Bystrica (SVK),2019.1.04
13:31.43,2,2,Récsei Rita,96,BHSE,F1,Budapest (HUN),2019.2.17
13:59.67,3,3,Csörgő Dóra,1,Hunyadi DSE,F1,Budapest (HUN),2019.2.17
14:16.27,-,4,Csörgő Dóra,1,Hunyadi DSE,F1,Budapest (HUN),2019.2.09
14:22.51,4,5,Dr. Molnár Valéria,77,BEAC,F1,Budapest (HUN),2019.2.17
14:29.86,5,6,Dimanopulosz Daphne,99,BHSE,F1,Budapest (HUN),2019.2.17
14:53.76,6,7,Spiller Tiziana,3,BHSE,F1,Budapest (HUN),2019.2.17
14:58.33,-,8,Spiller Tiziana,3,BHSE,F1,Budapest (HUN),2019.2.09
15:26.03,7,9,Bodorkós-Horváth Katalin,67,Dobó SE,F1,Budapest (HUN),2019.2.17
15:36.19,8,10,Zsemberi Zsófia,4,Hunyadi DSE,F1,Budapest (HUN),2019.2.02
15:37.36,9,11,Zahorán Petra,2,Békéscsabai AC,F1,Budapest (HUN),2019.2.09
15:49.37,-,12,Zahorán Petra,2,Békéscsabai AC,F1,Budapest (HUN),2019.2.17
15:58.03,10,13,Erdős Judit,5,POSTÁS SE,F1,Budapest (HUN),2019.2.02
16:10.75,11,14,Komoróczy Laura,99,BHSE,F1,Budapest (HUN),2019.2.17
16:59.56,12,15,Mészáros Dorottya,4,UTE,F1,Budapest (HUN),2019.2.02
17:23.09,13,16,Hassan Mirjam,5,Miskolci Sportiskola,F1,Budapest (HUN),2019.2.02
17:26.05,14,17,Tamás Dorottya,3,Miskolci Sportiskola,F1,Budapest (HUN),2019.2.09
18:05.17,15,18,Molnár Boglárka,3,Miskolci Sportiskola,F1,Budapest (HUN),2019.2.09
18:10.02,16,19,Gráfik Margaréta,2,Békéscsabai AC,F1,Budapest (HUN),2019.2.09
18:11.68,17,20,Kovács Alexandra,6,Békéscsabai AC,F1,Budapest (HUN),2019.1.27
19:06.47,18,21,Gáti Kata,3,Hunyadi DSE,F1,Budapest (HUN),2019.2.09
19:13.39,19,22,Sustik Barbara,5,Békéscsabai AC,F1,Budapest (HUN),2019.2.02
19:37.26,20,23,Kolmer Jázmin,4,Hunyadi DSE,F1,Budapest (HUN),2019.2.02
20:20.23,21,24,Halászy Tamara,6,MATE - GEAC,F1,Budapest (HUN),2019.1.27
24:04.17,22,25,Svastits Judit,0,Vasas,F1,Budapest (HUN),2019.2.09
13:31.83,1,1,Oláh Barbara,93,Békéscsabai AC,F1,Budapest (HUN),2020.2.23
13:41.96,2,2,Récsei Rita,96,BHSE,F1,Budapest (HUN),2020.2.23
14:02.17,3,3,Spiller Tiziana,3,BHSE,F1,Budapest (HUN),2020.2.15
14:21.76,-,4,Spiller Tiziana,3,BHSE,F1,Budapest (HUN),2020.2.23
14:23.86,4,5,Csörgő Dóra,1,Hunyadi DSE,F1,Budapest (HUN),2020.2.15
14:34.64,5,6,Kovács Alexandra,6,Békéscsabai AC,F1,Budapest (HUN),2020.2.08
14:42.84,6,7,Zahorán Petra,2,Békéscsabai AC,F1,Budapest (HUN),2020.2.15
15:17.96,7,8,Mészáros Dorottya,4,UTE,F1,Budapest (HUN),2020.2.15
15:25.43,8,9,Erdős Judit,5,POSTÁS SE,F1,Budapest (HUN),2020.2.08
15:26.01,-,10,Mészáros Dorottya,4,UTE,F1,Budapest (HUN),2020.2.23
17:02.61,9,11,Hassan Mirjam,5,Miskolci Sportiskola,F1,Budapest (HUN),2020.2.08
17:08.87,10,12,Bor Bernadett,6,Békéscsabai AC,F1,Budapest (HUN),2020.2.08
17:14.26,11,13,Halászy Tamara,6,MATE - GEAC,F1,Budapest (HUN),2020.2.08
17:14.96,12,14,Tóth Katalin,2,Hunyadi DSE,F1,Budapest (HUN),2020.2.15
17:31.06,13,15,Molnár Boglárka,3,Miskolci Sportiskola,F1,Budapest (HUN),2020.2.15
18:59.31,14,16,Sustik Barbara,5,Békéscsabai AC,F1,Budapest (HUN),2020.2.08
19:55.75,15,17,Lukács Gabriella,6,MATE - GEAC,F1,Budapest (HUN),2020.2.08
20:07.69,16,18,Huszár Enikő,7,BEAC,F1,Budapest (HUN),2020.2.02
20:16.60,17,19,Kolmer Jázmin,4,Hunyadi DSE,F1,Budapest (HUN),2020.2.15
21:46.66,18,20,Essősy Viola,7,FOOTOUR S.E. TATA,F1,Budapest (HUN),2020.2.02
13:01.39,1,1,Oláh Barbara,93,Békéscsabai AC,F1,Budapest (HUN),2021.2.21
13:09.69,2,2,Récsei Rita,96,BHSE,F1,Budapest (HUN),2021.2.21
13:49.91,3,3,Spiller Tiziana,3,BHSE,F1,Budapest (HUN),2021.2.13
13:52.85,-,4,Spiller Tiziana,3,BHSE,F1,Budapest (HUN),2021.2.21
14:11.99,4,5,Rabné Récsei Petra,90,BHSE,F1,Budapest (HUN),2021.2.21
14:18.15,5,6,Erdős Judit,5,BHSE,F1,Budapest (HUN),2021.2.13
14:25.78,-,7,Erdős Judit,5,BHSE,F1,Budapest (HUN),2021.2.21
14:30.76,6,8,Zahorán Petra,2,Békéscsabai AC,F1,Budapest (HUN),2021.2.13
14:34.72,7,9,Kovács Alexandra,6,Békéscsabai AC,F1,Budapest (HUN),2021.2.06
14:50.06,8,10,Dr. Molnár Valéria,77,BEAC,F1,Budapest (HUN),2021.2.21
15:53.57,9,11,Mészáros Dorottya,4,BHSE,F1,Budapest (HUN),2021.2.13
15:58.44,-,12,Mészáros Dorottya,4,BHSE,F1,Budapest (HUN),2021.2.21
16:17.98,10,13,Bor Bernadett,6,Békéscsabai AC,F1,Budapest (HUN),2021.2.06
16:19.88,11,14,Halászy Tamara,6,MATE - GEAC,F1,Budapest (HUN),2021.2.06
16:54.73,12,15,Hassan Mirjam,5,Miskolci Sportiskola,F1,Budapest (HUN),2021.2.13
17:01.85,13,16,Molnár Boglárka,3,Miskolci Sportiskola,F1,Budapest (HUN),2021.2.13
17:02.79,14,17,Lesták Veronika,6,MATE - GEAC,F1,Budapest (HUN),2021.2.06
17:12.28,15,18,Huszár Enikő,7,BEAC,F1,Budapest (HUN),2021.2.06
17:21.25,16,19,Jezsoviczki Anna,2,Hunyadi DSE,F1,Budapest (HUN),2021.2.13
17:47.94,17,20,Lukács Gabriella,6,MATE - GEAC,F1,Budapest (HUN),2021.2.06
18:58.76,18,21,Sustik Barbara,5,Békéscsabai AC,F1,Budapest (HUN),2021.2.13
19:17.41,19,22,Fila Csenge,5,MATE - GEAC,F1,Budapest (HUN),2021.2.13
12:55.04,1,1,Oláh Barbara,93,Békéscsabai AC,F1,Nyíregyháza (HUN),2022.2.26
13:14.29,2,2,Madarász Viktória,85,UTE,F1,Nyíregyháza (HUN),2022.2.26
13:23.97,3,3,Récsei Rita,96,BHSE,F1,Nyíregyháza (HUN),2022.2.26
13:34.74,4,4,Kovács Alexandra,6,Békéscsabai AC,F1,Nyíregyháza (HUN),2022.2.26
13:43.47,-,5,Kovács Alexandra,6,Békéscsabai AC,F1,Nyíregyháza (HUN),2022.2.12
13:53.28,5,6,Spiller Tiziana,3,BHSE,F1,Nyíregyháza (HUN),2022.2.12
14:19.62,-,7,Spiller Tiziana,3,BHSE,F1,Nyíregyháza (HUN),2022.2.26
14:19.71,6,8,Erdős Judit,5,BHSE,F1,Nyíregyháza (HUN),2022.2.12
14:57.76,7,9,Dr. Molnár Valéria,77,BEAC,F1,Nyíregyháza (HUN),2022.2.26
15:29.41,8,10,Mészáros Dorottya,4,BHSE,F1,Nyíregyháza (HUN),2022.2.12
16:41.32,9,11,Halászy Tamara,6,MATE - GEAC,F1,Nyíregyháza (HUN),2022.2.12
16:43.57,10,12,Molnár Boglárka,3,DVTK,F1,Nyíregyháza (HUN),2022.2.12
18:26.76,11,13,Huszár Enikő,7,BEAC,F1,Budapest (HUN),2022.2.05
19:59.56,12,14,Vancsó Noémi,8,MATE - GEAC,F1,Budapest (HUN),2022.2.05
21:12.90,13,15,Kocsis Vanda,8,Miskolci Sportiskola,F1,Budapest (HUN),2022.2.05
13:14.55,1,1,Kovács Alexandra,6,Békéscsabai AC,F1,Budapest (HUN),2023.2.25
13:45.71,-,2,Kovács Alexandra,6,Békéscsabai AC,F1,Nyíregyháza (HUN),2023.2.18
13:56.38,2,3,Spiller Tiziana,3,BHSE,F1,Nyíregyháza (HUN),2023.2.18
14:24.39,3,4,Erdős Judit,5,BHSE,F1,Nyíregyháza (HUN),2023.2.18
14:26.33,-,5,Erdős Judit,5,BHSE,F1,Budapest (HUN),2023.2.25
14:44.03,4,6,Bor Bernadett,6,Békéscsabai AC,F1,Budapest (HUN),2023.2.25
14:48.07,-,7,Bor Bernadett,6,Békéscsabai AC,F1,Nyíregyháza (HUN),2023.2.18
15:08.88,5,8,Dr. Molnár Valéria,77,BEAC,F1,Nyíregyháza (HUN),2023.2.18
15:56.95,6,9,Vancsó Enikő,9,MATE - GEAC,F1,Budapest (HUN),2023.2.04
16:29.33,7,10,Szendi Csilla,5,BEAC,F1,Budapest (HUN),2023.2.25
16:48.19,8,11,Halászy Tamara,6,Csonteam Atlétika,F1,Budapest (HUN),2023.2.25
16:48.81,9,12,Vancsó Noémi,8,MATE - GEAC,F1,Budapest (HUN),2023.2.04
16:53.40,10,13,Szentgáli-Varga Villő,9,MATE - GEAC,F1,Budapest (HUN),2023.2.04
17:13.44,11,14,Alföldi Sára,9,Békéscsabai AC,F1,Budapest (HUN),2023.2.04
17:29.49,-,15,Halászy Tamara,6,Csonteam Atlétika,F1,Nyíregyháza (HUN),2023.2.18
17:34.42,12,16,Lesták Veronika,6,MATE - GEAC,F1,Budapest (HUN),2023.2.25
19:04.43,13,17,Kolmer Jázmin,4,H. Szondi SE,F1,Budapest (HUN),2023.2.25
19:05.84,14,18,Deme Nóra,8,POSTÁS SE,F1,Budapest (HUN),2023.2.04
25:20.92,15,19,Halászy Laura,4,FSE,F1,Budapest (HUN),2023.2.25
