Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
12:47.07,1,1,Récsei Rita,96,BHSE,F1,Nyíregyháza (HUN),2024.2.17
13:07.07,2,2,Kovács Alexandra,6,Békéscsabai AC,F1,Nyíregyháza (HUN),2024.2.24
13:20.42,3,3,Spiller Tiziana,3,BHSE,F1,Nyíregyháza (HUN),2024.2.17
13:41.62,-,4,Kovács Alexandra,6,Békéscsabai AC,F1,Nyíregyháza (HUN),2024.2.17
13:49.60,4,5,Erdős Judit,5,BHSE,F1,Nyíregyháza (HUN),2024.2.17
13:57.69,5,6,Csörgő Dóra,1,BHSE,F1,Nyíregyháza (HUN),2024.2.17
14:43.42,6,7,Bor Bernadett,6,Békéscsabai AC,F1,Nyíregyháza (HUN),2024.2.17
15:06.53,7,8,Alföldi Sára,9,Békéscsabai AC,F1,Budapest (HUN),2024.2.03
15:48.82,-,9,Bor Bernadett,6,Békéscsabai AC,F1,Nyíregyháza (HUN),2024.2.24
15:56.06,8,10,Mezővári Boróka,3,DVTK,F1,Nyíregyháza (HUN),2024.2.17
16:02.46,9,11,Halászy Tamara,6,FSE,F1,Nyíregyháza (HUN),2024.2.24
16:40.30,10,12,Vancsó Noémi,8,MATE - GEAC,F1,Nyíregyháza (HUN),2024.2.24
16:54.76,-,13,Halászy Tamara,6,FSE,F1,Nyíregyháza (HUN),2024.2.17
17:03.99,11,14,Csoknyai Nikolett,9,H. Szondi SE,F1,Budapest (HUN),2024.2.03
17:06.25,12,15,Lesták Veronika,6,MATE - GEAC,F1,Nyíregyháza (HUN),2024.2.24
18:08.09,13,16,Kocsis Vanda,8,Miskolci Sportiskola,F1,Nyíregyháza (HUN),2024.2.24
18:43.60,14,17,Deme Nóra,8,MTK Budapest,F1,Nyíregyháza (HUN),2024.2.24
18:56.40,15,18,Sulyok Anita,74,HÓDIÁK SE,F1,Budapest (HUN),2024.3.02
20:40.31,16,19,Kuruczné Ozsvár Vivien,82,BHSE,F1,Budapest (HUN),2024.3.02
