Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
9:15.54,1,1,Böhm Lilla,94,BHSE,F1,Nyíregyháza (HUN),2024.2.18
9:27.23,2,2,Horváth Karolina,2,BEAC,F1,Budapest (HUN),2024.2.04
9:29.73,-,3,Horváth Karolina,2,BEAC,F1,Nyíregyháza (HUN),2024.2.18
9:34.65,3,4,Szalai Fanni,8,Margitszigeti AC,F1,Nyíregyháza (HUN),2024.2.18
9:47.59,4,5,Fekete Sára,9,Győri Atlétikai Club,F,Pozsony (SVK),2024.2.1
9:53.65,-,6,Szalai Fanni,8,Margitszigeti AC,F1,Nyíregyháza (HUN),2024.2.25
9:56.28,5,7,Máramarosi Rita,5,Tempo-Aqua,F1,Nyíregyháza (HUN),2024.2.25
10:11.34,6,8,Juhász Dorottya,9,VSD,F1,Budapest (HUN),2024.2.04
10:18.09,7,9,Dobó Eszter,5,Vasas,F1,Nyíregyháza (HUN),2024.2.25
10:18.68,8,10,Kropkó Jázmin,9,MAC,F1,Budapest (HUN),2024.2.04
10:20.04,9,11,Fabók Vivien,6,Ganzair Team Újbuda SE,F1,Nyíregyháza (HUN),2024.2.25
10:20.48,10,12,Derdák Sára,8,SVSE,F1,Budapest (HUN),2024.2.04
10:21.26,11,13,Szobácsi Flóra,9,Tempo-Aqua,F1,Budapest (HUN),2024.2.04
10:24.35,12,14,Katona Korinna,9,EVSI,F1,Budapest (HUN),2024.2.04
10:24.48,13,15,Fabók Eszter,7,Ganzair Team Újbuda SE,F1,Nyíregyháza (HUN),2024.2.25
10:27.56,14,16,Iker Natália,5,Csepel TC,F1,Nyíregyháza (HUN),2024.2.25
10:31.17,15,17,Szobácsi Laura,6,Tempo-Aqua,F1,Nyíregyháza (HUN),2024.2.25
10:33.38,16,18,Imre Petra,5,SZVSE,F1,Nyíregyháza (HUN),2024.2.25
10:39.35,17,19,Lövei Vanda,6,DVTK,F1,Nyíregyháza (HUN),2024.2.25
10:42.33,18,20,Nagy Nóra,4,SVSE,F1,Budapest (HUN),2024.2.04
10:42.52,-,21,Iker Natália,5,Csepel TC,F1,Budapest (HUN),2024.2.11
10:43.88,19,22,Mészáros Emma,6,Trion SC,F1,Nyíregyháza (HUN),2024.2.25
10:46.32,-,23,Nagy Nóra,4,SVSE,F1,Nyíregyháza (HUN),2024.2.18
10:47.97,20,24,Dolmány Emma,7,SMAFC,F1,Nyíregyháza (HUN),2024.2.25
10:49.29,21,25,Beleznai Lara,6,TSC-Geotech,F1,Nyíregyháza (HUN),2024.2.25
10:50.49,22,26,Kulcsár Amira,6,Ganzair Team Újbuda SE,F1,Nyíregyháza (HUN),2024.2.25
