Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
59.67,1,1,Szűcs Noémi,97,HÓDIÁK SE,F,Miskolc (HUN),2016.7.01
1:00.34,-,2,Szűcs Noémi,97,HÓDIÁK SE,F,Székesfehérvár (HUN),2016.7.31
1:00.35,-,3,Szűcs Noémi,97,HÓDIÁK SE,F2,Szombathely (HUN),2016.6.26
1:00.39,2,4,Mátó Sára,0,ARAK,F1,Székesfehérvár (HUN),2016.9.1
1:00.67,-,5,Mátó Sára,0,ARAK,F1,Szekszárd (HUN),2016.5.14
1:00.67,3,5,Zsiga Mónika,96,A-Plast Ikarus BSE,F,Székesfehérvár (HUN),2016.7.31
1:00.90,-,7,Szűcs Noémi,97,HÓDIÁK SE,H3,Bydgoszcz (POL),2016.7.2
1:01.01,-,8,Szűcs Noémi,97,HÓDIÁK SE,F1,Budapest (HUN),2016.6.19
1:01.03,-,9,Szűcs Noémi,97,HÓDIÁK SE,F1,Debrecen (HUN),2016.6.05
1:01.07,-,10,Zsiga Mónika,96,A-Plast Ikarus BSE,F1,Debrecen (HUN),2016.6.05
1:01.17,-,11,Mátó Sára,0,ARAK,F,Budapest (HUN),2016.9.04
1:01.21,-,12,Mátó Sára,0,ARAK,F,Székesfehérvár (HUN),2016.7.31
1:01.22,-,13,Zsiga Mónika,96,A-Plast Ikarus BSE,F1,Budapest (HUN),2016.6.19
1:01.31,-,14,Zsiga Mónika,96,A-Plast Ikarus BSE,F1,Székesfehérvár (HUN),2016.9.1
1:01.35,-,15,Szűcs Noémi,97,HÓDIÁK SE,F1,Veszprém (HUN),2016.6.12
1:01.40,-,16,Zsiga Mónika,96,A-Plast Ikarus BSE,F1,Budapest (HUN),2016.8.19
1:01.47,-,17,Mátó Sára,0,ARAK,H1,Székesfehérvár (HUN),2016.7.3
1:01.55,-,18,Szűcs Noémi,97,HÓDIÁK SE,F,Budapest (HUN),2016.9.04
1:01.68,-,19,Zsiga Mónika,96,A-Plast Ikarus BSE,F,Miskolc (HUN),2016.5.29
1:01.90,-,20,Szűcs Noémi,97,HÓDIÁK SE,F1,Budapest (HUN),2016.8.19
1:01.99,-,21,Zsiga Mónika,96,A-Plast Ikarus BSE,F,Budapest (HUN),2016.9.04
1:02.26,-,22,Szűcs Noémi,97,HÓDIÁK SE,H2,Székesfehérvár (HUN),2016.7.3
1:02.32,-,23,Zsiga Mónika,96,A-Plast Ikarus BSE,F,Szombathely (HUN),2016.6.26
1:02.41,4,24,Almási Fanni,99,UTE,F1,Miskolc (HUN),2016.7.03
1:02.49,-,25,Szűcs Noémi,97,HÓDIÁK SE,F1,Debrecen (HUN),2016.5.14
1:02.62,5,26,Tóth Rebeka,99,UTE,F1,Miskolc (HUN),2016.7.03
1:02.67,-,27,Almási Fanni,99,UTE,F,Brno (CZE),2016.6.11
