Eredmény,A.h.,Er.h.,Csapat,Típus,Helyszín,Dátum
1:42.02,1,1,TSC-Geotech,F1,Nyíregyháza (HUN),2024.2.25
1:44.22,2,2,UTE,F1,Nyíregyháza (HUN),2024.2.25
1:45.03,3,3,A-Plast Ikarus BSE,F1,Nyíregyháza (HUN),2024.2.25
1:45.42,-,4,A-Plast Ikarus BSE,F1,Nyíregyháza (HUN),2024.2.25
1:45.72,4,5,NYSC,F1,Budapest (HUN),2024.2.04
1:45.79,5,6,MATE - GEAC,F1,Nyíregyháza (HUN),2024.2.25
1:45.81,6,7,Győri Atlétikai Club,F1,Budapest (HUN),2024.2.04
1:46.77,7,8,DSC-SI,F1,Nyíregyháza (HUN),2024.1.27
1:47.15,-,9,NYSC,F1,Nyíregyháza (HUN),2024.1.27
1:47.35,8,10,SVSE,F1,Nyíregyháza (HUN),2024.2.25
1:47.96,9,11,Vasas,F2,Nyíregyháza (HUN),2024.2.25
1:47.97,-,12,MATE - GEAC,F1,Nyíregyháza (HUN),2024.2.25
1:48.68,10,13,FTC,F2,Nyíregyháza (HUN),2024.2.25
1:49.08,11,14,BHSE “A”,F1,Nyíregyháza (HUN),2024.2.25
1:49.49,12,15,ARAK,F2,Nyíregyháza (HUN),2024.2.25
1:50.37,-,16,NYSC,F2,Nyíregyháza (HUN),2024.2.25
1:50.59,-,17,Győri Atlétikai Club,F2,Nyíregyháza (HUN),2024.2.25
1:50.62,13,18,Csepel TC,F1,Budapest (HUN),2024.2.04
1:50.93,14,19,Szombathelyi SI,F3,Budapest (HUN),2024.2.04
1:51.49,-,20,A-Plast Ikarus BSE,F3,Budapest (HUN),2024.2.04
1:51.49,15,20,BHSE “B”,F2,Nyíregyháza (HUN),2024.2.25
1:53.16,16,22,ZALASZÁM-ZAC,F1,Budapest (HUN),2024.2.04
1:53.47,-,23,ARAK,F2,Budapest (HUN),2024.2.04
1:54.50,17,24,VSD,F2,Nyíregyháza (HUN),2024.2.25
1:54.75,18,25,KARC,F2,Budapest (HUN),2024.2.04
1:56.54,-,26,UTE,F3,Budapest (HUN),2024.2.04
1:56.79,19,27,Veresegyház VSK,F2,Budapest (HUN),2024.2.04
1:57.05,20,28,Reménység Vác,F3,Budapest (HUN),2024.2.04
1:57.21,21,29,TFSE,F2,Nyíregyháza (HUN),2024.2.25
1:57.41,22,30,Szegedi RSC,F2,Budapest (HUN),2024.2.04
2:00.47,-,31,NYSC,F1,Nyíregyháza (HUN),2024.1.27
