Eredmény,A.h.,Er.h.,Csapat,Típus,Helyszín,Dátum
1:41.21,1,1,Gödöllői EAC,F,Budapest (HUN),2016.5.21
1:42.34,2,2,Bp. Honvéd SE,F,Budapest (HUN),2016.5.21
1:38.01,1,1,Bp. Honvéd SE,F,Budapest (HUN),2017.9.16
1:43.18,2,2,VEDAC,F,Budapest (HUN),2017.9.16
1:46.01,3,3,Dunakeszi VSE,F,Budapest (HUN),2017.9.16
1:46.86,4,4,Zalaszám-ZAC,F,Budapest (HUN),2017.9.16
1:39.67,1,1,GEAC,F1,Szekszárd (HUN),2018.9.15
1:40.46,2,2,ARAK UP Akadémia,F1,Szekszárd (HUN),2018.9.15
1:42.90,3,3,Szolnoki MÁV-SE,F1,Szekszárd (HUN),2018.9.15
1:45.54,4,4,ZALASZÁM-ZAC,F1,Szekszárd (HUN),2018.9.15
1:50.21,5,5,KSI SE,F1,Szekszárd (HUN),2018.9.15
1:38.61,1,1,GEAC,F1,Zalaegerszeg (HUN),2019.6.02
1:39.53,2,2,BHSE,F1,Zalaegerszeg (HUN),2019.6.02
1:39.59,3,3,ARAK UP Akadémia,F1,Zalaegerszeg (HUN),2019.6.02
1:46.52,4,4,KSI SE,F1,Zalaegerszeg (HUN),2019.6.02
1:38.31,1,1,ARAK UP Akadémia,F1,Kecskemét (HUN),2021.5.08
1:40.95,2,2,ZALASZÁM-ZAC,F1,Kecskemét (HUN),2021.5.08
1:40.97,3,3,Vasas,F1,Kecskemét (HUN),2021.5.08
1:36.41,1,1,MATE - GEAC,F1,Kecskemét (HUN),2022.5.07
1:39.28,2,2,BHSE,F1,Kecskemét (HUN),2022.5.07
1:39.67,3,3,Szolnoki MÁV-SE,F1,Kecskemét (HUN),2022.5.07
1:38.69,1,1,BHSE,F1,Budapest (HUN),2023.5.07
1:40.58,2,2,Vasas,F1,Budapest (HUN),2023.5.07
1:44.79,3,3,ZALASZÁM-ZAC,F1,Budapest (HUN),2023.5.07
1:45.16,4,4,FTC,F1,Budapest (HUN),2023.5.07
1:47.32,5,5,KSI SE,F1,Budapest (HUN),2023.5.07
1:39.07,1,1,FTC,F1,Kaposvár (HUN),2024.5.18
1:42.80,2,2,DVTK,F1,Kaposvár (HUN),2024.5.18
1:45.07,3,3,UTE,F1,Kaposvár (HUN),2024.5.18
1:46.27,4,4,ZALASZÁM-ZAC,F1,Kaposvár (HUN),2024.5.18
