Eredmény,A.h.,Er.h.,Csapat,Típus,Helyszín,Dátum
3:50.79,1,1,ARAK UP Akadémia,F1,Budapest (HUN),2016.2.21
3:50.94,2,2,Gödöllői EAC,F1,Budapest (HUN),2016.2.21
3:52.44,3,3,VEDAC,F2,Budapest (HUN),2016.2.21
3:53.34,4,4,Bp. Honvéd SE,F1,Budapest (HUN),2016.2.21
3:54.96,5,5,Győri AC,F2,Budapest (HUN),2016.2.21
3:55.50,6,6,DSC-SI,F3,Budapest (HUN),2016.2.21
3:57.84,7,7,Vasas,F3,Budapest (HUN),2016.2.21
3:58.88,8,8,Ikarus BSE,F2,Budapest (HUN),2016.2.21
4:16.60,9,9,BEAC,F3,Budapest (HUN),2016.2.21
3:43.51,1,1,Bp. Honvéd SE,F1,Budapest (HUN),2017.2.19
3:52.67,2,2,VEDAC,F1,Budapest (HUN),2017.2.19
3:54.24,3,3,ARAK UP Akadémia,F1,Budapest (HUN),2017.2.19
4:19.92,4,4,BEAC,F2,Budapest (HUN),2017.2.19
3:52.33,1,1,Gödöllői EAC,F,Budapest (HUN),2018.2.18
3:53.00,2,2,SVSE,F,Budapest (HUN),2018.2.18
3:59.45,3,3,Ikarus BSE,F,Budapest (HUN),2018.2.18
4:16.35,4,4,KSI SE,F,Budapest (HUN),2018.2.18
3:38.30,1,1,Hungary,F,Ostrava (CZE),2019.2.12
3:52.88,2,2,GEAC,F1,Budapest (HUN),2019.2.17
3:54.06,3,3,SVSE,F1,Budapest (HUN),2019.2.17
3:58.51,4,4,Vasas,F2,Budapest (HUN),2019.2.17
4:01.79,5,5,BEAC,F2,Budapest (HUN),2019.2.17
4:08.26,6,6,Horn-Bercsényi DSE,F1,Budapest (HUN),2019.2.17
4:20.59,7,7,HÓDIÁK SE,F2,Budapest (HUN),2019.2.17
3:49.14,1,1,ARAK UP Akadémia,F1,Budapest (HUN),2020.2.23
3:51.47,2,2,GEAC,F1,Budapest (HUN),2020.2.23
3:53.99,3,3,Ikarus BSE,F1,Budapest (HUN),2020.2.23
3:56.44,4,4,Vasas,F2,Budapest (HUN),2020.2.23
3:58.23,5,5,SVSE,F1,Budapest (HUN),2020.2.23
3:59.70,6,6,BEAC,F2,Budapest (HUN),2020.2.23
4:04.47,7,7,TFSE,F2,Budapest (HUN),2020.2.23
3:47.68,1,1,Ikarus BSE,F1,Budapest (HUN),2021.2.21
3:49.64,2,2,ARAK UP Akadémia,F1,Budapest (HUN),2021.2.21
3:53.75,3,3,MTK Budapest,F1,Budapest (HUN),2021.2.21
3:54.51,4,4,BEAC,F2,Budapest (HUN),2021.2.21
4:05.67,5,5,TFSE,F2,Budapest (HUN),2021.2.21
3:41.49,1,1,MATE - GEAC,F1,Nyíregyháza (HUN),2022.2.27
3:43.34,2,2,MTK Budapest,F1,Nyíregyháza (HUN),2022.2.27
3:52.02,3,3,BEAC A,F1,Nyíregyháza (HUN),2022.2.27
3:53.24,4,4,SVSE,F1,Nyíregyháza (HUN),2022.2.27
4:03.14,5,5,ZALASZÁM-ZAC,F1,Nyíregyháza (HUN),2022.2.27
4:08.21,6,6,BEAC B,F1,Nyíregyháza (HUN),2022.2.27
3:37.11,1,1,HUN A,F1,Nyíregyháza (HUN),2023.1.28
3:38.00,2,2,MATE - GEAC,F1,Nyíregyháza (HUN),2023.2.19
3:41.43,3,3,HUN B,F1,Nyíregyháza (HUN),2023.1.28
3:48.00,4,4,MTK Budapest,F1,Nyíregyháza (HUN),2023.2.19
3:48.16,5,5,Vasas,F2,Nyíregyháza (HUN),2023.2.19
3:54.40,6,6,SVSE,F1,Nyíregyháza (HUN),2023.2.19
3:57.81,7,7,BEAC,F2,Nyíregyháza (HUN),2023.2.19
4:10.52,8,8,Győri Atlétikai Club,F2,Nyíregyháza (HUN),2023.2.19
