Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
3:47:48,1,1,Megyeri Krisztina,98,Balatonfüredi Atlétikai Club,F1,Nagyatád (HUN),2023.4.16
3:58:49,2,2,Szilágyiné dr. Tóth Tímea,77,Balatonfüredi Atlétikai Club,F1,Nagyatád (HUN),2023.4.16
4:22:01,3,3,Varga Júlia,87,Balatonfüredi Atlétikai Club,F1,Nagyatád (HUN),2023.4.16
5:05:41,4,4,Farkasné Bertus Andrea,79,Tovafutók SE Triatlon,F1,Nagyatád (HUN),2023.4.16
5:21:59,5,5,Némethné Brendel Mónika,74,Tovafutók SE Triatlon,F1,Nagyatád (HUN),2023.4.16
5:22:00,6,6,Szigeti Ildikó,65,Tovafutók SE Triatlon,F1,Nagyatád (HUN),2023.4.16
3:33:50,1,1,Dr.Garai Ágnes,85,ELTE SE Sashegyi gepárdok,F1,Nagyatád (HUN),2024.8.1
3:40:38,2,2,Zákányi Panna,0,ELTE SE Sashegyi gepárdok,F1,Nagyatád (HUN),2024.8.1
3:48:34,3,3,Bátai Réka,83,EU-Solar SE,F1,Nagyatád (HUN),2024.8.1
4:21:47,4,4,Csörnyei Csabáné,75,Fittbike SE,F1,Nagyatád (HUN),2024.8.1
