Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
23:04.33,1,1,Oláh Barbara,93,Békéscsabai AC,F,Budapest (HUN),2016.6.19
23:30.46,2,2,Récsei Rita,96,BHSE,F,Budapest (HUN),2016.7.22
23:35.89,3,3,Torma Anett,84,Kaposvári AC,F,Budapest (HUN),2016.6.19
23:43.21,-,4,Oláh Barbara,93,Békéscsabai AC,F,Budapest (HUN),2016.7.22
23:54.18,-,5,Récsei Rita,96,BHSE,F,Budapest (HUN),2016.6.19
24:41.53,-,6,Torma Anett,84,Kaposvári AC,F,Budapest (HUN),2016.7.22
24:58.87,4,7,Rabné Récsei Petra,90,BHSE,F,Budapest (HUN),2016.6.19
25:11.85,5,8,Dimanopulosz Daphne,99,BHSE,F,Budapest (HUN),2016.7.22
25:42.41,6,9,Komoróczy Laura,99,BHSE,F,Brno (CZE),2016.6.11
25:59.30,7,10,Szarka Eszter,85,BHSE,F,Budapest (HUN),2016.7.22
26:04.21,8,11,Hornyák Anna,0,BHSE,F,Brno (CZE),2016.6.11
26:14.14,-,12,Dimanopulosz Daphne,99,BHSE,F,Miskolc (HUN),2016.7.02
26:15.05,-,13,Szarka Eszter,85,BHSE,F,Budapest (HUN),2016.6.19
26:21.15,-,14,Dimanopulosz Daphne,99,BHSE,F,Tbilisi (GEO),2016.7.14
26:24.61,-,15,Dimanopulosz Daphne,99,BHSE,F,Budapest (HUN),2016.6.19
26:33.14,-,16,Komoróczy Laura,99,BHSE,F,Budapest (HUN),2016.6.19
26:46.03,-,17,Dimanopulosz Daphne,99,BHSE,F,Budapest (HUN),2016.8.2
26:50.60,-,18,Komoróczy Laura,99,BHSE,F,Budapest (HUN),2016.7.22
26:59.29,9,19,Bodorkós-Horváth Katalin,67,Haladás VSE,F,Budapest (HUN),2016.7.22
27:07.38,-,20,Komoróczy Laura,99,BHSE,F,Budapest (HUN),2016.8.2
27:12.36,-,21,Hornyák Anna,0,BHSE,F,Budapest (HUN),2016.6.19
27:28.41,10,22,Szabó Réka,0,Békéscsabai AC,F,Miskolc (HUN),2016.7.02
27:30.89,-,23,Szabó Réka,0,Békéscsabai AC,F,Budapest (HUN),2016.6.19
27:41.74,-,24,Hornyák Anna,0,BHSE,F,Budapest (HUN),2016.8.2
27:55.15,-,25,Hornyák Anna,0,BHSE,F,Miskolc (HUN),2016.7.02
28:36.25,-,26,Szabó Réka,0,Békéscsabai AC,F,Budapest (HUN),2016.7.22
28:52.37,-,27,Szabó Réka,0,Békéscsabai AC,F,Budapest (HUN),2016.8.2
28:57.24,11,28,Tatay Kata,99,BHSE,F,Budapest (HUN),2016.6.19
29:27.52,12,29,Vásárhelyi Zsófia,91,BEAC,F,Budapest (HUN),2016.7.22
29:33.73,13,30,Balogh Bianka,99,Hunyadi DSE,F,Miskolc (HUN),2016.7.02
29:54.72,-,31,Tatay Kata,99,BHSE,F,Miskolc (HUN),2016.7.02
31:37.57,-,32,Tatay Kata,99,BHSE,F,Budapest (HUN),2016.7.22
35:02.82,14,33,Szilágyi Emma,0,Békési DAC,F,Miskolc (HUN),2016.7.02
21:02.72,1,1,Madarász Viktória,85,UTE,F,Budapest (HUN),2017.6.3
22:50.3h,2,2,Oláh Barbara,93,Békéscsabai AC,F,Miskolc (HUN),2017.5.28
22:56.2h,3,3,Récsei Rita,96,BHSE,F,Miskolc (HUN),2017.5.28
23:11.43,-,4,Récsei Rita,96,BHSE,F,Budapest (HUN),2017.6.3
24:02.75,4,5,Torma Anett,84,Kaposvári AC,F,Budapest (HUN),2017.6.3
26:14.52,5,6,Csörgő Dóra,1,Hunyadi DSE,F,Miskolc (HUN),2017.6.24
26:24.24,-,7,Csörgő Dóra,1,Hunyadi DSE,F,Székesfehérvár (HUN),2017.5.06
26:50.86,6,8,Bodorkós-Horváth Katalin,67,Dobó SE,F,Budapest (HUN),2017.6.3
28:39.02,-,9,Csörgő Dóra,1,Hunyadi DSE,F,Budapest (HUN),2017.8.27
29:29.36,7,10,Tatay Kata,99,BHSE,F,Budapest (HUN),2017.6.3
37:36.83,8,11,Szilágyi Emma,0,Békési DAC,F,Miskolc (HUN),2017.6.24
23:10.36,1,1,Oláh Barbara,93,Békéscsabai AC,F1,Budapest (HUN),2018.7.28
23:27.90,2,2,Récsei Rita,96,BHSE,F1,Budapest (HUN),2018.7.28
24:39.34,3,3,Zahorán Petra,2,Békéscsabai AC,F1,Győr (HUN),2018.6.16
24:48.61,4,4,Csörgő Dóra,1,Hunyadi DSE,F1,Győr (HUN),2018.6.16
25:19.09,-,5,Csörgő Dóra,1,Hunyadi DSE,F1,Székesfehérvár (HUN),2018.5.05
25:20.46,-,6,Csörgő Dóra,1,Hunyadi DSE,F1,Budapest (HUN),2018.9.02
25:29.51,-,7,Zahorán Petra,2,Békéscsabai AC,F1,Budapest (HUN),2018.7.28
25:43.27,-,8,Csörgő Dóra,1,Hunyadi DSE,F1,Budapest (HUN),2018.7.28
25:47.97,5,9,Dimanopulosz Daphne,99,BHSE,F1,Székesfehérvár (HUN),2018.5.05
