Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
8.17,1,1,Kerekes Gréta,92,DSC-SI,F,Madrid (ESP),2016.2.26
8.18,-,2,Kerekes Gréta,92,DSC-SI,F,Budapest (HUN),2016.2.21
8.23,2,3,Kozák Luca,96,DSC-SI,F,Budapest (HUN),2016.2.21
8.24,-,4,Kerekes Gréta,92,DSC-SI,H1,Jablonec (CZE),2016.3.05
8.28,-,5,Kerekes Gréta,92,DSC-SI,H2,Madrid (ESP),2016.2.26
8.3,-,6,Kozák Luca,96,DSC-SI,F,Budapest (HUN),2016.2.06
8.33,-,7,Kerekes Gréta,92,DSC-SI,F2,Linz (AUT),2016.2.12
8.35,3,8,Juhász Lilla,93,Haladás VSE,F,"Notre Dame, IN (USA)",2016.2.06
8.35,-,8,Kerekes Gréta,92,DSC-SI,F,Budapest (HUN),2016.2.06
8.37,-,10,Kerekes Gréta,92,DSC-SI,H2,"Portland, OR (USA)",2016.3.18
8.38,-,11,Kerekes Gréta,92,DSC-SI,H2,Budapest (HUN),2016.2.21
8.4,-,12,Juhász Lilla,93,Haladás VSE,F,Blacksburg (USA),2016.2.27
8.41,-,13,Kerekes Gréta,92,DSC-SI,H1,Budapest (HUN),2016.2.06
8.42,-,14,Juhász Lilla,93,Haladás VSE,F,"Notre Dame, IN (USA)",2016.2.2
8.43,-,15,Kozák Luca,96,DSC-SI,F,Budapest (HUN),2016.1.3
8.44,4,16,Répási Petra,96,MATE - GEAC,H2,Bécs (AUT),2016.1.3
8.45,-,17,Kerekes Gréta,92,DSC-SI,H2,Linz (AUT),2016.2.12
8.45,-,17,Répási Petra,96,MATE - GEAC,H3,Linz (AUT),2016.2.12
8.46,-,19,Kerekes Gréta,92,DSC-SI,F,Bécs (AUT),2016.1.24
8.46,-,19,Kozák Luca,96,DSC-SI,H2,Budapest (HUN),2016.1.3
8.46,-,19,Juhász Lilla,93,Haladás VSE,SF3,"Notre Dame, IN (USA)",2016.2.06
8.46,-,19,Kozák Luca,96,DSC-SI,H3,"Portland, OR (USA)",2016.3.18
8.47,-,23,Juhász Lilla,93,Haladás VSE,F,Blacksburg (USA),2016.1.15
8.47,-,23,Kozák Luca,96,DSC-SI,H2,Budapest (HUN),2016.2.06
8.47,-,23,Répási Petra,96,MATE - GEAC,F1,Linz (AUT),2016.2.12
8.49,-,26,Kozák Luca,96,DSC-SI,H1,Budapest (HUN),2016.2.21
8.5,-,27,Kerekes Gréta,92,DSC-SI,F,Bécs (AUT),2016.1.3
8.51,-,28,Kerekes Gréta,92,DSC-SI,H1,Bécs (AUT),2016.1.3
8.51,-,28,Juhász Lilla,93,Haladás VSE,H1,Blacksburg (USA),2016.2.26
8.52,-,30,Juhász Lilla,93,Haladás VSE,H2,"Notre Dame, IN (USA)",2016.2.05
8.52,-,30,Juhász Lilla,93,Haladás VSE,H2,"Notre Dame, IN (USA)",2016.2.2
8.53,-,32,Répási Petra,96,MATE - GEAC,F,Bécs (AUT),2016.1.24
8.54,-,33,Juhász Lilla,93,Haladás VSE,H4,"Winston Salem, NC (USA)",2016.1.29
8.54,5,33,Zsivoczky-Farkas Györgyi,85,BHSE,CE,Budapest (HUN),2016.2.07
8.56,-,35,Répási Petra,96,MATE - GEAC,H1,Bécs (AUT),2016.1.24
8.56,-,35,Zsivoczky-Farkas Györgyi,85,BHSE,CE1,"Portland, OR (USA)",2016.3.18
8.57,-,37,Zsivoczky-Farkas Györgyi,85,BHSE,F,Budapest (HUN),2016.2.21
8.58,-,38,Juhász Lilla,93,Haladás VSE,F,"Chapel Hill, NC (USA)",2016.1.09
8.62,-,39,Zsivoczky-Farkas Györgyi,85,BHSE,F,Budapest (HUN),2016.1.3
8.63,6,40,Sorok Klaudia,98,Győri Atlétikai Club,F,Budapest (HUN),2016.2.28
8.65,-,41,Sorok Klaudia,98,Győri Atlétikai Club,F,Budapest (HUN),2016.3.05
8.66,-,42,Kerekes Gréta,92,DSC-SI,H2,Bécs (AUT),2016.1.24
8.66,-,42,Juhász Lilla,93,Haladás VSE,SF4,"Winston Salem, NC (USA)",2016.1.3
8.67,-,44,Zsivoczky-Farkas Györgyi,85,BHSE,F,Budapest (HUN),2016.3.05
8.68,-,45,Sorok Klaudia,98,Győri Atlétikai Club,H1,Budapest (HUN),2016.2.28
8.7,-,46,Sorok Klaudia,98,Győri Atlétikai Club,F1,Pozsony (SVK),2016.1.31
8.76,-,47,Sorok Klaudia,98,Győri Atlétikai Club,F,Budapest (HUN),2016.1.3
8.78,-,48,Juhász Lilla,93,Haladás VSE,H2,Blacksburg (USA),2016.1.15
8.78,-,48,Zsivoczky-Farkas Györgyi,85,BHSE,H1,Budapest (HUN),2016.2.21
8.79,-,50,Sorok Klaudia,98,Győri Atlétikai Club,H1,Budapest (HUN),2016.1.3
8.83,-,51,Sorok Klaudia,98,Győri Atlétikai Club,H1,Budapest (HUN),2016.2.06
8.83,7,51,Szűcs Noémi,97,HÓDIÁK SE,F,Budapest (HUN),2016.2.28
8.85,-,53,Zsivoczky-Farkas Györgyi,85,BHSE,H2,Budapest (HUN),2016.1.3
8.85,-,53,Szűcs Noémi,97,HÓDIÁK SE,F,Budapest (HUN),2016.2.21
8.89,-,55,Sorok Klaudia,98,Győri Atlétikai Club,F,Budapest (HUN),2016.2.06
8.91,-,56,Szűcs Noémi,97,HÓDIÁK SE,H1,Budapest (HUN),2016.2.21
8.93,-,57,Juhász Lilla,93,Haladás VSE,H2,"Chapel Hill, NC (USA)",2016.1.09
8.94,8,58,Renner Luca,98,MATE - GEAC,F,Budapest (HUN),2016.2.28
8.97,9,59,Sier Zsófia,95,BSC,F,Budapest (HUN),2016.2.21
8.99,10,60,Kiss Diána,97,BSC,F,Budapest (HUN),2016.1.3
9.0,-,61,Kiss Diána,97,BSC,H1,Budapest (HUN),2016.2.21
9.0,11,61,Soltész Gréta,98,Ócsa SE,F,Budapest (HUN),2016.2.28
9.02,12,63,Jancsurák Sophie,93,Vasas,SF1,"Boston, MA (USA)",2016.2.2
9.02,-,63,Kiss Diána,97,BSC,H1,Budapest (HUN),2016.2.28
9.03,-,65,Kiss Diána,97,BSC,F,Budapest (HUN),2016.2.21
9.04,-,66,Sier Zsófia,95,BSC,F,Budapest (HUN),2016.2.06
9.04,-,66,Sier Zsófia,95,BSC,H2,Budapest (HUN),2016.2.21
9.05,-,68,Jancsurák Sophie,93,Vasas,H1,"Cambridge, MA (USA)",2016.2.05
9.05,-,68,Kiss Diána,97,BSC,F,Budapest (HUN),2016.2.13
9.06,-,70,Jancsurák Sophie,93,Vasas,F,"Boston, MA (USA)",2016.2.21
9.08,-,71,Sier Zsófia,95,BSC,F,Budapest (HUN),2016.2.13
9.08,-,71,Szűcs Noémi,97,HÓDIÁK SE,H2,Budapest (HUN),2016.2.28
9.08,-,71,Kiss Diána,97,BSC,F,Budapest (HUN),2016.2.28
9.1,-,74,Kiss Diána,97,BSC,H1,Budapest (HUN),2016.1.3
9.1,-,74,Renner Luca,98,MATE - GEAC,H1,Budapest (HUN),2016.1.3
9.1,13,74,Ajkler Eszter,97,MATE - GEAC,F,Budapest (HUN),2016.2.28
9.11,14,77,Kiricsi Berill,97,Haladás VSE,F,Bécs (AUT),2016.1.24
9.11,-,77,Jancsurák Sophie,93,Vasas,H1,"Boston, MA (USA)",2016.2.2
9.12,-,79,Kiss Diána,97,BSC,H1,Budapest (HUN),2016.2.06
9.12,-,79,Soltész Gréta,98,Ócsa SE,H1,Budapest (HUN),2016.2.28
9.13,-,81,Renner Luca,98,MATE - GEAC,F,Budapest (HUN),2016.1.3
9.13,-,81,Soltész Gréta,98,Ócsa SE,H2,Budapest (HUN),2016.2.06
9.14,-,83,Jancsurák Sophie,93,Vasas,F,"Boston, MA (USA)",2016.1.21
9.14,-,83,Sier Zsófia,95,BSC,H1,Budapest (HUN),2016.2.06
9.14,-,83,Renner Luca,98,MATE - GEAC,CE,Budapest (HUN),2016.2.13
9.14,-,83,Kiricsi Berill,97,Haladás VSE,H1,Budapest (HUN),2016.2.21
9.15,15,87,Jancsurák Anna,96,Vasas,H2,Budapest (HUN),2016.2.06
9.15,-,87,Renner Luca,98,MATE - GEAC,CE,Budapest (HUN),2016.2.07
9.16,-,89,Kiricsi Berill,97,Haladás VSE,H1,Bécs (AUT),2016.1.24
9.16,-,89,Kiss Diána,97,BSC,F,Budapest (HUN),2016.2.06
9.16,-,89,Ajkler Eszter,97,MATE - GEAC,H2,Budapest (HUN),2016.2.28
9.17,-,92,Jancsurák Sophie,93,Vasas,F1,"Boston, MA (USA)",2016.1.29
9.17,-,92,Renner Luca,98,MATE - GEAC,H2,Budapest (HUN),2016.2.28
9.18,-,94,Sier Zsófia,95,BSC,F,Budapest (HUN),2016.1.3
9.18,-,94,Jancsurák Anna,96,Vasas,F,Budapest (HUN),2016.2.06
9.18,-,94,Jancsurák Anna,96,Vasas,F,Budapest (HUN),2016.2.13
9.19,-,97,Ajkler Eszter,97,MATE - GEAC,CE,Budapest (HUN),2016.2.13
9.19,-,97,Kiricsi Berill,97,Haladás VSE,F,Budapest (HUN),2016.2.21
9.19,-,97,Jancsurák Anna,96,Vasas,H2,Budapest (HUN),2016.2.21
9.19,-,97,Renner Luca,98,MATE - GEAC,F,Budapest (HUN),2016.3.05
9.21,-,101,Soltész Gréta,98,Ócsa SE,F,Budapest (HUN),2016.2.06
9.21,-,101,Soltész Gréta,98,Ócsa SE,F,Budapest (HUN),2016.2.13
9.21,16,101,Edőcs Fanni,98,Miskolci Sportiskola,H1,Budapest (HUN),2016.2.28
9.21,-,101,Ajkler Eszter,97,MATE - GEAC,F,Budapest (HUN),2016.3.05
9.23,-,105,Ajkler Eszter,97,MATE - GEAC,H1,Budapest (HUN),2016.2.21
9.24,-,106,Sier Zsófia,95,BSC,H2,Budapest (HUN),2016.1.3
9.26,-,107,Jancsurák Anna,96,Vasas,F,Budapest (HUN),2016.2.21
9.28,17,108,Szabó Beatrix,95,MTK Budapest,CE,Budapest (HUN),2016.2.13
9.3,-,109,Soltész Gréta,98,Ócsa SE,CE,Budapest (HUN),2016.2.07
9.3,18,109,Hargitai Vanda,97,BSC,F,Budapest (HUN),2016.2.28
9.32,-,111,Kiss Diána,97,BSC,F2,Bécs (AUT),2016.1.16
9.32,-,111,Soltész Gréta,98,Ócsa SE,F,Budapest (HUN),2016.1.3
9.32,-,111,Ajkler Eszter,97,MATE - GEAC,H2,Budapest (HUN),2016.1.3
9.34,-,114,Soltész Gréta,98,Ócsa SE,H1,Budapest (HUN),2016.1.3
9.35,19,115,Tani Zsanett,96,BHSE,H2,Budapest (HUN),2016.2.06
9.36,20,116,Csernyánszky Flóra,99,MATE - GEAC,H1,Bécs (AUT),2016.1.24
9.38,-,117,Tani Zsanett,96,BHSE,F,Budapest (HUN),2016.2.06
9.38,-,117,Hargitai Vanda,97,BSC,H2,Budapest (HUN),2016.2.28
9.39,-,119,Ajkler Eszter,97,MATE - GEAC,F,Budapest (HUN),2016.1.3
9.39,-,119,Hargitai Vanda,97,BSC,F,Budapest (HUN),2016.2.13
9.41,-,121,Ajkler Eszter,97,MATE - GEAC,CE,Budapest (HUN),2016.2.07
9.41,21,121,Barizs Boglárka,97,Ócsa SE,H2,Budapest (HUN),2016.2.21
9.43,22,123,Varga Eszter,0,Szombathelyi SI,F,Bécs (AUT),2016.1.24
9.46,-,124,Hargitai Vanda,97,BSC,H2,Budapest (HUN),2016.2.21
9.48,-,125,Tani Zsanett,96,BHSE,H2,Budapest (HUN),2016.1.3
9.48,23,125,Molnár Judit,95,KSI SE,F,Budapest (HUN),2016.2.13
9.5,-,127,Hargitai Vanda,97,BSC,F2,Bécs (AUT),2016.1.16
9.5,-,127,Barizs Boglárka,97,Ócsa SE,H1,Budapest (HUN),2016.1.3
9.5,-,127,Tani Zsanett,96,BHSE,F,Budapest (HUN),2016.2.13
9.54,-,130,Barizs Boglárka,97,Ócsa SE,H1,Budapest (HUN),2016.2.06
9.56,-,131,Varga Eszter,0,Szombathelyi SI,H1,Bécs (AUT),2016.1.24
9.56,-,131,Hargitai Vanda,97,BSC,H1,Budapest (HUN),2016.1.3
9.56,-,131,Tani Zsanett,96,BHSE,H1,Budapest (HUN),2016.2.21
9.57,-,134,Barizs Boglárka,97,Ócsa SE,F,Budapest (HUN),2016.2.13
9.58,24,135,Fekete Zsófia,97,VEDAC,H1,Budapest (HUN),2016.2.28
