Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
7.95,0.0,1,1,Kozák Luca,96,DSC-SI,SF2,Glasgow (GBR),2024.3.03
7.96,0.0,2,2,Kerekes Gréta,92,DSC-SI,F1,Nyíregyháza (HUN),2024.2.18
7.98,0.0,-,3,Kozák Luca,96,DSC-SI,H5,Glasgow (GBR),2024.3.03
8.01,0.0,-,4,Kozák Luca,96,DSC-SI,F1,Nyíregyháza (HUN),2024.2.18
8.01,0.0,-,4,Kerekes Gréta,92,DSC-SI,F,Berlin (GER),2024.2.23
8.01,0.0,-,4,Kozák Luca,96,DSC-SI,F,Glasgow (GBR),2024.3.03
8.02,0.0,-,7,Kerekes Gréta,92,DSC-SI,F,Beograd (SRB),2024.2.13
8.05,0.0,-,8,Kozák Luca,96,DSC-SI,H2,Liévin (FRA),2024.2.1
8.05,0.0,3,8,Tóth Anna,3,DVTK,F1,Nyíregyháza (HUN),2024.2.18
8.06,0.0,-,10,Kozák Luca,96,DSC-SI,F,Madrid (ESP),2024.2.23
8.06,0.0,-,10,Kozák Luca,96,DSC-SI,H2,Madrid (ESP),2024.2.23
8.06,0.0,-,10,Kerekes Gréta,92,DSC-SI,H2,Glasgow (GBR),2024.3.03
8.09,0.0,-,13,Kozák Luca,96,DSC-SI,H1,Nyíregyháza (HUN),2024.2.18
8.09,0.0,-,13,Kerekes Gréta,92,DSC-SI,H1,Berlin (GER),2024.2.23
8.1,0.0,-,15,Kerekes Gréta,92,DSC-SI,H1,Miramas (FRA),2024.2.02
8.1,0.0,-,15,Kerekes Gréta,92,DSC-SI,H2,Nyíregyháza (HUN),2024.2.18
8.12,0.0,-,17,Kerekes Gréta,92,DSC-SI,SF3,Glasgow (GBR),2024.3.03
8.13,0.0,-,18,Kerekes Gréta,92,DSC-SI,F,Łódź (POL),2024.1.27
8.13,0.0,-,18,Kozák Luca,96,DSC-SI,F,Toruń (POL),2024.2.06
8.14,0.0,-,20,Tóth Anna,3,DVTK,H2,Berlin (GER),2024.2.23
