Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
1:13:23,1,1,Papp Krisztina,82.0,UTE,F,Amsterdam (NED),2016.7.1
1:15:25,2,2,Erdélyi Zsófia,87.0,UTE,F,Bécs (AUT),2016.4.1
1:15:52,-,3,Erdélyi Zsófia,87.0,UTE,F,Wels (AUT),2016.3.2
1:16:49,-,4,Erdélyi Zsófia,87.0,UTE,F,Pozsony (SVK),2016.4.03
1:17:07,3,5,Szabó Tünde,89.0,PVSK,F,Riva del Garda (ITA),2016.11.13
1:17:44,4,6,Gyurkó Fanni,87.0,Vasas,F,Iverness (GBR),2016.3.13
1:18:17,-,7,Gyurkó Fanni,87.0,Vasas,F,Wilmslow (GBR),2016.4.03
1:18:24,5,8,File Zita,88.0,DSC-SI,F,Split (CRO),2016.2.28
1:18:29,-,9,File Zita,88.0,DSC-SI,F,Zagreb (CRO),2016.3.2
1:18:32,6,10,Szederkényi-Takács Andrea,81.0,EAC,F,Ceske Budejovice (CZE),2016.6.04
1:18:44,7,11,Somogyi Anett,96.0,VEDAC,F,Pardubice (CZE),2016.4.16
1:18:53,-,12,Szabó Tünde,89.0,PVSK,F,Velika Gorica (CRO),2016.3.13
1:18:55,-,13,Szederkényi-Takács Andrea,81.0,EAC,F,Ústí nad Labem (CZE),2016.9.17
1:18:55,8,13,Varga Judit,76.0,Haladás VSE,F,Verona (ITA),2016.11.2
1:19:00,-,15,Szabó Tünde,89.0,PVSK,F,Pozsony (SVK),2016.4.03
1:19:11,-,16,Szederkényi-Takács Andrea,81.0,EAC,F,Granollers (ESP),2016.2.07
1:19:13,-,17,Szabó Tünde,89.0,PVSK,F,Sarajevo (BIH),2016.9.18
1:19:25,-,18,File Zita,88.0,DSC-SI,F,Budapest (HUN),2016.9.11
1:20:01,-,19,File Zita,88.0,DSC-SI,F,Rovinj (CRO),2016.4.24
1:20:10,9,20,Staicu Simona,71.0,Dunakeszi VSE,F,Budapest (HUN),2016.9.11
1:20:25,-,21,File Zita,88.0,DSC-SI,F,Velika Gorica (CRO),2016.3.13
1:20:34,-,22,File Zita,88.0,DSC-SI,F,Rijeka (CRO),2016.4.17
1:20:50,10,23,Merényi Tímea,71.0,BHSE,F,Tihany (HUN),2016.6.04
1:20:54,-,24,Staicu Simona,71.0,Dunakeszi VSE,F,Siófok (HUN),2016.11.2
1:21:00,11,25,Weiler Virág,96.0,KSI SE,F,Santa Pola (ESP),2016.1.24
1:21:16,12,26,Laluska Zsuzsa,87.0,BHSE,F,Siófok (HUN),2016.11.2
1:21:32,-,27,Somogyi Anett,96.0,VEDAC,F,Velika Gorica (CRO),2016.3.13
