Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
59.39,1,1,Szilágyi Réka,96,Törökszentmiklósi DAK,F,Bar (MNE),2016.5.01
58.18,-,2,Szilágyi Réka,96,Törökszentmiklósi DAK,F,Budapest (HUN),2016.9.03
57.26,-,3,Szilágyi Réka,96,Törökszentmiklósi DAK,F,Székesfehérvár (HUN),2016.7.18
56.99,2,4,Bogdán Annabella,92,Békéscsabai AC,F,Arad (ROU),2016.3.12
56.39,-,5,Szilágyi Réka,96,Törökszentmiklósi DAK,F,Székesfehérvár (HUN),2016.7.3
55.74,-,6,Szilágyi Réka,96,Törökszentmiklósi DAK,F,Szombathely (HUN),2016.6.25
55.57,-,7,Bogdán Annabella,92,Békéscsabai AC,F,Debrecen (HUN),2016.6.05
55.19,-,8,Szilágyi Réka,96,Törökszentmiklósi DAK,Q2,Amsterdam (NED),2016.7.07
54.65,-,9,Bogdán Annabella,92,Békéscsabai AC,F,Budapest (HUN),2016.6.18
54.44,-,10,Bogdán Annabella,92,Békéscsabai AC,F,Veszprém (HUN),2016.6.12
54.27,-,11,Szilágyi Réka,96,Törökszentmiklósi DAK,F,Debrecen (HUN),2016.6.05
54.08,3,12,Ormay Anikó,91,BHSE,F,Székesfehérvár (HUN),2016.7.18
53.86,4,13,Diósi-Moravcsik Angéla,96,MTK Budapest,F,Székesfehérvár (HUN),2016.7.3
53.73,-,14,Bogdán Annabella,92,Békéscsabai AC,F,Bar (MNE),2016.5.01
53.71,-,15,Diósi-Moravcsik Angéla,96,MTK Budapest,F,Bar (MNE),2016.5.01
53.7,-,16,Ormay Anikó,91,BHSE,F,Vác (HUN),2016.4.23
53.68,-,17,Ormay Anikó,91,BHSE,F,Szombathely (HUN),2016.2.27
53.68,-,17,Bogdán Annabella,92,Békéscsabai AC,F,Budapest (HUN),2016.9.03
53.58,-,19,Bogdán Annabella,92,Békéscsabai AC,F,Székesfehérvár (HUN),2016.9.1
53.45,-,20,Bogdán Annabella,92,Békéscsabai AC,F,Szeged (HUN),2016.10.01
53.34,-,21,Bogdán Annabella,92,Békéscsabai AC,F,Miskolc (HUN),2016.5.28
53.28,-,22,Ormay Anikó,91,BHSE,F,Linz (AUT),2016.6.11
53.19,-,23,Diósi-Moravcsik Angéla,96,MTK Budapest,F,Szombathely (HUN),2016.2.27
52.93,-,24,Diósi-Moravcsik Angéla,96,MTK Budapest,F,Székesfehérvár (HUN),2016.7.18
52.88,-,25,Diósi-Moravcsik Angéla,96,MTK Budapest,F,Arad (ROU),2016.3.12
52.88,-,25,Szilágyi Réka,96,Törökszentmiklósi DAK,F,Miskolc (HUN),2016.5.28
52.67,-,27,Diósi-Moravcsik Angéla,96,MTK Budapest,F,Miskolc (HUN),2016.5.28
52.23,-,28,Diósi-Moravcsik Angéla,96,MTK Budapest,F,Maribor (SLO),2016.7.15
52.21,-,29,Ormay Anikó,91,BHSE,F,Arad (ROU),2016.3.12
52.12,5,30,Szabó Nikolett,80,BSC,CE,Budapest (HUN),2016.5.22
51.68,-,31,Ormay Anikó,91,BHSE,F,Veszprém (HUN),2016.6.12
51.66,-,32,Bogdán Annabella,92,Békéscsabai AC,F,Debrecen (HUN),2016.5.14
51.65,-,33,Ormay Anikó,91,BHSE,F,Székesfehérvár (HUN),2016.7.3
51.45,-,34,Ormay Anikó,91,BHSE,F,Szombathely (HUN),2016.6.25
51.33,-,35,Szilágyi Réka,96,Törökszentmiklósi DAK,Q,Székesfehérvár (HUN),2016.7.29
50.99,-,36,Diósi-Moravcsik Angéla,96,MTK Budapest,F,Vác (HUN),2016.9.25
50.91,-,37,Bogdán Annabella,92,Békéscsabai AC,F,Szombathely (HUN),2016.2.27
50.57,-,38,Bogdán Annabella,92,Békéscsabai AC,F,Székesfehérvár (HUN),2016.7.3
50.55,-,39,Szilágyi Réka,96,Törökszentmiklósi DAK,F,Szombathely (HUN),2016.2.27
50.45,-,40,Diósi-Moravcsik Angéla,96,MTK Budapest,Q,Székesfehérvár (HUN),2016.7.29
50.23,-,41,Ormay Anikó,91,BHSE,F,Debrecen (HUN),2016.5.14
50.07,-,42,Ormay Anikó,91,BHSE,F,Debrecen (HUN),2016.6.05
49.86,-,43,Diósi-Moravcsik Angéla,96,MTK Budapest,F,Debrecen (HUN),2016.6.05
49.83,-,44,Diósi-Moravcsik Angéla,96,MTK Budapest,F,Szekszárd (HUN),2016.5.14
49.78,6,45,Krizsán Xénia,93,MTK Budapest,CE2,Rio de Janeiro (BRA),2016.8.13
