Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
20:35,1,1,Lövei Vanda,6,DVTK,F1,Gyöngyös (HUN),2023.5.2
21:08,2,2,Iker Natália,5,Csepeli DAC,F1,Gyöngyös (HUN),2023.5.2
21:42,3,3,Cseh Krisztina,7,Centrál Elit AC,F1,Gyöngyös (HUN),2023.5.2
22:09,4,4,Galsi Laura,6,Csepeli DAC,F1,Gyöngyös (HUN),2023.5.2
23:05,5,5,Gombár Zoé,8,Miskolci Sportiskola,F1,Gyöngyös (HUN),2023.5.2
23:47,6,6,Csuta Dorottya,4,UTE,F1,Gyöngyös (HUN),2023.5.2
24:07,7,7,Mészáros Dorottya,4,UTE,F1,Gyöngyös (HUN),2023.5.2
24:49,8,8,Tákos Csenge,4,BHSE,F1,Gyöngyös (HUN),2023.5.2
25:01,9,9,Kozma Réka,5,DVTK,F1,Gyöngyös (HUN),2023.5.2
25:04,10,10,Simon Csilla,9,Miskolci Sportiskola,F1,Gyöngyös (HUN),2023.5.2
25:10,11,11,Giczi Aliz,9,Pápai AC,F1,Gyöngyös (HUN),2023.5.2
26:16,12,12,Molitorisz Noémi,6,DVTK,F1,Gyöngyös (HUN),2023.5.2
26:21,13,13,Kevenci Laetitia,9,Miskolci Sportiskola,F1,Gyöngyös (HUN),2023.5.2
28:19,14,14,Zibrinyi Luca,6,DVTK,F1,Gyöngyös (HUN),2023.5.2
28:35,15,15,Lövei Gréta,4,DVTK,F1,Gyöngyös (HUN),2023.5.2
31:59,16,16,Béres Emma,6,DVTK,F1,Gyöngyös (HUN),2023.5.2
1:04:23,17,17,File Zita,88,DVTK,F1,Gyöngyös (HUN),2023.5.2
1:07:03,18,18,Tiricz Irén,85,Pomázi Futó Bajnokok SE,F1,Gyöngyös (HUN),2023.5.2
1:09:25,19,19,Soós Fanni,99,Csömöri Sport Kft.,F1,Gyöngyös (HUN),2023.5.2
1:09:45,20,20,Brassay Réka,78,VEDAC,F1,Gyöngyös (HUN),2023.5.2
1:09:53,21,21,Zólyomi Kinga,76,Csömöri Sport Kft.,F1,Gyöngyös (HUN),2023.5.2
1:10:03,22,22,Mérő Dominika,1,VEDAC,F1,Gyöngyös (HUN),2023.5.2
1:11:41,23,23,Weibl Anissa,87,VEDAC,F1,Gyöngyös (HUN),2023.5.2
1:12:53,24,24,Nyilas Zsuzsanna,85,DVTK,F1,Gyöngyös (HUN),2023.5.2
1:13:30,25,25,Ősi Eszter,97,HK SE,F1,Gyöngyös (HUN),2023.5.2
1:14:16,26,26,Lantos Borbála,88,Gyötri Klub,F1,Gyöngyös (HUN),2023.5.2
1:14:27,27,27,Prokopp Erzsébet,81,ELTE SE Sashegyi gepárdok,F1,Gyöngyös (HUN),2023.5.2
1:15:14,28,28,Gergely Petra,88,VEDAC,F1,Gyöngyös (HUN),2023.5.2
1:15:41,29,29,Behan Anikó,73,DVTK,F1,Gyöngyös (HUN),2023.5.2
1:19:05,30,30,Rozgonyi Zsuzsanna,82,Zenit SE,F1,Gyöngyös (HUN),2023.5.2
1:20:17,31,31,Szesztai Szép Eszter,78,Zenit SE,F1,Gyöngyös (HUN),2023.5.2
1:22:43,32,32,Bocsiné Forgács Éva,79,Gyötri Klub,F1,Gyöngyös (HUN),2023.5.2
1:25:47,33,33,Kovács-Kulcsár Zsuzsanna,81,DVTK,F1,Gyöngyös (HUN),2023.5.2
1:27:41,34,34,Györkös Virág,76,Pápai AC,F1,Gyöngyös (HUN),2023.5.2
1:27:59,35,35,Rokonay Szonja,2,BEAC,F1,Gyöngyös (HUN),2023.5.2
1:31:14,36,36,Hevesi Hajnalka,83,Gyötri Klub,F1,Gyöngyös (HUN),2023.5.2
1:31:32,37,37,Pál Enikő,70,BAB SE,F1,Gyöngyös (HUN),2023.5.2
1:33:16,38,38,Mayer Anett,78,Csömöri Sport Kft.,F1,Gyöngyös (HUN),2023.5.2
1:43:36,39,39,Udvardi Sarolta,95,Zenit SE,F1,Gyöngyös (HUN),2023.5.2
1:46:30,-,40,Tiricz Irén,85,Pomázi Futó Bajnokok SE,F1,Szentgál (HUN),2023.4.02
1:46:30,-,40,Tiricz Irén,85,Pomázi Futó Bajnokok SE,F1,Szentgál (HUN),2023.4.02
1:47:20,-,42,Mérő Dominika,1,VEDAC,F1,Szentgál (HUN),2023.4.02
1:49:06,40,43,Tomaschof Kata,93,FTC,F1,Gyöngyös (HUN),2023.5.2
1:51:25,-,44,Soós Fanni,99,Csömöri Sport Kft.,F1,Szentgál (HUN),2023.4.02
1:52:05,-,45,Gergely Petra,88,VEDAC,F1,Szentgál (HUN),2023.4.02
1:52:05,-,45,Gergely Petra,88,VEDAC,F1,Szentgál (HUN),2023.4.02
1:54:29,-,47,Weibl Anissa,87,VEDAC,F1,Szentgál (HUN),2023.4.02
1:54:29,-,47,Weibl Anissa,87,VEDAC,F1,Szentgál (HUN),2023.4.02
1:56:00,41,49,Poór Brigitta,89,TFSE,F1,Szentgál (HUN),2023.4.02
1:57:01,-,50,Ősi Eszter,97,HK SE,F1,Szentgál (HUN),2023.4.02
2:03:48,-,51,Szesztai Szép Eszter,78,Zenit SE,F1,Szentgál (HUN),2023.4.02
2:03:48,-,51,Szesztai Szép Eszter,78,Zenit SE,F1,Szentgál (HUN),2023.4.02
2:04:19,-,53,Zólyomi Kinga,76,Csömöri Sport Kft.,F1,Szentgál (HUN),2023.4.02
2:04:19,-,53,Zólyomi Kinga,76,Csömöri Sport Kft.,F1,Szentgál (HUN),2023.4.02
2:13:07,42,55,Leé Diána,82,VEDAC,F1,Szentgál (HUN),2023.4.02
2:13:07,-,55,Leé Diána,82,VEDAC,F1,Szentgál (HUN),2023.4.02
2:18:42,43,57,Bellér Zsuzsanna,74,VEDAC,F1,Szentgál (HUN),2023.4.02
2:18:42,-,57,Bellér Zsuzsanna,74,VEDAC,F1,Szentgál (HUN),2023.4.02
2:22:09,44,59,Szentpáli-Gavallér Mónika,74,MFSE,F1,Szentgál (HUN),2023.4.02
2:22:09,-,59,Szentpáli-Gavallér Mónika,74,MFSE,F1,Szentgál (HUN),2023.4.02
2:28:55,-,61,Mayer Anett,78,Csömöri Sport Kft.,F1,Szentgál (HUN),2023.4.02
2:28:55,-,61,Mayer Anett,78,Csömöri Sport Kft.,F1,Szentgál (HUN),2023.4.02
2:49:32,45,63,Lukács Tünde,77,Salgótarjáni AC,F1,Szentgál (HUN),2023.4.02
19:06,1,1,Juhász Dorottya,9,VSD,F1,Gyöngyös (HUN),2024.5.11
20:04,2,2,Lövei Vanda,6,DVTK,F1,Gyöngyös (HUN),2024.5.11
20:57,3,3,Hartman Liliána,5,DSC-SI,F1,Gyöngyös (HUN),2024.5.11
21:12,4,4,Katona Korinna,9,EVSI,F1,Gyöngyös (HUN),2024.5.11
21:30,5,5,Iker Natália,5,Csepel TC,F1,Gyöngyös (HUN),2024.5.11
22:36,6,6,Sandl Boglárka,9,Pápai AC,F1,Gyöngyös (HUN),2024.5.11
23:14,7,7,Sandl Viktória,9,Pápai AC,F1,Gyöngyös (HUN),2024.5.11
23:36,8,8,Gombár Zoé,8,DVTK,F1,Gyöngyös (HUN),2024.5.11
23:37,9,9,Simon Csilla,9,Miskolci Sportiskola,F1,Gyöngyös (HUN),2024.5.11
23:48,10,10,Lőcse Hanna,8,DVTK,F1,Gyöngyös (HUN),2024.5.11
24:00,11,11,Giczi Aliz,9,Pápai AC,F1,Gyöngyös (HUN),2024.5.11
24:26,12,12,Zibrinyi Luca,6,DVTK,F1,Gyöngyös (HUN),2024.5.11
1:04:25,13,13,Tiricz Irén,85,HK SE,F1,Gyöngyös (HUN),2024.5.11
1:04:25,-,13,Tiricz Irén,85,HK SE,F1,Gyöngyös (HUN),2024.5.11
1:04:54,-,15,Zólyomi Kinga,76,Csömöri Sport Kft.,F1,Gyöngyös (HUN),2024.5.11
1:04:54,14,15,Zólyomi Kinga,76,Csömöri Sport Kft.,F1,Gyöngyös (HUN),2024.5.11
1:05:55,15,17,Barabás Eszter,1,ELTE SE Sashegyi gepárdok,F1,Gyöngyös (HUN),2024.5.11
1:06:46,16,18,Mag Fruzsina,3,Salgótarjáni AC,F1,Gyöngyös (HUN),2024.5.11
1:07:26,17,19,Posztós Kitti,95,HK SE,F1,Gyöngyös (HUN),2024.5.11
1:08:36,18,20,Horváth Tímea,94,BHSE,F1,Gyöngyös (HUN),2024.5.11
1:09:32,19,21,Prokopp Erzsébet,81,ELTE SE Sashegyi gepárdok,F1,Gyöngyös (HUN),2024.5.11
1:09:32,-,21,Prokopp Erzsébet,81,ELTE SE Sashegyi gepárdok,F1,Gyöngyös (HUN),2024.5.11
1:11:35,20,23,Herczog Anna,97,ELTE SE Sashegyi gepárdok,F1,Gyöngyös (HUN),2024.5.11
1:15:04,21,24,Ősi Eszter,97,HK SE,F1,Gyöngyös (HUN),2024.5.11
1:21:26,-,25,Györkös Virág,76,Pápai AC,F1,Gyöngyös (HUN),2024.5.11
1:21:26,22,25,Györkös Virág,76,Pápai AC,F1,Gyöngyös (HUN),2024.5.11
1:30:35,23,27,Lukács Tünde,77,Salgótarjáni AC,F1,Gyöngyös (HUN),2024.5.11
1:30:35,-,27,Lukács Tünde,77,Salgótarjáni AC,F1,Gyöngyös (HUN),2024.5.11
1:32:12,24,29,Lajosné Major Zsuzsanna,85,Csömöri Sport Kft.,F1,Gyöngyös (HUN),2024.5.11
1:32:12,-,29,Lajosné Major Zsuzsanna,85,Csömöri Sport Kft.,F1,Gyöngyös (HUN),2024.5.11
1:34:04,-,31,Molnár Krisztina,70,Salgótarjáni AC,F1,Gyöngyös (HUN),2024.5.11
1:34:04,25,31,Molnár Krisztina,70,Salgótarjáni AC,F1,Gyöngyös (HUN),2024.5.11
1:35:32,-,33,Szuhai Beatrix,89,Csömöri Sport Kft.,F1,Gyöngyös (HUN),2024.5.11
1:35:32,26,33,Szuhai Beatrix,89,Csömöri Sport Kft.,F1,Gyöngyös (HUN),2024.5.11
1:36:47,27,35,Szentpáli-Gavallér Mónika,74,Zemplén Fanatik Egyesület,F1,Gyöngyös (HUN),2024.5.11
1:39:41,-,36,Szentpáli-Gavallér Mónika,74,Zemplén Fanatik Egyesület,F1,Gyöngyös (HUN),2024.5.11
1:47:20,28,37,Weiler Virág,96,KSI SE,F1,Szentgál (HUN),2024.4.07
1:49:34,-,38,Posztós Kitti,95,HK SE,F1,Szentgál (HUN),2024.4.07
1:50:16,29,39,Urbán Ildikó,79,MMAC,F1,Gyöngyös (HUN),2024.5.11
1:50:16,-,39,Urbán Ildikó,79,MMAC,F1,Gyöngyös (HUN),2024.5.11
1:50:41,-,41,Prokopp Erzsébet,81,ELTE SE Sashegyi gepárdok,F1,Szentgál (HUN),2024.4.07
1:51:24,-,42,Zólyomi Kinga,76,Csömöri Sport Kft.,F1,Szentgál (HUN),2024.4.07
1:51:24,-,42,Zólyomi Kinga,76,Csömöri Sport Kft.,F1,Szentgál (HUN),2024.4.07
1:53:05,-,44,Tiricz Irén,85,HK SE,F1,Szentgál (HUN),2024.4.07
1:55:05,-,45,Herczog Anna,97,ELTE SE Sashegyi gepárdok,F1,Szentgál (HUN),2024.4.07
1:59:07,30,46,Zákányi Panna,0,ELTE SE Sashegyi gepárdok,F1,Szentgál (HUN),2024.4.07
2:02:54,31,47,Szesztai Szép Eszter,78,Zenit SE,F1,Szentgál (HUN),2024.4.07
2:02:54,-,47,Szesztai Szép Eszter,78,Zenit SE,F1,Szentgál (HUN),2024.4.07
2:04:49,32,49,Jánosi Lilla,99,TFSE,F1,Szentgál (HUN),2024.4.07
2:08:49,33,50,Rozgonyi Zsuzsanna,82,Zenit SE,F1,Szentgál (HUN),2024.4.07
2:08:49,-,50,Rozgonyi Zsuzsanna,82,Zenit SE,F1,Szentgál (HUN),2024.4.07
2:12:09,-,52,Ősi Eszter,97,HK SE,F1,Szentgál (HUN),2024.4.07
2:14:55,34,53,Barabás Viktória,79,Sanyosz Istálló,F1,Szentgál (HUN),2024.4.07
2:14:55,-,53,Barabás Viktória,79,Sanyosz Istálló,F1,Szentgál (HUN),2024.4.07
2:21:15,35,55,Csernák Enikő,88,Zenit SE,F1,Szentgál (HUN),2024.4.07
2:21:15,-,55,Csernák Enikő,88,Zenit SE,F1,Szentgál (HUN),2024.4.07
2:21:33,36,57,Tóth Judit,76,Tovafutók SE,F1,Szentgál (HUN),2024.4.07
2:21:33,-,57,Tóth Judit,76,Tovafutók SE,F1,Szentgál (HUN),2024.4.07
2:28:32,37,59,Bencze Renáta,92,TFSE,F1,Szentgál (HUN),2024.4.07
2:30:41,38,60,Kovács Nóra,3,TFSE,F1,Szentgál (HUN),2024.4.07
2:47:06,-,61,Lukács Tünde,77,Salgótarjáni AC,F1,Szentgál (HUN),2024.4.07
2:47:06,-,61,Lukács Tünde,77,Salgótarjáni AC,F1,Szentgál (HUN),2024.4.07
