Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
13.1,1,1,Hoffer Krisztina,90,TSC-Geotech,F,Budapest (HUN),2016.2.21
12.9,2,2,Bajnok Eszter,97,Favorit AC,F,Budapest (HUN),2016.1.3
12.87,-,3,Bajnok Eszter,97,Favorit AC,F,Budapest (HUN),2016.2.13
12.58,-,4,Hoffer Krisztina,90,TSC-Geotech,F,Pozsony (SVK),2016.1.31
12.24,3,5,Lesti Diana,98,KARC,F,Budapest (HUN),2016.2.21
12.09,4,6,Szabó Krisztina,95,Győri Atlétikai Club,F,"Birmingham, AL (USA)",2016.2.23
12.0,5,7,Huszár Kitti,93,ARAK,F,Budapest (HUN),2016.2.21
12.0,-,7,Lesti Diana,98,KARC,F,Budapest (HUN),2016.2.27
11.99,-,9,Lesti Diana,98,KARC,F,Bonyhád (HUN),2016.1.27
11.84,-,10,Szabó Krisztina,95,Győri Atlétikai Club,F,Nashville (USA),2016.1.16
11.82,-,11,Lesti Diana,98,KARC,F,Bonyhád (HUN),2016.1.13
11.7,-,12,Huszár Kitti,93,ARAK,F,Budapest (HUN),2016.2.13
11.61,6,13,Kusztor Kitti,97,Keszthely VDSE,F,Budapest (HUN),2016.2.27
11.56,7,14,Abiwu-Türk Bettina,82,BHSE,F,Budapest (HUN),2016.2.21
11.52,-,15,Huszár Kitti,93,ARAK,F,Budapest (HUN),2016.1.3
11.48,8,16,Gyurka Borbála,98,Favorit AC,F,Budapest (HUN),2016.2.13
11.46,-,17,Gyurka Borbála,98,Favorit AC,F,Budapest (HUN),2016.2.21
11.45,-,18,Gyurka Borbála,98,Favorit AC,F,Budapest (HUN),2016.2.27
11.42,-,19,Abiwu-Türk Bettina,82,BHSE,F,Budapest (HUN),2016.2.13
11.41,9,20,Filyó Fanni,98,Szolnoki MÁV-SE,F,Budapest (HUN),2016.2.27
11.38,-,21,Abiwu-Türk Bettina,82,BHSE,F,Budapest (HUN),2016.1.3
11.32,10,22,Salamon Sára,92,TSC-Geotech,F,Budapest (HUN),2016.2.21
11.26,11,23,Varga Nikolett,98,Haladás VSE,F,Budapest (HUN),2016.2.27
11.22,12,24,Hargitai Vanda,97,BSC,F,Budapest (HUN),2016.2.27
11.21,-,25,Gyurka Borbála,98,Favorit AC,F,Bonyhád (HUN),2016.2.1
11.12,-,26,Filyó Fanni,98,Szolnoki SC-SI,F,Budapest (HUN),2016.1.3
11.05,13,27,Csincsi Barbara,0,ARAK,F,Budapest (HUN),2016.2.27
11.02,14,28,Váczi Kamilla,0,MATE - GEAC,F,Budapest (HUN),2016.2.27
10.96,-,29,Gyurka Borbála,98,Favorit AC,F,Budapest (HUN),2016.1.3
10.96,-,29,Hargitai Vanda,97,BSC,F,Budapest (HUN),2016.1.3
10.95,15,31,Kühne Gréta,0,UTE,F,Budapest (HUN),2016.2.27
10.88,-,32,Kühne Gréta,0,UTE,F,Budapest (HUN),2016.1.3
10.87,-,33,Váczi Kamilla,0,MATE - GEAC,F,Budapest (HUN),2016.2.13
10.85,16,34,Dankó Anna,98,Dunakeszi VSE,F,Budapest (HUN),2016.1.3
10.82,17,35,Uzsoki Virág,98,Mezőtúri AC,F,Budapest (HUN),2016.2.13
10.79,18,36,Mórocz Boglárka,0,MAFC,F,Budapest (HUN),2016.2.27
10.78,19,37,Lukács Erika,86,,F,Linz (AUT),2016.2.2
10.77,-,38,Kühne Gréta,0,UTE,F,Nyíregyháza (HUN),2016.1.23
10.76,-,39,Hargitai Vanda,97,BSC,F,Budapest (HUN),2016.2.13
10.72,-,40,Uzsoki Virág,98,Mezőtúri AC,F,Budapest (HUN),2016.2.27
10.71,-,41,Gyurka Borbála,98,Favorit AC,F,Bonyhád (HUN),2016.1.27
10.66,20,42,Szépe Flóra,0,ARAK,F,Budapest (HUN),2016.2.27
10.65,-,43,Szépe Flóra,0,ARAK,F,Székesfehérvár (HUN),2016.1.23
10.65,21,43,Széki Petra,99,NYSC,F,Budapest (HUN),2016.2.27
10.64,22,45,Kerék Kata,99,ARAK,F,Budapest (HUN),2016.2.27
10.6,-,46,Csincsi Barbara,0,ARAK,F,Budapest (HUN),2016.2.13
10.57,23,47,Tarnóczy Virág,98,KARC,F,Bonyhád (HUN),2016.1.27
10.57,23,47,Veres Csilla,0,UTE,F,Budapest (HUN),2016.2.27
10.56,-,49,Tarnóczy Virág,98,KARC,F,Budapest (HUN),2016.2.27
10.52,-,50,Széki Petra,99,NYSC,F,Nyíregyháza (HUN),2016.1.23
10.43,-,51,Dankó Anna,98,Dunakeszi VSE,F,Budapest (HUN),2016.2.13
10.42,-,52,Kerék Kata,99,ARAK,F,Budapest (HUN),2016.2.13
10.41,-,53,Kühne Gréta,0,UTE,F,Budapest (HUN),2016.2.13
10.41,25,53,Farkas Viktória,97,UTE,F,Budapest (HUN),2016.2.27
10.29,26,55,Varga Fanni,98,KARC,F,Budapest (HUN),2016.2.27
10.28,27,56,Kiss Bernadett,97,KSI SE,F,Budapest (HUN),2016.2.27
10.25,28,57,Szalai Szimonetta,98,UTE,F,Budapest (HUN),2016.2.27
10.24,-,58,Veres Csilla,0,UTE,F,Budapest (HUN),2016.2.13
10.2,29,59,Varga Tímea,94,Szolnoki MÁV-SE,F,Budapest (HUN),2016.2.13
10.2,-,59,Szalai Szimonetta,98,UTE,F,Budapest (HUN),2016.2.13
10.2,-,59,Dankó Anna,98,Dunakeszi VSE,F,Budapest (HUN),2016.2.27
10.14,-,62,Veres Csilla,0,UTE,F,Budapest (HUN),2016.1.3
10.14,30,62,Knipfer Zsófia,99,Szolnoki SC-SI,F,Budapest (HUN),2016.1.3
10.09,-,64,Varga Fanni,98,KARC,F,Bonyhád (HUN),2016.1.27
10.08,31,65,Prekli Dalma,99,UTE,F,Budapest (HUN),2016.2.27
10.04,32,66,Marth Fruzsina,99,ARAK,F,Budapest (HUN),2016.2.27
10.03,33,67,Incze Krisztina,97,UTE,F,Budapest (HUN),2016.2.27
10.0,-,68,Knipfer Zsófia,99,Szolnoki SC-SI,F,Budapest (HUN),2016.2.27
13.08,1,1,Hoffer Krisztina,90,TSC-Geotech,F,Budapest (HUN),2017.2.19
12.74,-,2,Hoffer Krisztina,90,TSC-Geotech,F,Amsterdam (NED),2017.1.27
12.6,2,3,Bajnok Eszter,97,Favorit AC,F,"South Bend, IN (USA)",2017.2.25
12.52,-,4,Bajnok Eszter,97,Favorit AC,F,Blacksburg (USA),2017.1.14
12.45,3,5,Gyurka Borbála,98,Favorit AC,F,Budapest (HUN),2017.1.28
12.34,-,6,Bajnok Eszter,97,Favorit AC,F,"Lynchburg, VA (USA)",2017.2.11
12.29,4,7,Szabó Krisztina,95,Győri Atlétikai Club,F,"Birmingham, AL (USA)",2017.2.21
12.25,-,8,Szabó Krisztina,95,Győri Atlétikai Club,F2,Nashville (USA),2017.2.1
12.15,-,9,Gyurka Borbála,98,Favorit AC,F,Budapest (HUN),2017.2.25
12.1,5,10,Fodor Anna,1,DSC-SI,F,Budapest (HUN),2017.2.25
12.08,-,11,Szabó Krisztina,95,Győri Atlétikai Club,F,"Birmingham, AL (USA)",2017.2.05
12.04,-,12,Szabó Krisztina,95,Győri Atlétikai Club,F2,Nashville (USA),2017.1.21
12.03,-,13,Fodor Anna,1,DSC-SI,F,Nyíregyháza (HUN),2017.1.15
12.03,-,13,Gyurka Borbála,98,Favorit AC,F,Budapest (HUN),2017.2.11
12.02,6,15,Nyisztor Petra,96,DSC-SI,F,Nyíregyháza (HUN),2017.1.15
11.95,7,16,Indaia Ivett,92,Szekszárdi Sportközpont,F,Budapest (HUN),2017.2.19
11.94,-,17,Gyurka Borbála,98,Favorit AC,F,Budapest (HUN),2017.2.19
11.93,8,18,Kónya Enikő,2,UTE,F,Budapest (HUN),2017.2.19
11.92,-,19,Fodor Anna,1,DSC-SI,F,Nyíregyháza (HUN),2017.1.22
11.89,-,20,Fodor Anna,1,DSC-SI,F,Budapest (HUN),2017.1.28
11.89,9,20,Áts Viktória,1,TSC-Geotech,F,Bonyhád (HUN),2017.2.15
11.85,10,22,Balogh Csenge,1,NYSC,F,Budapest (HUN),2017.2.25
11.82,-,23,Kónya Enikő,2,UTE,F,Budapest (HUN),2017.2.11
11.82,-,23,Nyisztor Petra,96,NYSC,F,Budapest (HUN),2017.2.19
11.8,-,25,Nyisztor Petra,96,NYSC,F,Nyíregyháza (HUN),2017.1.22
11.77,-,26,Áts Viktória,1,TSC-Geotech,F,Budapest (HUN),2017.2.25
