Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
13.45,0.9,1,1,Hoffer Krisztina,90,TSC-Geotech,F,Székesfehérvár (HUN),2016.9.1
13.32,0.8,-,2,Hoffer Krisztina,90,TSC-Geotech,F,Debrecen (HUN),2016.6.05
13.21,0.7,-,3,Hoffer Krisztina,90,TSC-Geotech,F,Budapest (HUN),2016.9.04
13.17,1.1,-,4,Hoffer Krisztina,90,TSC-Geotech,F,Budapest (HUN),2016.6.18
13.14,1.5,-,5,Hoffer Krisztina,90,TSC-Geotech,F,Budapest (HUN),2016.8.2
13.12,1.3,2,6,Bajnok Eszter,97,Favorit AC,F,Szombathely (HUN),2016.6.25
13.09,1.5,-,7,Bajnok Eszter,97,Favorit AC,F,Debrecen (HUN),2016.6.05
13.02,1.5,-,8,Hoffer Krisztina,90,TSC-Geotech,F,Székesfehérvár (HUN),2016.7.3
12.89,1.3,-,9,Hoffer Krisztina,90,TSC-Geotech,F,Szekszárd (HUN),2016.5.14
12.88,1.0,3,10,Indaia Ivett,92,Szekszárdi Sportközpont,F,Szekszárd (HUN),2016.5.14
12.81,1.3,-,11,Indaia Ivett,92,Szekszárdi Sportközpont,F,Székesfehérvár (HUN),2016.7.3
12.78,0.7,-,12,Bajnok Eszter,97,Favorit AC,F,Budapest (HUN),2016.6.18
12.77,-1.1,-,13,Bajnok Eszter,97,Favorit AC,F,Miskolc (HUN),2016.7.01
12.71,0.4,-,14,Bajnok Eszter,97,Favorit AC,F,Szekszárd (HUN),2016.5.14
12.64,1.4,-,15,Indaia Ivett,92,Szekszárdi Sportközpont,F,Debrecen (HUN),2016.6.05
12.6,1.5,4,16,Szabó Krisztina,95,Győri Atlétikai Club,F,Starkville (USA),2016.4.3
12.58,1.3,-,17,Indaia Ivett,92,Szekszárdi Sportközpont,F,Budapest (HUN),2016.6.18
12.55,0.9,-,18,Bajnok Eszter,97,Favorit AC,F,Székesfehérvár (HUN),2016.7.3
12.5,0.3,-,19,Indaia Ivett,92,Szekszárdi Sportközpont,F,Budapest (HUN),2016.9.04
12.36,2.0,-,20,Szabó Krisztina,95,Győri Atlétikai Club,F,Szombathely (HUN),2016.6.25
12.29,0.6,5,21,Gyurka Borbála,98,Favorit AC,F,Budapest (HUN),2016.8.2
12.27,,-,22,Szabó Krisztina,95,Győri Atlétikai Club,F,Lafayette (USA),2016.5.15
12.2,1.8,6,23,Szirbucz Andrea,72,KSI SE,F,Székesfehérvár (HUN),2016.9.1
12.12,0.6,7,24,Huszár Kitti,93,ARAK,F,Miskolc (HUN),2016.5.29
12.12,2.0,-,24,Gyurka Borbála,98,Favorit AC,F,Szombathely (HUN),2016.6.25
12.1,1.5,-,26,Huszár Kitti,93,ARAK,F,Székesfehérvár (HUN),2016.7.3
12.06,1.5,-,27,Huszár Kitti,93,ARAK,F,Debrecen (HUN),2016.6.05
12.06,1.2,8,27,Lipták Aliz,0,KSI SE,F,Brno (CZE),2016.6.11
12.06,1.6,8,27,Lesti Diana,98,KARC,F,Budapest (HUN),2016.8.2
12.05,-0.9,-,30,Lipták Aliz,0,KSI SE,F,Tbilisi (GEO),2016.7.15
