Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
2593,1,1,Krizsán Xénia,93,MTK Budapest,F1,Győr (HUN),2022.9.11
2321,2,2,Szűcs Szabina,2,BHSE,F1,Győr (HUN),2022.9.11
2070,3,3,Barna Patrícia,3,KARC,F1,Győr (HUN),2022.9.11
1986,4,4,Fekete Fédra,98,BHSE,F1,Győr (HUN),2022.9.11
1856,5,5,Mórocz Boglárka,0,Vasas,F1,Győr (HUN),2022.9.11
1848,6,6,Kovács Vivien,91,MTK Budapest,F1,Győr (HUN),2022.9.11
1763,7,7,Fekete Fanni,0,BHSE,F1,Győr (HUN),2022.9.11
1682,8,8,Nyilasi Diána,4,BHSE,F1,Győr (HUN),2022.9.11
2043,1,1,Barna Patrícia,3,KARC,F1,Budapest (HUN),2023.7.22
1823,2,2,Fekete Fanni,0,BHSE,F1,Budapest (HUN),2023.7.22
1274,3,3,Urbán Kitti,98,UTE,F1,Budapest (HUN),2023.7.22
