Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
2456,1,1,Szűcs Szabina,2,BHSE,F1,Budapest (HUN),2023.5.27
2087,2,2,Mórocz Boglárka,0,Vasas,F1,Budapest (HUN),2023.5.27
2064,3,3,Bartha Lilla,3,MTK Budapest,F1,Budapest (HUN),2023.5.27
1960,4,4,Kovács Vivien,91,MTK Budapest,F1,Budapest (HUN),2023.5.27
1712,5,5,Fekete Fanni,0,BHSE,F1,Budapest (HUN),2023.5.27
1542,6,6,Szmolár Boglárka,7,VSD,F1,Budapest (HUN),2023.5.27
1462,7,7,Urbán Kitti,98,UTE,F1,Budapest (HUN),2023.5.27
1342,8,8,Deák Emese,5,VSD,F1,Budapest (HUN),2023.5.27
1195,9,9,Király Liliom,5,VSD,F1,Budapest (HUN),2023.5.27
912,10,10,Nyilasi Diána,4,BHSE,F1,Budapest (HUN),2023.5.27
