Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
2646,1,1,Krizsán Xénia,93,MTK Budapest,F1,Budapest (HUN),2018.7.27
2590,2,2,Zsivoczky-Farkas Györgyi,85,BHSE,F1,Budapest (HUN),2018.7.27
1690,3,3,Gődény Pálma,0,FTC,F1,Budapest (HUN),2018.7.27
1647,4,4,Fekete Fanni,0,Reménység Vác,F1,Budapest (HUN),2018.7.27
2698,1,1,Krizsán Xénia,93,MTK Budapest,F1,Budapest (HUN),2019.6.16
2509,2,2,Nemes Rita,89,Miskolci Sportiskola,F1,Budapest (HUN),2019.9.01
2467,-,3,Nemes Rita,89,Miskolci Sportiskola,F1,Budapest (HUN),2019.6.16
1981,3,4,Szabó Beatrix,95,MTK Budapest,F1,Budapest (HUN),2019.9.01
1931,4,5,Kárpáti Enikő,1,PSN - Pécsi Sportiskola,F1,Budapest (HUN),2019.9.01
1811,5,6,Marosi Viktória,1,MTK Budapest,F1,Budapest (HUN),2019.9.01
1798,6,7,Gődény Pálma,0,FTC,F1,Budapest (HUN),2019.9.01
1465,7,8,Mórocz Boglárka,0,Vasas,F1,Budapest (HUN),2019.9.01
2666,1,1,Krizsán Xénia,93,MTK Budapest,F1,Budapest (HUN),2020.9.13
2558,2,2,Nemes Rita,89,DVTK,F1,Budapest (HUN),2020.9.13
2154,3,3,Szűcs Szabina,2,KARC,F1,Budapest (HUN),2020.9.13
1958,4,4,Barna Patrícia,3,KARC,F1,Budapest (HUN),2020.9.13
1930,5,5,Kovács Vivien,91,MTK Budapest,F1,Budapest (HUN),2020.9.13
1810,6,6,Gődény Pálma,0,FTC,F1,Budapest (HUN),2020.9.13
1765,7,7,Marosi Viktória,1,MTK Budapest,F1,Budapest (HUN),2020.9.13
1688,8,8,Mórocz Boglárka,0,Vasas,F1,Budapest (HUN),2020.9.13
2673,1,1,Krizsán Xénia,93,MTK Budapest,F1,Budapest (HUN),2021.9.05
2288,2,2,Szűcs Szabina,2,KARC,F1,Budapest (HUN),2021.9.05
2039,3,3,Bartha Lilla,3,BHSE,F1,Budapest (HUN),2021.9.05
2024,-,4,Bartha Lilla,3,BHSE,F1,Veszprém (HUN),2021.6.06
2008,4,5,Szilágyi Petra,0,Győri Atlétikai Club,F1,Veszprém (HUN),2021.6.06
1967,5,6,Marosi Viktória,1,MTK Budapest,F1,Veszprém (HUN),2021.6.06
1961,6,7,Barna Patrícia,3,KARC,F1,Budapest (HUN),2021.9.05
1913,-,8,Marosi Viktória,1,MTK Budapest,F1,Budapest (HUN),2021.9.05
1881,-,9,Barna Patrícia,3,KARC,F1,Veszprém (HUN),2021.6.06
1787,-,10,Szilágyi Petra,0,Győri Atlétikai Club,F1,Budapest (HUN),2021.9.05
1710,7,11,Fekete Fanni,0,BHSE,F1,Budapest (HUN),2021.9.05
1693,8,12,Kovács Nóra,4,KARC,F1,Veszprém (HUN),2021.6.06
1677,9,13,Nemes Kincső,3,KSI SE,F1,Budapest (HUN),2021.9.05
1618,-,14,Nemes Kincső,3,KSI SE,F1,Veszprém (HUN),2021.6.06
1521,-,15,Fekete Fanni,0,BHSE,F1,Veszprém (HUN),2021.6.06
1417,-,16,Szűcs Szabina,2,KARC,F1,Veszprém (HUN),2021.6.06
1411,10,17,Baumgartner Vivien,2,Győri Atlétikai Club,F1,Veszprém (HUN),2021.6.06
756,11,18,Rostás Klarissza,5,Tamási TAM - BAU AC,F1,Veszprém (HUN),2021.6.06
381,12,19,István-Elek Anna,4,BHSE,F1,Veszprém (HUN),2021.6.06
2610,1,1,Nemes Rita,89,MTK Budapest,F1,Kecskemét (HUN),2023.9.03
2511,2,2,Szűcs Szabina,2,BHSE,F1,Kecskemét (HUN),2023.9.03
2057,3,3,Barna Patrícia,3,KARC,F1,Kecskemét (HUN),2023.9.03
2045,4,4,Bartha Lilla,3,MTK Budapest,F1,Kecskemét (HUN),2023.9.03
1774,5,5,Mórocz Boglárka,0,Vasas,F1,Kecskemét (HUN),2023.9.03
1674,6,6,Fekete Fanni,0,BHSE,F1,Kecskemét (HUN),2023.9.03
1334,7,7,Szmolár Boglárka,7,VSD,F1,Kecskemét (HUN),2023.9.03
