Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
2544,1,1,Krizsán Xénia,93,MTK Budapest,F1,Budapest (HUN),2019.2.03
2147,2,2,Szabó Beatrix,95,MTK Budapest,F1,Budapest (HUN),2019.2.03
1981,3,3,Kárpáti Enikő,1,PSN - Pécsi Sportiskola,F1,Budapest (HUN),2019.2.03
1814,4,4,Marosi Viktória,1,MTK Budapest,F1,Budapest (HUN),2019.2.03
1807,5,5,Gődény Pálma,0,FTC,F1,Budapest (HUN),2019.2.03
1758,6,6,Mórocz Boglárka,0,Vasas,F1,Budapest (HUN),2019.2.03
2508,1,1,Nemes Rita,89,DVTK,F1,Budapest (HUN),2020.2.09
2185,2,2,Szűcs Szabina,2,KARC,F1,Budapest (HUN),2020.2.09
2061,3,3,Kovács Vivien,91,MTK Budapest,F1,Budapest (HUN),2020.2.09
1895,4,4,Fodor Nikolett,1,III. kerület TVE,F1,Budapest (HUN),2020.2.09
1885,5,5,Borhy Anna,2,PSN - Pécsi Sportiskola,F1,Budapest (HUN),2020.2.09
1882,6,6,Gődény Pálma,0,FTC,F1,Budapest (HUN),2020.2.09
1784,7,7,Fekete Fanni,0,BHSE,F1,Budapest (HUN),2020.2.09
1713,8,8,Mórocz Boglárka,0,Vasas,F1,Budapest (HUN),2020.2.09
2715,1,1,Krizsán Xénia,93,MTK Budapest,F1,Budapest (HUN),2021.2.07
2656,2,2,Nemes Rita,89,DVTK,F1,Budapest (HUN),2021.2.07
2398,3,3,Szűcs Szabina,2,KARC,F1,Budapest (HUN),2021.2.07
2228,4,4,Barna Patrícia,3,KARC,F1,Budapest (HUN),2021.2.07
2082,5,5,Marosi Viktória,1,MTK Budapest,F1,Budapest (HUN),2021.2.07
2067,6,6,Bartha Lilla,3,BHSE,F1,Budapest (HUN),2021.2.07
1978,7,7,Fekete Fédra,98,BHSE,F1,Budapest (HUN),2021.2.07
1878,8,8,Gődény Pálma,0,FTC,F1,Budapest (HUN),2021.2.07
1813,9,9,Szilágyi Petra,0,Győri Atlétikai Club,F1,Budapest (HUN),2021.2.07
1721,10,10,Urbán Kitti,98,UTE,F1,Budapest (HUN),2021.2.07
1675,11,11,Wéber Csenge,3,FTC,F1,Budapest (HUN),2021.2.07
1604,12,12,Nemes Kincső,3,KSI SE,F1,Budapest (HUN),2021.2.07
1357,13,13,Baumgartner Vivien,2,Győri Atlétikai Club,F1,Budapest (HUN),2021.2.07
2653,1,1,Nemes Rita,89,DVTK,F1,Budapest (HUN),2022.2.06
2396,2,2,Szűcs Szabina,2,BHSE,F1,Budapest (HUN),2022.2.06
2082,3,3,Fekete Fédra,98,BHSE,F1,Budapest (HUN),2022.2.06
2021,4,4,Mandeville Dominika,0,Vasas,F1,Budapest (HUN),2022.2.06
1935,5,5,Kovács Vivien,91,MTK Budapest,F1,Budapest (HUN),2022.2.06
1911,6,6,Fekete Fanni,0,BHSE,F1,Budapest (HUN),2022.2.06
1897,7,7,Szilágyi Petra,0,Győri Atlétikai Club,F1,Budapest (HUN),2022.2.06
1872,8,8,Nyilasi Diána,4,BHSE,F1,Budapest (HUN),2022.2.06
1854,9,9,Nemes Kincső,3,KSI SE,F1,Budapest (HUN),2022.2.06
1853,10,10,Kovács Nóra,4,KARC,F1,Budapest (HUN),2022.2.06
1777,11,11,Mórocz Boglárka,0,Vasas,F1,Budapest (HUN),2022.2.06
1642,12,12,Kerezsi Judit,4,KARC,F1,Budapest (HUN),2022.2.06
