Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
2591,1,1,Krizsán Xénia,93,MTK Budapest,F1,Budapest (HUN),2018.8.26
2473,2,2,Zsivoczky-Farkas Györgyi,85,BHSE,F1,Budapest (HUN),2018.8.26
2331,3,3,Nemes Rita,89,Miskolci Sportiskola,F1,Budapest (HUN),2018.8.26
1952,4,4,Szabó Beatrix,95,MTK Budapest,F1,Budapest (HUN),2018.8.26
1693,5,5,Fekete Fanni,0,Reménység Vác,F1,Budapest (HUN),2018.8.26
1325,6,6,Gődény Pálma,0,FTC,F1,Budapest (HUN),2018.8.26
2621,1,1,Nemes Rita,89,DVTK,F1,Budapest (HUN),2020.8.01
2613,2,2,Krizsán Xénia,93,MTK Budapest,F1,Budapest (HUN),2020.8.01
2256,3,3,Szűcs Szabina,2,KARC,F1,Budapest (HUN),2020.8.01
2250,4,4,Barna Patrícia,3,KARC,F1,Budapest (HUN),2020.8.01
2053,5,5,Mórocz Boglárka,0,Vasas,F1,Budapest (HUN),2020.8.01
2036,6,6,Marosi Viktória,1,MTK Budapest,F1,Budapest (HUN),2020.8.01
1824,7,7,Bartha Lilla,3,BHSE,F1,Budapest (HUN),2020.8.01
1381,8,8,Fekete Fanni,0,BHSE,F1,Budapest (HUN),2020.8.01
2290,1,1,Barna Patrícia,3,KARC,F1,Győr (HUN),2021.7.03
2247,2,2,Szűcs Szabina,2,KARC,F1,Győr (HUN),2021.7.03
2192,3,3,Marosi Viktória,1,MTK Budapest,F1,Győr (HUN),2021.7.03
2016,4,4,Szilágyi Petra,0,Győri Atlétikai Club,F1,Győr (HUN),2021.7.03
1800,5,5,Fekete Fanni,0,BHSE,F1,Győr (HUN),2021.7.03
1754,6,6,Nemes Kincső,3,KSI SE,F1,Győr (HUN),2021.7.03
1649,7,7,Baumgartner Vivien,2,Győri Atlétikai Club,F1,Győr (HUN),2021.7.03
978,8,8,Fekete Fédra,98,BHSE,F1,Győr (HUN),2021.7.03
