Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
2577,1,1,Krizsán Xénia,93,MTK Budapest,F1,Székesfehérvár (HUN),2018.5.06
2213,2,2,Nguyen Anasztázia,93,MTK Budapest,F1,Székesfehérvár (HUN),2018.5.06
2097,3,3,Szabó Beatrix,95,MTK Budapest,F1,Székesfehérvár (HUN),2018.5.06
2062,4,4,Mátó Sára,0,ARAK,F1,Székesfehérvár (HUN),2018.5.06
1903,5,5,Hódi Nóra,87,HÓDIÁK SE,F1,Székesfehérvár (HUN),2018.5.06
1865,6,6,Marosi Viktória,1,MTK Budapest,F1,Székesfehérvár (HUN),2018.5.06
1734,7,7,Veres Bernadett,99,MTK Budapest,F1,Székesfehérvár (HUN),2018.5.06
1667,8,8,Fekete Fanni,0,Reménység Vác,F1,Székesfehérvár (HUN),2018.5.06
1575,9,9,Gődény Pálma,0,FTC,F1,Székesfehérvár (HUN),2018.5.06
2413,1,1,Krizsán Xénia,93,MTK Budapest,F1,Debrecen (HUN),2019.5.19
2299,2,2,Nemes Rita,89,Miskolci Sportiskola,F1,Debrecen (HUN),2019.5.19
2131,3,3,Szabó Beatrix,95,MTK Budapest,F1,Debrecen (HUN),2019.5.19
2100,4,4,Nyisztor Petra,96,NYSC,F1,Debrecen (HUN),2019.5.19
1890,5,5,Marosi Viktória,1,MTK Budapest,F1,Debrecen (HUN),2019.5.19
1674,6,6,Gődény Pálma,0,FTC,F1,Debrecen (HUN),2019.5.19
2564,1,1,Krizsán Xénia,93,MTK Budapest,F1,Székesfehérvár (HUN),2022.6.18
2333,2,2,Nemes Rita,89,DVTK,F1,Székesfehérvár (HUN),2022.6.18
2210,3,3,Szűcs Szabina,2,BHSE,F1,Székesfehérvár (HUN),2022.6.18
1881,4,4,Mórocz Boglárka,0,Vasas,F1,Székesfehérvár (HUN),2022.6.18
1844,5,5,Fekete Fanni,0,BHSE,F1,Székesfehérvár (HUN),2022.6.18
1834,6,6,Nyilasi Diána,4,BHSE,F1,Székesfehérvár (HUN),2022.6.18
1817,7,7,Kovács Vivien,91,MTK Budapest,F1,Székesfehérvár (HUN),2022.6.18
1721,8,8,Stikkel Lili,5,KSI SE,F1,Székesfehérvár (HUN),2022.6.18
1628,9,9,Urbán Kitti,98,UTE,F1,Székesfehérvár (HUN),2022.6.18
1335,10,10,Deák Emese,5,VSD,F1,Székesfehérvár (HUN),2022.6.18
