Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
6442,1,1,Zsivoczky-Farkas Györgyi,85,BHSE,F,Rio de Janeiro (BRA),2016.8.13
6266,2,2,Krizsán Xénia,93,MTK Budapest,F,Amsterdam (NED),2016.7.09
6257,-,3,Krizsán Xénia,93,MTK Budapest,F,Rio de Janeiro (BRA),2016.8.13
6248,-,4,Zsivoczky-Farkas Györgyi,85,BHSE,F,Talence (FRA),2016.9.18
6144,-,5,Zsivoczky-Farkas Györgyi,85,BHSE,F,Amsterdam (NED),2016.7.09
6095,-,6,Krizsán Xénia,93,MTK Budapest,F,Talence (FRA),2016.9.18
5086,3,7,Renner Luca,98,MATE - GEAC,F,Székesfehérvár (HUN),2016.9.18
4807,4,8,Ácsné Hortobágyi Anikó,89,Békési DAC,F,Székesfehérvár (HUN),2016.9.18
4593,5,9,Szabó Beatrix,95,MTK Budapest,F,Miskolc (HUN),2016.5.29
4493,6,10,Nádházy Evelin,95,BHSE,F,Székesfehérvár (HUN),2016.9.18
4481,7,11,Kovács Vivien,91,Reménység Vác,F,Székesfehérvár (HUN),2016.9.18
4475,8,12,Kovács Emma,98,MATE - GEAC,F,Székesfehérvár (HUN),2016.9.18
4409,9,13,Horváthné Nyeste Ágnes,97,Békési DAC,F,Székesfehérvár (HUN),2016.9.18
4218,10,14,Sorok Klaudia,98,Győri Atlétikai Club,F,Székesfehérvár (HUN),2016.9.18
4210,11,15,Ajkler Eszter,97,MATE - GEAC,F,Miskolc (HUN),2016.5.29
3905,12,16,Lukács Erika,86,,F,Bécs (AUT),2016.8.28
3864,13,17,Veres Fanni,98,Békési DAC,F,Székesfehérvár (HUN),2016.9.18
3635,14,18,Urbán Kitti,98,BHSE,F,Székesfehérvár (HUN),2016.9.18
3577,-,19,Ajkler Eszter,97,MATE - GEAC,F,Székesfehérvár (HUN),2016.9.18
3149,15,20,Gyöngyösi Terézia,98,Békési DAC,F,Székesfehérvár (HUN),2016.9.18
2922,16,21,Szalai Szimonetta,98,UTE,F,Székesfehérvár (HUN),2016.9.18
2619,17,22,File Petra,94,BEAC,F,Miskolc (HUN),2016.5.29
2584,18,23,Farkas Viktória,97,UTE,F,Székesfehérvár (HUN),2016.9.18
2502,19,24,Incze Krisztina,97,UTE,F,Székesfehérvár (HUN),2016.9.18
6390,1,1,Krizsán Xénia,93,MTK Budapest,F,Götzis (AUT),2017.5.28
6356,-,2,Krizsán Xénia,93,MTK Budapest,F,London (GBR),2017.8.06
6282,-,3,Krizsán Xénia,93,MTK Budapest,F,Talence (FRA),2017.9.17
6050,2,4,Zsivoczky-Farkas Györgyi,85,BHSE,F,London (GBR),2017.8.06
5309,3,5,Renner Luca,98,MATE - GEAC,F,Debrecen (HUN),2017.5.21
5294,4,6,Szabó Beatrix,95,MTK Budapest,F,Miskolc (HUN),2017.5.28
5290,-,7,Zsivoczky-Farkas Györgyi,85,BHSE,F,Talence (FRA),2017.9.17
5018,-,8,Szabó Beatrix,95,MTK Budapest,F,Debrecen (HUN),2017.5.21
5008,-,9,Szabó Beatrix,95,MTK Budapest,F,Bydgoszcz (POL),2017.7.14
4305,5,10,Horváthné Nyeste Ágnes,97,Békési DAC,F,Debrecen (HUN),2017.5.21
4067,6,11,Szilágyi Petra,0,Békési DAC,F,Debrecen (HUN),2017.5.21
3696,7,12,Veres Bernadett,99,MTK Budapest,F,Debrecen (HUN),2017.5.21
3530,8,13,Veres Fanni,98,Békési DAC,F,Debrecen (HUN),2017.5.21
3093,9,14,Gyöngyösi Terézia,98,Békési DAC,F,Debrecen (HUN),2017.5.21
2598,10,15,Nagy Réka,99,Békési DAC,F,Debrecen (HUN),2017.5.21
6367,1,1,Krizsán Xénia,93,MTK Budapest,F,Berlin (GER),2018.8.1
6244,-,2,Krizsán Xénia,93,MTK Budapest,F,Talence (FRA),2018.9.15
5584,2,3,Mátó Sára,0,ARAK,F1,Győr (HUN),2018.5.19
5220,3,4,Nemes Rita,89,Miskolci Sportiskola,F1,Győr (HUN),2018.5.19
5105,4,5,Szabó Beatrix,95,MTK Budapest,F1,Győr (HUN),2018.5.19
4403,5,6,Mórocz Boglárka,0,MAFC,F1,Győr (HUN),2018.5.19
3976,6,7,Horváthné Nyeste Ágnes,97,Békési DAC,F1,Győr (HUN),2018.5.19
3915,7,8,Fekete Fanni,0,Reménység Vác,F1,Győr (HUN),2018.5.19
3777,8,9,Veres Bernadett,99,MTK Budapest,F1,Győr (HUN),2018.5.19
3561,9,10,Zsunyi-Horváth Anikó,89,Békési DAC,F1,Győr (HUN),2018.5.19
3392,10,11,Szilágyi Petra,0,Békési DAC,F1,Győr (HUN),2018.5.19
1835,11,12,Urbán Kitti,98,BHSE,F1,Győr (HUN),2018.5.19
6619,1,1,Krizsán Xénia,93,MTK Budapest,F,Talence (FRA),2019.6.23
6469,-,2,Krizsán Xénia,93,MTK Budapest,F,Götzis (AUT),2019.5.26
5960,2,3,Nemes Rita,89,Miskolci Sportiskola,F1,Budapest (HUN),2019.8.03
5630,-,4,Nemes Rita,89,Miskolci Sportiskola,F1,Budapest (HUN),2019.5.25
4780,3,5,Kárpáti Enikő,1,PSN - Pécsi Sportiskola,F1,Budapest (HUN),2019.8.03
4647,4,6,Marosi Viktória,1,MTK Budapest,F1,Budapest (HUN),2019.8.03
4638,5,7,Mórocz Boglárka,0,Vasas,F1,Budapest (HUN),2019.5.25
4605,6,8,Nyisztor Petra,96,NYSC,F,Budapest (HUN),2019.5.26
4573,7,9,Kovács Vivien,91,MTK Budapest,F1,Budapest (HUN),2019.8.03
4557,-,10,Mórocz Boglárka,0,Vasas,F1,Budapest (HUN),2019.8.03
4223,8,11,Horváthné Nyeste Ágnes,97,Békési DAC,F1,Budapest (HUN),2019.8.03
4065,9,12,Fekete Fanni,0,Reménység Vác,F1,Budapest (HUN),2019.8.03
3772,10,13,Urbán Kitti,98,UTE,F1,Budapest (HUN),2019.8.03
3339,11,14,Szatmári Judit,88,Békési DAC,F1,Budapest (HUN),2019.8.03
2870,12,15,Nagy Réka,99,Békési DAC,F1,Budapest (HUN),2019.8.03
2733,13,16,Fedor Noémi,0,Reménység Vác,F1,Budapest (HUN),2019.8.03
2712,14,17,Fedor Ágnes,1,Reménység Vác,F1,Budapest (HUN),2019.8.03
6263,1,1,Krizsán Xénia,93,MTK Budapest,F1,Budapest (HUN),2020.7.25
6192,2,2,Nemes Rita,89,DVTK,F1,Budapest (HUN),2020.7.25
5369,3,3,Szűcs Szabina,2,KARC,F1,Budapest (HUN),2020.7.25
4846,4,4,Barna Patrícia,3,KARC,F1,Budapest (HUN),2020.7.25
