Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
1.87,1,1,Czuth Réka,94,AC Bonyhád,F,Lincoln (USA),2016.2.06
1.85,2,2,Zsivoczky-Farkas Györgyi,85,BHSE,CE,"Portland, OR (USA)",2016.3.18
1.84,-,3,Czuth Réka,94,AC Bonyhád,F,"Albuquerque, NM (USA)",2016.1.3
1.83,-,4,Zsivoczky-Farkas Györgyi,85,BHSE,F,Budapest (HUN),2016.2.21
1.81,3,5,Renner Luca,98,MATE - GEAC,F,Budapest (HUN),2016.2.21
1.81,-,5,Czuth Réka,94,AC Bonyhád,F,"Geneva, OH (USA)",2016.2.27
1.81,-,5,Czuth Réka,94,AC Bonyhád,F,"Birmingham, AL (USA)",2016.3.12
1.78,4,8,Krizsán Xénia,93,BHSE,F,Budapest (HUN),2016.1.3
1.77,-,9,Renner Luca,98,MATE - GEAC,F,Budapest (HUN),2016.2.27
1.76,-,10,Renner Luca,98,MATE - GEAC,CE,Budapest (HUN),2016.2.13
1.76,5,10,Fekete Fédra,98,Reménység Vác,F,Budapest (HUN),2016.2.21
1.75,-,12,Fekete Fédra,98,Reménység Vác,F,Budapest (HUN),2016.2.06
1.74,-,13,Czuth Réka,94,AC Bonyhád,F,Lincoln (USA),2016.1.16
1.74,-,13,Renner Luca,98,MATE - GEAC,F,Budapest (HUN),2016.1.3
1.74,-,13,Fekete Fédra,98,Reménység Vác,F,Budapest (HUN),2016.1.3
1.74,-,13,Czuth Réka,94,AC Bonyhád,F,"Pittsburgh, PA (USA)",2016.2.13
1.74,-,13,Czuth Réka,94,AC Bonyhád,F,Lincoln (USA),2016.2.19
1.73,-,18,Czuth Réka,94,AC Bonyhád,F,Lincoln (USA),2016.1.23
1.73,-,18,Fekete Fédra,98,Reménység Vác,F,Budapest (HUN),2016.2.27
1.7,6,20,Kárpáti Enikő,1,PVSK,F,Bonyhád (HUN),2016.1.13
1.7,6,20,Sinka Noémi,91,TFSE,F,Budapest (HUN),2016.2.06
1.69,-,22,Kárpáti Enikő,1,PVSK,CE2,Budapest (HUN),2016.3.05
1.68,-,23,Kárpáti Enikő,1,PVSK,F,Budapest (HUN),2016.2.07
1.68,8,23,Kardos Orsolya,99,Vasas,F,Budapest (HUN),2016.2.27
1.67,9,25,Mátó Sára,0,ARAK,CE,Budapest (HUN),2016.2.13
