Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
1.9,1,1,Szabó Barbara,90,UTE,F,Székesfehérvár (HUN),2016.7.31
1.89,-,2,Szabó Barbara,90,UTE,Q1,Amsterdam (NED),2016.7.06
1.89,-,2,Szabó Barbara,90,UTE,F,Amsterdam (NED),2016.7.07
1.88,-,4,Szabó Barbara,90,UTE,F,Budapest (HUN),2016.9.03
1.87,-,5,Szabó Barbara,90,UTE,F,Budapest (HUN),2016.6.18
1.87,-,5,Szabó Barbara,90,UTE,F,Sollentuna (SWE),2016.6.28
1.87,2,5,Zsivoczky-Farkas Györgyi,85,BHSE,CE,Talence (FRA),2016.9.17
1.86,-,8,Zsivoczky-Farkas Györgyi,85,BHSE,CE1,Rio de Janeiro (BRA),2016.8.12
1.85,-,9,Szabó Barbara,90,UTE,F,Argentan (FRA),2016.6.05
1.84,3,10,Czuth Réka,94,AC Bonyhád,F,Lincoln (USA),2016.4.09
1.83,-,11,Szabó Barbara,90,UTE,F,Lignano Sabbiadoro (ITA),2016.7.13
1.82,-,12,Czuth Réka,94,AC Bonyhád,F,Lincoln (USA),2016.5.14
1.82,-,12,Szabó Barbara,90,UTE,F,Budapest (HUN),2016.5.22
1.82,-,12,Czuth Réka,94,AC Bonyhád,F,Eugene (USA),2016.6.11
1.81,4,15,Luterán Petra,97,TSC-Geotech,F,Miskolc (HUN),2016.7.01
1.81,-,15,Zsivoczky-Farkas Györgyi,85,BHSE,CE,Budapest (HUN),2016.9.04
1.81,4,15,Krizsán Xénia,93,MTK Budapest,CE,Talence (FRA),2016.9.17
1.8,-,18,Zsivoczky-Farkas Györgyi,85,BHSE,CE2,Amsterdam (NED),2016.7.08
1.8,-,18,Zsivoczky-Farkas Györgyi,85,BHSE,F,Budapest (HUN),2016.7.22
1.8,-,18,Szabó Barbara,90,UTE,Q2,Rio de Janeiro (BRA),2016.8.18
1.8,-,18,Szabó Barbara,90,UTE,F,Zagreb (CRO),2016.9.06
1.8,-,18,Szabó Barbara,90,UTE,F,Székesfehérvár (HUN),2016.9.11
1.79,-,23,Czuth Réka,94,AC Bonyhád,F,Lincoln (USA),2016.5.07
1.79,6,23,Fekete Fédra,98,Reménység Vác,F,Miskolc (HUN),2016.7.01
1.79,-,23,Luterán Petra,97,TSC-Geotech,F,Maribor (SLO),2016.7.15
1.78,-,26,Luterán Petra,97,TSC-Geotech,F,Szombathely (HUN),2016.6.25
1.77,-,27,Luterán Petra,97,TSC-Geotech,F,Budapest (HUN),2016.6.18
1.77,7,27,Erős Enikő,86,FTC,F,Budapest (HUN),2016.6.18
1.77,-,27,Krizsán Xénia,93,MTK Budapest,CE2,Rio de Janeiro (BRA),2016.8.12
1.77,7,27,Renner Luca,98,MATE - GEAC,CE,Székesfehérvár (HUN),2016.9.17
1.76,-,31,Czuth Réka,94,AC Bonyhád,F,Lawrence (USA),2016.4.23
1.76,-,31,Krizsán Xénia,93,MTK Budapest,CE,Budapest (HUN),2016.5.22
1.76,-,31,Renner Luca,98,MATE - GEAC,CE,Budapest (HUN),2016.5.22
1.76,-,31,Czuth Réka,94,AC Bonyhád,Q1,Lawrence (USA),2016.5.27
1.75,-,35,Erős Enikő,86,FTC,F,Debrecen (HUN),2016.6.05
1.75,-,35,Fekete Fédra,98,Reménység Vác,F,Debrecen (HUN),2016.7.09
1.75,-,35,Krizsán Xénia,93,MTK Budapest,F,Székesfehérvár (HUN),2016.7.31
1.75,-,35,Erős Enikő,86,FTC,F,Székesfehérvár (HUN),2016.7.31
1.75,-,35,Krizsán Xénia,93,MTK Budapest,F,Székesfehérvár (HUN),2016.9.11
