Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
2:35:37,1,1,Erdélyi Zsófia,87.0,UTE,F,Düsseldorf (GER),2016.4.24
2:39:04,-,2,Erdélyi Zsófia,87.0,UTE,F,Rio de Janeiro (BRA),2016.8.14
2:40:46,2,3,Szabó Tünde,89.0,PVSK,F,Zagreb (CRO),2016.10.09
2:42:03,3,4,Papp Krisztina,82.0,UTE,F,Rio de Janeiro (BRA),2016.8.14
2:43:06,4,5,Staicu Simona,71.0,Dunakeszi VSE,F,Treviso (ITA),2016.3.06
2:44:19,-,6,Szabó Tünde,89.0,PVSK,F,Verona (ITA),2016.11.2
2:45:12,-,7,Szabó Tünde,89.0,PVSK,F,Podgorica (MNE),2016.10.3
2:45:37,-,8,Szabó Tünde,89.0,PVSK,F,Rio de Janeiro (BRA),2016.8.14
2:46:08,5,9,Laluska Zsuzsa,87.0,ELTE SE Sashegyi gepárdok,F,Sevilla (ESP),2016.2.21
2:46:37,6,10,Merényi Tímea,71.0,BHSE,F,Gold Coast (AUS),2016.7.03
2:48:29,7,11,Varga Judit,76.0,Haladás VSE,F,Zürich (SUI),2016.4.24
2:48:49,-,12,Szabó Tünde,89.0,PVSK,F,Wrocław (POL),2016.9.11
2:50:30,-,13,Staicu Simona,71.0,Dunakeszi VSE,F,Budapest (HUN),2016.10.09
2:50:40,-,14,Varga Judit,76.0,Haladás VSE,F,Venezia (ITA),2016.10.23
2:51:29,-,15,Laluska Zsuzsa,87.0,ELTE SE Sashegyi gepárdok,F,Bécs (AUT),2016.4.1
2:52:16,-,16,Staicu Simona,71.0,Dunakeszi VSE,F,Rajec (SVK),2016.8.13
2:55:37,8,17,Pálfiné Gulyás Vera,86.0,DSC-SI,F,Pisa (ITA),2016.12.18
2:57:19,9,18,Csönge Helén,75.0,Kaposvári AC,F,Belfast (GBR),2016.5.02
2:57:39,10,19,Dr. Molnár Valéria,77.0,BEAC,F,Budapest (HUN),2016.10.09
2:57:54,11,20,Molnár Barbara,84.0,Margitszigeti AC,F,Pisa (ITA),2016.12.18
2:58:05,12,21,Imréné Kiss Ágnes,73.0,SZVSE,F,Kolozsvár (ROU),2016.4.1
2:58:42,13,22,Tinta Tamara,82.0,Miskolci Sportiskola,F,Miskolc (HUN),2016.10.16
2:58:43,14,23,Pettkó-Szandtner Judit,69.0,Vasas,F,Bécs (AUT),2016.4.1
3:00:38,-,24,Csönge Helén,75.0,Kaposvári AC,F,Budapest (HUN),2016.10.09
3:01:39,15,25,Malatinszky Zsófia,79.0,,F,Košice (SVK),2016.10.02
3:01:57,-,26,Molnár Barbara,84.0,Margitszigeti AC,F,Budapest (HUN),2016.10.09
3:03:03,-,27,Tinta Tamara,82.0,Miskolci Sportiskola,F,Košice (SVK),2016.10.02
3:03:49,-,28,Tinta Tamara,82.0,Miskolci Sportiskola,F,Budapest (HUN),2016.10.09
3:04:42,-,29,Molnár Barbara,84.0,MAC,F,Salzburg (AUT),2016.5.01
3:05:55,16,30,Csáki Enikő,74.0,FTC,F,Budapest (HUN),2016.10.09
3:06:01,-,31,Imréné Kiss Ágnes,73.0,SZVSE,F,Crikvenica (CRO),2016.11.27
3:06:12,17,32,Lubics Szilvia,74.0,Kanizsai Futóklub,F,Budapest (HUN),2016.10.09
3:06:24,18,33,Molnár Gitta,83.0,,F,Zürich (SUI),2016.4.24
3:06:26,-,34,Csáki Enikő,74.0,FTC,F,Salzburg (AUT),2016.5.01
3:06:30,-,35,Csönge Helén,75.0,Kaposvári AC,F,Katowice (POL),2016.10.02
3:06:42,19,36,Kovács Réka,80.0,TFSE,F,Bécs (AUT),2016.4.1
3:08:09,20,37,Bartucz Borbála,79.0,Dunakeszi VSE,F,Budapest (HUN),2016.10.09
3:08:38,21,38,Enyediné Dobai Henriett,,,F,Miskolc (HUN),2016.10.16
3:09:10,-,39,Csönge Helén,75.0,Kaposvári AC,F,Gdansk (POL),2016.8.15
3:09:55,-,40,Malatinszky Zsófia,79.0,,F,Roma (ITA),2016.4.1
3:11:07,-,41,Laluska Zsuzsa,87.0,BHSE,F,Budapest (HUN),2016.7.23
3:11:46,-,42,Lubics Szilvia,74.0,Kanizsai Futóklub,F,Verona (ITA),2016.11.2
3:12:08,22,43,Vincze Zsófia,85.0,Csömöri Sport Kft.,F,Budapest (HUN),2016.10.09
3:12:39,23,44,Bódi Zsófia,81.0,Dunakeszi VSE,F,Pozsony (SVK),2016.4.03
3:12:49,24,45,Svéd Amelita,76.0,,F,Graz (AUT),2016.10.09
3:12:56,25,46,Gulyás Csilla,,,F,Debrecen (HUN),2016.9.25
3:14:12,26,47,Bosznay Diána,76.0,Csömöri Sport Kft.,F,Budapest (HUN),2016.10.09
3:14:30,27,48,Fendrik Zsóka,88.0,MAC,F,Krems (AUT),2016.9.18
3:14:31,28,49,Hornyák Zita,68.0,BHSE,F,Budapest (HUN),2016.10.09
3:15:03,-,50,Kovács Réka,80.0,TFSE,F,Budapest (HUN),2016.10.09
3:15:26,29,51,Vétek Orsolya,90.0,,F,Barcelona (ESP),2016.3.13
3:15:30,-,52,Vétek Orsolya,90.0,Margitszigeti AC,F,Budapest (HUN),2016.10.09
3:16:02,30,53,Balázs Eliza,87.0,ELTE SE Sashegyi gepárdok,F,Budapest (HUN),2016.10.09
3:16:14,-,54,Lubics Szilvia,74.0,Kanizsai Futóklub,F,Budapest (HUN),2016.7.23
3:16:29,31,55,Táp Bernadett,76.0,,F,Barcelona (ESP),2016.3.13
3:17:10,32,56,Kovács Éva,86.0,,F,Budapest (HUN),2016.10.09
3:17:38,33,57,Nagy Csilla,79.0,Csömöri Sport Kft.,F,Budapest (HUN),2016.10.09
3:18:15,-,58,Bosznay Diána,76.0,Csömöri Sport Kft.,F,Budapest (HUN),2016.7.23
