Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
9:58,1,1,Csuta Dorottya,4,Pegazus Atlétika,F1,Nemesvámos (HUN),2018.11.11
10:15,2,2,Schmidt Martina,4,BHSE,F1,Békéscsaba (HUN),2018.10.27
10:17,3,3,Esküdt Luca,5,DOVASE,F1,Békéscsaba (HUN),2018.10.27
10:18,4,4,Kovács Mariann,4,TSC-Geotech,F1,Békéscsaba (HUN),2018.10.27
10:24,5,5,Szemán Kitti,4,VEDAC,F1,Békéscsaba (HUN),2018.10.27
10:27,6,6,Szalay Zóra,6,DOVASE,F1,Nemesvámos (HUN),2018.11.11
10:31,-,7,Schmidt Martina,4,BHSE,F1,Nemesvámos (HUN),2018.11.11
10:33,-,8,Szemán Kitti,4,VEDAC,F1,Nemesvámos (HUN),2018.11.11
10:37,7,9,Jó Alíz,4,Győri Atlétikai Club,F1,Békéscsaba (HUN),2018.10.27
10:37,7,9,Iker Natália,5,Szombathelyi SI,F1,Nemesvámos (HUN),2018.11.11
10:39,9,11,Utasi Alexa,4,POSTÁS SE,F1,Békéscsaba (HUN),2018.10.27
10:41,10,12,Baier Zsófia,6,Tempo-Aqua,F1,Nemesvámos (HUN),2018.11.11
10:42,11,13,Nyisztor Luca,6,DOVASE,F1,Békéscsaba (HUN),2018.10.27
10:42,11,13,Gyalog Inez,5,Tempo-Aqua,F1,Békéscsaba (HUN),2018.10.27
10:48,13,15,Valkó Júlia,4,TSC-Geotech,F1,Nemesvámos (HUN),2018.11.11
10:49,14,16,Zemán Zóra,6,DOVASE,F1,Nemesvámos (HUN),2018.11.11
10:50,15,17,Gyimóthy Réka,4,Győri Atlétikai Club,F1,Békéscsaba (HUN),2018.10.27
10:56,16,18,Rédling Renáta,5,VEDAC,F1,Békéscsaba (HUN),2018.10.27
10:57,-,19,Esküdt Luca,5,DOVASE,F1,Nemesvámos (HUN),2018.11.11
11:03,17,20,Tóth Eszter,4,VEDAC,F1,Békéscsaba (HUN),2018.10.27
11:04,-,21,Jó Alíz,4,Győri Atlétikai Club,F1,Nemesvámos (HUN),2018.11.11
11:05,18,22,Imre Petra,5,SZVSE,F1,Nemesvámos (HUN),2018.11.11
11:06,19,23,Zibrinyi Luca,6,Miskolci Sportiskola,F1,Békéscsaba (HUN),2018.10.27
11:06,19,23,Tóth Dorka,4,Dunakeszi VSE,F1,Nemesvámos (HUN),2018.11.11
11:08,-,25,Gyimóthy Réka,4,Győri Atlétikai Club,F1,Nemesvámos (HUN),2018.11.11
11:11,21,26,Birnbauer Dalma,5,SVSE,F1,Békéscsaba (HUN),2018.10.27
11:12,-,27,Kovács Mariann,4,TSC-Geotech,F1,Nemesvámos (HUN),2018.11.11
11:13,22,28,Szabotin Réka,6,DOVASE,F1,Békéscsaba (HUN),2018.10.27
11:13,22,28,Stanga Zsófia,4,TSC-Geotech,F1,Békéscsaba (HUN),2018.10.27
11:17,24,30,Szűcs Anna,6,MATE - GEAC,F1,Békéscsaba (HUN),2018.10.27
11:17,-,30,Nyisztor Luca,6,DOVASE,F1,Nemesvámos (HUN),2018.11.11
11:17,-,30,Rédling Renáta,5,VEDAC,F1,Nemesvámos (HUN),2018.11.11
11:19,25,33,Nagy Nóra,4,ARAK,F1,Nemesvámos (HUN),2018.11.11
11:21,26,34,Marx Bianka,4,Győri Atlétikai Club,F1,Békéscsaba (HUN),2018.10.27
11:21,26,34,Sarkadi Dorka,5,DOVASE,F1,Békéscsaba (HUN),2018.10.27
11:27,28,36,Máté-Tóth Boglárka,5,UTE,F1,Nemesvámos (HUN),2018.11.11
11:28,29,37,Falcz Zsófia,6,POSTÁS SE,F1,Békéscsaba (HUN),2018.10.27
11:28,-,37,Gyalog Inez,5,Tempo-Aqua,F1,Nemesvámos (HUN),2018.11.11
11:30,-,39,Tóth Eszter,4,VEDAC,F1,Nemesvámos (HUN),2018.11.11
11:34,30,40,Sipos Zsanett,5,DOVASE,F1,Békéscsaba (HUN),2018.10.27
11:35,31,41,Laczka Gréta,5,BHSE,F1,Békéscsaba (HUN),2018.10.27
11:37,-,42,Birnbauer Dalma,5,SVSE,F1,Nemesvámos (HUN),2018.11.11
11:39,32,43,Halászy Tamara,6,MATE - GEAC,F1,Békéscsaba (HUN),2018.10.27
11:42,33,44,Kovács Gyöngyvirág,4,Salgótarjáni AC,F1,Nemesvámos (HUN),2018.11.11
11:42,33,44,Peiker Csenge,4,BSC,F1,Nemesvámos (HUN),2018.11.11
11:44,35,46,Erdős Judit,5,POSTÁS SE,F1,Békéscsaba (HUN),2018.10.27
11:47,36,47,Turcsányi Eszter,4,UTE,F1,Nemesvámos (HUN),2018.11.11
11:50,-,48,Sarkadi Dorka,5,DOVASE,F1,Nemesvámos (HUN),2018.11.11
11:52,37,49,Nyers Ramóna,6,DOVASE,F1,Békéscsaba (HUN),2018.10.27
11:54,-,50,Zibrinyi Luca,6,Miskolci Sportiskola,F1,Nemesvámos (HUN),2018.11.11
11:56,-,51,Marx Bianka,4,Győri Atlétikai Club,F1,Nemesvámos (HUN),2018.11.11
11:56,38,51,Peiker Panna,6,BSC,F1,Nemesvámos (HUN),2018.11.11
11:56,-,51,Utasi Alexa,4,POSTÁS SE,F1,Nemesvámos (HUN),2018.11.11
12:00,-,54,Laczka Gréta,5,BHSE,F1,Nemesvámos (HUN),2018.11.11
12:00,39,54,Szabó Viktória,5,Tempo-Aqua,F1,Nemesvámos (HUN),2018.11.11
12:01,-,56,Szűcs Anna,6,MATE - GEAC,F1,Nemesvámos (HUN),2018.11.11
12:02,-,57,Szabotin Réka,6,DOVASE,F1,Nemesvámos (HUN),2018.11.11
12:03,40,58,Bödők Lili,5,Győri Atlétikai Club,F1,Nemesvámos (HUN),2018.11.11
12:04,-,59,Falcz Zsófia,6,POSTÁS SE,F1,Nemesvámos (HUN),2018.11.11
12:05,-,60,Csuta Dorottya,4,Pegazus Atlétika,F1,Salgótarján (HUN),2018.11.24
12:06,41,61,Gál Titanilla,6,VEDAC,F1,Békéscsaba (HUN),2018.10.27
12:08,-,62,Erdős Judit,5,POSTÁS SE,F1,Nemesvámos (HUN),2018.11.11
12:09,42,63,Kalotai Liliana,4,KARC,F1,Békéscsaba (HUN),2018.10.27
12:11,-,64,Sipos Zsanett,5,DOVASE,F1,Nemesvámos (HUN),2018.11.11
12:14,43,65,Lukács Gabriella,6,MATE - GEAC,F1,Békéscsaba (HUN),2018.10.27
12:14,43,65,Sustik Barbara,5,Békéscsabai AC,F1,Békéscsaba (HUN),2018.10.27
12:15,45,67,Gyugyi Laura,4,DOVASE,F1,Nemesvámos (HUN),2018.11.11
12:17,-,68,Halászy Tamara,6,MATE - GEAC,F1,Nemesvámos (HUN),2018.11.11
12:20,46,69,Varga Gréta,3,SVSE,F1,Salgótarján (HUN),2018.11.24
12:22,47,70,Gál Fanni,4,VEDAC,F1,Békéscsaba (HUN),2018.10.27
12:22,47,70,Holubecz Hanna,5,Győri Atlétikai Club,F1,Nemesvámos (HUN),2018.11.11
12:22,47,70,Országi Anna,5,Tovafutók SE,F1,Nemesvámos (HUN),2018.11.11
12:23,50,73,Mag Viktória,3,Salgótarjáni AC,F1,Salgótarján (HUN),2018.11.24
12:33,51,74,Paulcsik Lara,4,Békéscsabai AC,F1,Békéscsaba (HUN),2018.10.27
12:38,52,75,Stieb Kornélia,5,DOVASE,F1,Nemesvámos (HUN),2018.11.11
12:38,-,75,Nyers Ramóna,6,DOVASE,F1,Nemesvámos (HUN),2018.11.11
12:40,53,77,Kolos Natália,5,Viadukt SE,F1,Nemesvámos (HUN),2018.11.11
12:46,-,78,Gál Fanni,4,VEDAC,F1,Nemesvámos (HUN),2018.11.11
12:46,54,78,Merényi Panna,2,A-Plast Ikarus BSE,F1,Salgótarján (HUN),2018.11.24
12:49,-,80,Iker Natália,5,Szombathelyi SI,F1,Salgótarján (HUN),2018.11.24
12:51,-,81,Szemán Kitti,4,VEDAC,F1,Salgótarján (HUN),2018.11.24
12:53,-,82,Lukács Gabriella,6,MATE - GEAC,F1,Nemesvámos (HUN),2018.11.11
12:53,55,82,Kovács Léna,4,UTE,F1,Nemesvámos (HUN),2018.11.11
12:55,-,84,Schmidt Martina,4,BHSE,F1,Salgótarján (HUN),2018.11.24
12:59,56,85,Zatykó Luca,2,Győri Atlétikai Club,F1,Salgótarján (HUN),2018.11.24
13:04,57,86,Néda Júlia,2,SZKHSE,F1,Salgótarján (HUN),2018.11.24
13:06,-,87,Esküdt Luca,5,DOVASE,F1,Salgótarján (HUN),2018.11.24
13:11,58,88,Mag Fruzsina,3,Salgótarjáni AC,F1,Salgótarján (HUN),2018.11.24
13:11,-,88,Rédling Renáta,5,VEDAC,F1,Salgótarján (HUN),2018.11.24
13:13,-,90,Baier Zsófia,6,Tempo-Aqua,F1,Salgótarján (HUN),2018.11.24
13:15,-,91,Kovács Mariann,4,TSC-Geotech,F1,Salgótarján (HUN),2018.11.24
13:16,59,92,Kovács Zsófia,3,BHSE,F1,Salgótarján (HUN),2018.11.24
13:17,-,93,Gyalog Inez,5,Tempo-Aqua,F1,Salgótarján (HUN),2018.11.24
13:18,-,94,Valkó Júlia,4,TSC-Geotech,F1,Salgótarján (HUN),2018.11.24
13:19,60,95,Kirsch Natália,3,SVSE,F1,Salgótarján (HUN),2018.11.24
13:21,-,96,Tóth Eszter,4,VEDAC,F1,Salgótarján (HUN),2018.11.24
13:22,-,97,Máté-Tóth Boglárka,5,UTE,F1,Salgótarján (HUN),2018.11.24
13:25,-,98,Varga Gréta,3,SVSE,F1,Békéscsaba (HUN),2018.10.27
13:26,61,99,Szőke-Kiss Anna,2,A-Plast Ikarus BSE,F1,Salgótarján (HUN),2018.11.24
13:31,-,100,Nyisztor Luca,6,DOVASE,F1,Salgótarján (HUN),2018.11.24
13:32,62,101,K. Szabó Gabriella,2,DSC-SI,F1,Békéscsaba (HUN),2018.10.27
13:35,-,102,Zatykó Luca,2,Győri Atlétikai Club,F1,Békéscsaba (HUN),2018.10.27
