Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
30.9,1,1,Gyurátz Réka,96,Dobó SE,F1,Szombathely (HUN),2018.4.21
28.18,2,2,Gergelics Cintia,91,Dobó SE,F1,Szombathely (HUN),2018.4.21
25.09,3,3,Németh Zsanett,0,Dobó SE,F1,Szombathely (HUN),2018.4.21
30.14,1,1,Gyurátz Réka,96,Dobó SE,F1,Szombathely (HUN),2019.3.23
29.56,-,2,Gyurátz Réka,96,Dobó SE,F1,Szombathely (HUN),2019.4.2
29.32,-,3,Gyurátz Réka,96,Dobó SE,F1,Szombathely (HUN),2019.2.16
28.6,-,4,Gyurátz Réka,96,Dobó SE,F1,Szombathely (HUN),2019.1.12
26.54,2,5,Németh Zsanett,0,Dobó SE,F1,Szombathely (HUN),2019.4.2
26.08,3,6,Gergelics Cintia,91,Dobó SE,F1,Szombathely (HUN),2019.4.2
25.16,-,7,Gergelics Cintia,91,Dobó SE,F1,Szombathely (HUN),2019.1.12
25.02,-,8,Németh Zsanett,0,Dobó SE,F1,Szombathely (HUN),2019.2.16
23.74,-,9,Németh Zsanett,0,Dobó SE,F1,Szombathely (HUN),2019.3.23
23.11,-,10,Németh Zsanett,0,Dobó SE,F1,Szombathely (HUN),2019.1.12
21.34,4,11,Rajczi Bianka,1,Dobó SE,F1,Szombathely (HUN),2019.3.23
21.22,5,12,Giczi Eszter,2,Dobó SE,F1,Szombathely (HUN),2019.1.12
20.28,-,13,Rajczi Bianka,1,Dobó SE,F1,Szombathely (HUN),2019.2.16
19.89,-,14,Rajczi Bianka,1,Dobó SE,F1,Szombathely (HUN),2019.4.2
17.37,6,15,Viszkeleti Villő,5,Dobó SE,F1,Szombathely (HUN),2019.1.12
31.69,1,1,Gyurátz Réka,96,Dobó SE,F1,Szombathely (HUN),2020.6.06
30.91,-,2,Gyurátz Réka,96,Dobó SE,F1,Szombathely (HUN),2020.5.23
30.68,-,3,Gyurátz Réka,96,Dobó SE,F1,Szombathely (HUN),2020.3.21
30.04,-,4,Gyurátz Réka,96,Dobó SE,F1,Szombathely (HUN),2020.2.22
29.06,-,5,Gyurátz Réka,96,Dobó SE,F1,Szombathely (HUN),2020.1.18
27.05,2,6,Németh Zsanett,0,Dobó SE,F1,Szombathely (HUN),2020.5.23
26.6,-,7,Németh Zsanett,0,Dobó SE,F1,Szombathely (HUN),2020.6.06
25.5,-,8,Németh Zsanett,0,Dobó SE,F1,Szombathely (HUN),2020.2.22
25.4,-,9,Németh Zsanett,0,Dobó SE,F1,Szombathely (HUN),2020.3.21
