Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
21.1,1,1,Gyurátz Réka,96,Dobó SE,F1,Szombathely (HUN),2019.3.23
19.84,-,2,Gyurátz Réka,96,Dobó SE,F1,Szombathely (HUN),2019.2.16
19.5,-,3,Gyurátz Réka,96,Dobó SE,F1,Szombathely (HUN),2019.1.12
19.22,-,4,Gyurátz Réka,96,Dobó SE,F1,Szombathely (HUN),2019.4.2
17.25,2,5,Németh Zsanett,0,Dobó SE,F1,Szombathely (HUN),2019.4.2
16.9,3,6,Gergelics Cintia,91,Dobó SE,F1,Szombathely (HUN),2019.1.12
16.02,-,7,Németh Zsanett,0,Dobó SE,F1,Szombathely (HUN),2019.1.12
15.74,-,8,Németh Zsanett,0,Dobó SE,F1,Szombathely (HUN),2019.3.23
12.42,4,9,Rajczi Bianka,1,Dobó SE,F1,Szombathely (HUN),2019.4.2
11.96,-,10,Rajczi Bianka,1,Dobó SE,F1,Szombathely (HUN),2019.3.23
20.48,1,1,Gyurátz Réka,96,Dobó SE,F1,Szombathely (HUN),2020.1.18
19.95,-,2,Gyurátz Réka,96,Dobó SE,F1,Szombathely (HUN),2020.2.22
17.93,2,3,Németh Zsanett,0,Dobó SE,F1,Szombathely (HUN),2020.2.22
16.54,-,4,Németh Zsanett,0,Dobó SE,F1,Szombathely (HUN),2020.1.18
13.1,3,5,Rajczi Bianka,1,Dobó SE,F1,Szombathely (HUN),2020.2.22
12.67,-,6,Rajczi Bianka,1,Dobó SE,F1,Szombathely (HUN),2020.1.18
20.4,1,1,Gyurátz Réka,96,Dobó SE,F1,Szombathely (HUN),2021.2.2
19.69,-,2,Gyurátz Réka,96,Dobó SE,F1,Szombathely (HUN),2021.1.16
18.25,2,3,Németh Zsanett,0,Dobó SE,F1,Szombathely (HUN),2021.2.2
17.28,-,4,Németh Zsanett,0,Dobó SE,F1,Szombathely (HUN),2021.4.17
16.77,-,5,Németh Zsanett,0,Dobó SE,F1,Szombathely (HUN),2021.1.16
15.2,3,6,Rajczi Bianka,1,Dobó SE,F1,Szombathely (HUN),2021.1.16
12.91,1,1,Stefanovits Ágnes,85,Tamási TAM - BAU AC,F1,Budapest (HUN),2023.9.17
9.53,2,2,Bódis Tímea,77,Tamási TAM - BAU AC,F1,Budapest (HUN),2023.9.17
9.04,3,3,Szalayné Kozári Ella,79,MAFC,F1,Budapest (HUN),2023.9.17
8.3,4,4,Nagyné Lerch Andrea,88,Tamási TAM - BAU AC,F1,Budapest (HUN),2023.9.17
6.99,5,5,Svégel Mariann,76,Tamási TAM - BAU AC,F1,Budapest (HUN),2023.9.17
6.26,6,6,Rácz Katalin,75,H. Szondi SE,F1,Budapest (HUN),2023.9.17
11.06,1,1,Stefanovits Ágnes,85,Tamási TAM - BAU AC,F1,Szombathely (HUN),2024.2.17
8.9,2,2,Nagyné Lerch Andrea,88,Tamási TAM - BAU AC,F1,Szombathely (HUN),2024.2.17
