Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
4.0,1,1,Juhász Fanni,81,MATE - GEAC,F,Budapest (HUN),2016.2.2
4.0,-,1,Juhász Fanni,81,MATE - GEAC,F,Athlone (IRL),2016.2.28
3.86,2,3,Horváth Felicia,93,BHSE,F,"Seattle, WA (USA)",2016.2.26
3.75,-,4,Horváth Felicia,93,BHSE,F,"Albuquerque, NM (USA)",2016.2.06
3.75,3,4,Erős Enikő,86,FTC,F1,Budapest (HUN),2016.3.24
3.65,4,6,Gebauer Maja,1,KSI SE,F1,Budapest (HUN),2016.1.15
3.6,-,7,Gebauer Maja,1,KSI SE,F,Budapest (HUN),2016.1.3
3.6,5,7,Kriszt Annamária,99,MATE - GEAC,F,Budapest (HUN),2016.1.3
3.6,-,7,Gebauer Maja,1,KSI SE,F,Budapest (HUN),2016.2.2
3.5,6,10,Kiss Réka,97,MTK Budapest,F,Budapest (HUN),2016.1.3
3.45,-,11,Kriszt Annamária,99,MATE - GEAC,F1,Budapest (HUN),2016.1.15
3.45,7,11,Schvara Anna,99,AC Bonyhád,F1,Budapest (HUN),2016.3.24
3.4,8,13,Kondrák Réka,0,MATE - GEAC,F,Budapest (HUN),2016.2.06
3.4,8,13,Siskó Zsófia,94,ARAK,F,Budapest (HUN),2016.2.2
3.4,-,13,Kondrák Réka,0,MATE - GEAC,F,Budapest (HUN),2016.2.2
3.4,-,13,Kondrák Réka,0,MATE - GEAC,F,Budapest (HUN),2016.2.28
3.3,-,17,Kondrák Réka,0,MATE - GEAC,F,Budapest (HUN),2016.1.3
3.3,-,17,Gebauer Maja,1,KSI SE,F,Budapest (HUN),2016.2.06
3.3,10,17,Hornácsik Gréta,2,BHSE,F,Budapest (HUN),2016.2.13
3.3,10,17,Németh Kitti,97,ARAK,F,Budapest (HUN),2016.2.2
3.3,-,17,Schvara Anna,99,AC Bonyhád,F,Budapest (HUN),2016.2.28
3.3,-,17,Kondrák Réka,0,MATE - GEAC,F,Budapest (HUN),2016.3.05
3.25,12,23,Klekner Hanga,99,DSC-SI,F1,Budapest (HUN),2016.1.15
3.25,-,23,Kiss Réka,97,MTK Budapest,F1,Budapest (HUN),2016.1.15
3.25,-,23,Klekner Hanga,99,DSC-SI,F1,Budapest (HUN),2016.3.24
3.2,13,26,Fodor Nikolett,1,III. kerület TVE,F,Bonyhád (HUN),2016.1.27
3.2,-,26,Németh Kitti,97,ARAK,F,Budapest (HUN),2016.1.3
3.2,-,26,Fodor Nikolett,1,III. kerület TVE,F,Budapest (HUN),2016.2.06
3.2,-,26,Kriszt Annamária,99,MATE - GEAC,F,Budapest (HUN),2016.2.06
3.2,13,26,Döme Adél,0,Békéscsabai AC,F,Budapest (HUN),2016.2.2
3.2,-,26,Németh Kitti,97,ARAK,F,Budapest (HUN),2016.2.28
3.2,-,26,Klekner Hanga,99,DSC-SI,F,Budapest (HUN),2016.2.28
3.2,13,26,Braun Barbara,0,Békéscsabai AC,F,Budapest (HUN),2016.2.28
3.15,-,34,Döme Adél,0,Békéscsabai AC,F1,Budapest (HUN),2016.1.15
3.15,16,34,Bánovics Dorottya,1,MATE - GEAC,F2,Budapest (HUN),2016.3.24
3.15,-,34,Hornácsik Gréta,2,MTK Budapest,F1,Budapest (HUN),2016.3.24
3.14,-,37,Hornácsik Gréta,2,BHSE,F,Székesfehérvár (HUN),2016.1.24
3.1,-,38,Bánovics Dorottya,1,MATE - GEAC,F,Budapest (HUN),2016.2.06
3.1,-,38,Bánovics Dorottya,1,MATE - GEAC,F,Budapest (HUN),2016.2.13
3.1,-,38,Döme Adél,0,Békéscsabai AC,F,Budapest (HUN),2016.2.28
3.05,-,41,Bánovics Dorottya,1,MATE - GEAC,F2,Budapest (HUN),2016.1.15
3.05,-,41,Hornácsik Gréta,2,BHSE,F2,Budapest (HUN),2016.1.15
3.02,-,43,Bánovics Dorottya,1,MATE - GEAC,F,Székesfehérvár (HUN),2016.1.24
3.02,17,43,Marosi Viktória,1,BHSE,F,Székesfehérvár (HUN),2016.1.24
3.02,17,43,Fróna Hanna,1,A-Plast Ikarus BSE,F,Székesfehérvár (HUN),2016.1.24
3.0,-,46,Bánovics Dorottya,1,MATE - GEAC,F,Budapest (HUN),2016.1.3
3.0,19,46,Bánszki Eszter,2,A-Plast Ikarus BSE,F,Budapest (HUN),2016.2.06
3.0,19,46,Horváth Noémi,97,KSI SE,F,Budapest (HUN),2016.2.13
3.0,-,46,Bánovics Dorottya,1,MATE - GEAC,F,Budapest (HUN),2016.2.2
3.0,-,46,Braun Barbara,0,Békéscsabai AC,F,Budapest (HUN),2016.2.2
3.0,-,46,Schvara Anna,99,AC Bonyhád,F,Budapest (HUN),2016.2.2
3.0,-,46,Horváth Noémi,97,KSI SE,F,Budapest (HUN),2016.2.28
2.95,-,53,Kondrák Réka,0,MATE - GEAC,F1,Budapest (HUN),2016.1.15
2.95,21,53,Petry Alexandra,0,BHSE,F2,Budapest (HUN),2016.1.15
2.95,21,53,Kulcsár Boglárka,2,KSI SE,F2,Budapest (HUN),2016.3.24
2.95,-,53,Fróna Hanna,1,A-Plast Ikarus BSE,F2,Budapest (HUN),2016.3.24
2.9,-,57,Marosi Viktória,1,BHSE,F,Budapest (HUN),2016.1.3
2.9,-,57,Petry Alexandra,0,BHSE,F,Budapest (HUN),2016.1.3
2.9,-,57,Kulcsár Boglárka,2,KSI SE,F,Budapest (HUN),2016.2.06
2.9,-,57,Schvara Anna,99,AC Bonyhád,F,Bonyhád (HUN),2016.2.1
2.9,23,57,Kovács Petra,2,BHSE,F,Budapest (HUN),2016.2.13
2.9,-,57,Petry Alexandra,0,BHSE,F,Budapest (HUN),2016.2.13
2.9,23,57,Horváth Dorottya,0,MATE - GEAC,F,Budapest (HUN),2016.2.28
2.9,23,57,Girán Laura,0,DSC-SI,F,Budapest (HUN),2016.2.28
2.9,23,57,Szatmári Anna,0,Békéscsabai AC,F,Budapest (HUN),2016.2.28
2.85,-,66,Bánszki Eszter,2,A-Plast Ikarus BSE,F1,Budapest (HUN),2016.1.15
2.85,-,66,Fodor Nikolett,1,III. kerület TVE,F1,Budapest (HUN),2016.3.24
2.85,-,66,Marosi Viktória,1,MTK Budapest,F2,Budapest (HUN),2016.3.24
2.85,-,66,Kovács Petra,2,MTK Budapest,F2,Budapest (HUN),2016.3.24
2.8,-,70,Horváth Dorottya,0,MATE - GEAC,F,Budapest (HUN),2016.1.3
2.8,-,70,Fróna Hanna,1,A-Plast Ikarus BSE,F,Budapest (HUN),2016.2.06
2.8,27,70,Lafferthon Viktória,97,AC Bonyhád,F,Bonyhád (HUN),2016.2.1
2.8,-,70,Bánszki Eszter,2,A-Plast Ikarus BSE,F,Budapest (HUN),2016.2.13
2.8,-,70,Marosi Viktória,1,BHSE,F,Budapest (HUN),2016.2.13
2.8,27,70,Lehota Lili,99,ARAK,F,Budapest (HUN),2016.2.28
2.8,-,70,Lafferthon Viktória,97,AC Bonyhád,F,Budapest (HUN),2016.2.28
2.78,-,77,Kovács Petra,2,BHSE,F,Székesfehérvár (HUN),2016.1.24
2.75,-,78,Horváth Dorottya,0,MATE - GEAC,F2,Budapest (HUN),2016.1.15
2.75,-,78,Kulcsár Boglárka,2,KSI SE,F2,Budapest (HUN),2016.1.15
2.75,-,78,Fróna Hanna,1,A-Plast Ikarus BSE,F2,Budapest (HUN),2016.1.15
2.7,29,81,Szabó Petra,0,MATE - GEAC,F,Budapest (HUN),2016.2.28
2.65,30,82,Simonváros Csenge,2,MATE - GEAC,F2,Budapest (HUN),2016.1.15
2.65,-,82,Lafferthon Viktória,97,AC Bonyhád,F2,Budapest (HUN),2016.1.15
2.65,-,82,Marosi Viktória,1,BHSE,F2,Budapest (HUN),2016.1.15
2.65,-,82,Kovács Petra,2,BHSE,F2,Budapest (HUN),2016.1.15
2.65,30,82,Polgár Luca,2,MTK Budapest,F2,Budapest (HUN),2016.3.24
2.65,-,82,Simonváros Csenge,2,MATE - GEAC,F2,Budapest (HUN),2016.3.24
2.65,-,82,Szabó Petra,0,MATE - GEAC,F2,Budapest (HUN),2016.3.24
2.6,-,89,Szabó Petra,0,MATE - GEAC,F,Budapest (HUN),2016.1.3
2.6,-,89,Simonváros Csenge,2,MATE - GEAC,F,Budapest (HUN),2016.2.06
2.6,-,89,Polgár Luca,2,BHSE,F,Budapest (HUN),2016.2.13
2.6,32,89,Bánhegyi Anna,0,A-Plast Ikarus BSE,F,Budapest (HUN),2016.2.13
2.6,-,89,Bánhegyi Anna,0,A-Plast Ikarus BSE,F,Budapest (HUN),2016.2.28
2.55,-,94,Polgár Luca,2,BHSE,F2,Budapest (HUN),2016.1.15
2.55,-,94,Bánhegyi Anna,0,A-Plast Ikarus BSE,F2,Budapest (HUN),2016.1.15
2.55,-,94,Bánhegyi Anna,0,A-Plast Ikarus BSE,F2,Budapest (HUN),2016.3.24
2.54,-,97,Simonváros Csenge,2,MATE - GEAC,F,Székesfehérvár (HUN),2016.1.24
2.5,33,98,Peron Fanny,1,KSI SE,F,Budapest (HUN),2016.2.06
2.45,-,99,Szabó Petra,0,MATE - GEAC,F2,Budapest (HUN),2016.1.15
2.45,34,99,Rákos Bettina,2,MTK Budapest,F2,Budapest (HUN),2016.3.24
2.35,35,101,Scheidler Réka,4,AC Bonyhád,F,Budapest (HUN),2016.3.24
2.3,36,102,Kovács Johanna,2,ARAK,F,Budapest (HUN),2016.2.06
2.25,37,103,Hullán Zsófi,3,A-Plast Ikarus BSE,F2,Budapest (HUN),2016.1.15
2.25,37,103,Kovács Lili,4,KSI SE,F,Budapest (HUN),2016.3.24
2.25,37,103,Simonváros Zille,4,MATE - GEAC,F,Budapest (HUN),2016.3.24
2.2,40,106,Mórocz Zsófia,3,MAFC,F,Bonyhád (HUN),2016.1.13
2.15,-,107,Mórocz Zsófia,3,MAFC,F,Budapest (HUN),2016.1.15
2.15,-,107,Mórocz Zsófia,3,MAFC,F,Budapest (HUN),2016.3.24
2.15,41,107,Kőkuti Bianka,2,III. kerület TVE,F2,Budapest (HUN),2016.3.24
2.1,42,110,Garadnai Ingrid,2,III. kerület TVE,F,Bonyhád (HUN),2016.1.27
2.1,-,110,Mórocz Zsófia,3,MAFC,F,Budapest (HUN),2016.2.06
2.06,-,112,Kovács Johanna,2,ARAK,F,Székesfehérvár (HUN),2016.1.24
2.05,-,113,Simonváros Zille,4,MATE - GEAC,F,Budapest (HUN),2016.1.15
2.05,-,113,Scheidler Réka,4,AC Bonyhád,F,Budapest (HUN),2016.1.15
2.0,-,115,Mórocz Zsófia,3,MAFC,F,Bonyhád (HUN),2016.1.27
2.0,-,115,Kőkuti Bianka,2,III. kerület TVE,F,Bonyhád (HUN),2016.1.27
4.0,1,1,Siskó Zsófia,94,ARAK,F,Budapest (HUN),2017.2.18
4.0,1,1,Szabó Diana,93,MTK Budapest,F,Budapest (HUN),2017.2.18
3.9,-,3,Szabó Diana,93,MTK Budapest,F,Budapest (HUN),2017.2.11
3.81,-,4,Siskó Zsófia,94,ARAK,F,Bécs (AUT),2017.1.28
3.8,-,5,Siskó Zsófia,94,ARAK,F2,Budapest (HUN),2017.1.07
3.8,-,5,Szabó Diana,93,MTK Budapest,F2,Budapest (HUN),2017.1.21
3.8,-,5,Szabó Diana,93,MTK Budapest,F,Budapest (HUN),2017.1.28
3.8,-,5,Szabó Diana,93,MTK Budapest,F,Budapest (HUN),2017.2.04
3.8,3,5,Klekner Hanga,99,DSC-SI,F,Budapest (HUN),2017.2.18
3.76,-,10,Klekner Hanga,99,DSC-SI,F3,Székesfehérvár (HUN),2017.12.17
3.7,4,11,Szűcs Krisztina,96,MTK Budapest,F,Budapest (HUN),2017.1.28
3.7,-,11,Klekner Hanga,99,DSC-SI,F,Budapest (HUN),2017.2.04
3.7,-,11,Szűcs Krisztina,96,MTK Budapest,F,Budapest (HUN),2017.2.04
3.7,-,11,Szűcs Krisztina,96,MTK Budapest,F,Budapest (HUN),2017.2.11
3.64,5,15,Gebauer Maja,1,KSI SE,F3,Székesfehérvár (HUN),2017.12.17
3.6,-,16,Klekner Hanga,99,DSC-SI,F2,Budapest (HUN),2017.1.07
3.6,-,16,Szűcs Krisztina,96,MTK Budapest,F2,Budapest (HUN),2017.1.21
3.6,6,16,Németh Kitti,97,MTK Budapest,F,Budapest (HUN),2017.2.04
3.6,-,16,Siskó Zsófia,94,ARAK,F,Budapest (HUN),2017.2.11
3.6,-,16,Németh Kitti,97,MTK Budapest,F,Budapest (HUN),2017.2.18
3.52,-,21,Siskó Zsófia,94,ARAK,F3,Székesfehérvár (HUN),2017.12.17
3.5,-,22,Németh Kitti,97,MTK Budapest,F2,Budapest (HUN),2017.1.07
3.5,-,22,Gebauer Maja,1,KSI SE,F,Budapest (HUN),2017.1.28
3.5,-,22,Németh Kitti,97,MTK Budapest,F,Budapest (HUN),2017.2.11
3.5,-,22,Gebauer Maja,1,KSI SE,F,Budapest (HUN),2017.2.26
