Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
4.3,1,1,Juhász Fanni,81,MATE - GEAC,F,Budapest (HUN),2016.5.22
4.25,2,2,Erős Enikő,86,FTC,F,Székesfehérvár (HUN),2016.7.3
4.2,-,3,Juhász Fanni,81,MATE - GEAC,F,Bonyhád (HUN),2016.5.19
4.2,-,3,Juhász Fanni,81,MATE - GEAC,F,Debrecen (HUN),2016.6.04
4.2,-,3,Erős Enikő,86,FTC,F,Debrecen (HUN),2016.6.04
4.2,-,3,Juhász Fanni,81,MATE - GEAC,F,Szombathely (HUN),2016.6.26
4.2,-,3,Erős Enikő,86,FTC,F,Szombathely (HUN),2016.6.26
4.2,-,3,Juhász Fanni,81,MATE - GEAC,F,Debrecen (HUN),2016.7.09
4.2,-,3,Juhász Fanni,81,MATE - GEAC,F,Budapest (HUN),2016.9.04
4.2,-,3,Erős Enikő,86,FTC,F,Budapest (HUN),2016.9.04
4.1,-,11,Erős Enikő,86,FTC,F,Budapest (HUN),2016.5.22
4.1,-,11,Juhász Fanni,81,MATE - GEAC,F,Budapest (HUN),2016.6.1
4.1,-,11,Erős Enikő,86,FTC,F,Budapest (HUN),2016.6.1
4.05,-,14,Juhász Fanni,81,MATE - GEAC,F,Miskolc (HUN),2016.7.03
4.0,-,15,Erős Enikő,86,FTC,F,Budapest (HUN),2016.8.2
3.95,-,16,Erős Enikő,86,FTC,F,Debrecen (HUN),2016.5.14
3.9,-,17,Erős Enikő,86,FTC,F,Budapest (HUN),2016.6.19
3.9,-,17,Juhász Fanni,81,MATE - GEAC,F,Miskolc (HUN),2016.7.01
3.9,3,17,Klekner Hanga,99,DSC-SI,F,Budapest (HUN),2016.8.2
3.85,-,20,Juhász Fanni,81,MATE - GEAC,F,Debrecen (HUN),2016.5.14
3.8,4,21,Horváth Felicia,93,BHSE,F,"Los Angeles, CA (USA)",2016.3.26
3.8,-,21,Juhász Fanni,81,MATE - GEAC,F,Linz (AUT),2016.6.11
3.8,-,21,Klekner Hanga,99,DSC-SI,F,Budapest (HUN),2016.6.19
3.8,4,21,Szűcs Krisztina,96,MTK Budapest,F,Székesfehérvár (HUN),2016.7.3
3.8,-,21,Klekner Hanga,99,DSC-SI,F,Bonyhád (HUN),2016.8.13
3.8,-,21,Klekner Hanga,99,DSC-SI,F,Budapest (HUN),2016.9.04
3.71,-,27,Horváth Felicia,93,BHSE,F,"Seattle, WA (USA)",2016.5.15
3.7,-,28,Horváth Felicia,93,BHSE,F,"Los Angeles, CA (USA)",2016.3.19
3.7,-,28,Horváth Felicia,93,BHSE,F,"Los Angeles, CA (USA)",2016.5.01
3.7,6,28,Schvara Anna,99,AC Bonyhád,F,Budapest (HUN),2016.5.22
3.7,-,28,Szűcs Krisztina,96,MTK Budapest,F,Budapest (HUN),2016.9.04
3.7,-,28,Szűcs Krisztina,96,MTK Budapest,F,Székesfehérvár (HUN),2016.9.1
3.67,-,33,Horváth Felicia,93,BHSE,F,Long Beach (USA),2016.4.14
3.64,-,34,Schvara Anna,99,AC Bonyhád,F,Brno (CZE),2016.6.11
3.6,7,35,Siskó Zsófia,94,ARAK,F,Bonyhád (HUN),2016.5.19
3.6,-,35,Szűcs Krisztina,96,MTK Budapest,F,Szombathely (HUN),2016.6.26
3.6,-,35,Klekner Hanga,99,DSC-SI,F,Miskolc (HUN),2016.7.03
3.6,-,35,Szűcs Krisztina,96,MTK Budapest,F,Maribor (SLO),2016.7.15
3.6,-,35,Klekner Hanga,99,DSC-SI,F,Székesfehérvár (HUN),2016.7.18
3.6,-,35,Juhász Fanni,81,MATE - GEAC,F,Tullamore (IRL),2016.8.07
3.6,7,35,Szabó Diana,93,MTK Budapest,F,Székesfehérvár (HUN),2016.9.1
3.5,-,42,Klekner Hanga,99,DSC-SI,F,Budapest (HUN),2016.5.22
3.5,-,42,Szűcs Krisztina,96,MTK Budapest,F,Budapest (HUN),2016.5.22
3.5,-,42,Szűcs Krisztina,96,MTK Budapest,F,Debrecen (HUN),2016.6.04
3.5,-,42,Klekner Hanga,99,DSC-SI,F,Székesfehérvár (HUN),2016.7.3
3.5,-,42,Schvara Anna,99,AC Bonyhád,F,Székesfehérvár (HUN),2016.7.3
3.45,-,47,Szűcs Krisztina,96,MTK Budapest,F,Szekszárd (HUN),2016.5.14
3.45,-,47,Schvara Anna,99,AC Bonyhád,Q1,Tbilisi (GEO),2016.7.14
3.4,9,49,Girán Laura,0,DSC-SI,F,Budapest (HUN),2016.5.22
3.4,-,49,Girán Laura,0,DSC-SI,F,Debrecen (HUN),2016.6.04
3.4,-,49,Klekner Hanga,99,DSC-SI,F,Budapest (HUN),2016.6.1
3.4,-,49,Szűcs Krisztina,96,MTK Budapest,F,Budapest (HUN),2016.6.19
3.4,9,49,Hornácsik Gréta,2,MTK Budapest,F,Budapest (HUN),2016.6.19
3.4,9,49,Németh Kitti,97,ARAK,F,Miskolc (HUN),2016.7.01
3.4,9,49,Braun Barbara,0,Békéscsabai AC,F,Székesfehérvár (HUN),2016.7.3
3.4,-,49,Braun Barbara,0,Békéscsabai AC,F,Budapest (HUN),2016.8.2
3.4,-,49,Klekner Hanga,99,DSC-SI,F,Székesfehérvár (HUN),2016.9.1
3.4,-,49,Siskó Zsófia,94,ARAK,F,Székesfehérvár (HUN),2016.9.1
3.34,-,59,Girán Laura,0,DSC-SI,F,Brno (CZE),2016.6.11
3.3,13,60,Döme Adél,0,Békéscsabai AC,F,Székesfehérvár (HUN),2016.5.08
3.3,-,60,Siskó Zsófia,94,ARAK,F,Szekszárd (HUN),2016.5.14
3.3,-,60,Hornácsik Gréta,2,MTK Budapest,F,Budapest (HUN),2016.5.22
3.3,-,60,Schvara Anna,99,AC Bonyhád,F,Debrecen (HUN),2016.6.04
3.3,-,60,Hornácsik Gréta,2,MTK Budapest,F,Budapest (HUN),2016.6.24
3.3,-,60,Németh Kitti,97,ARAK,F,Szombathely (HUN),2016.6.26
3.3,-,60,Hornácsik Gréta,2,MTK Budapest,F,Miskolc (HUN),2016.7.01
3.3,-,60,Braun Barbara,0,Békéscsabai AC,F,Miskolc (HUN),2016.7.03
3.3,13,60,Fróna Hanna,1,A-Plast Ikarus BSE,F,Debrecen (HUN),2016.7.09
3.3,-,60,Hornácsik Gréta,2,MTK Budapest,F,Székesfehérvár (HUN),2016.7.18
3.3,-,60,Schvara Anna,99,AC Bonyhád,F,Székesfehérvár (HUN),2016.7.18
