Eredmény,A.h.,Er.h.,Csapat,Típus,Helyszín,Dátum
2:10.62,1,1,Hungary U18,F,Brno (CZE),2016.6.11
2:13.13,1,1,Hungary U18,F,Miskolc (HUN),2017.6.16
2:11.51,1,1,leány U18 válogatott,H1,Győr (HUN),2018.7.07
2:12.33,-,2,leány U18 válogatott,F,Győr (HUN),2018.7.08
2:16.12,-,3,leány U18 válogatott,F,Ptuj (SLO),2018.6.09
2:11.59,1,1,Hungary U18,F,Banská Bystrica (SVK),2022.7.3
2:13.04,2,2,"""B"" váltó",F1,Budapest (HUN),2022.6.05
2:13.35,3,3,"""A"" váltó",F1,Budapest (HUN),2022.6.05
2:13.66,-,4,Hungary U18,H3,Banská Bystrica (SVK),2022.7.29
2:15.96,4,5,HUN,F1,Székesfehérvár (HUN),2022.6.29
2:16.18,5,6,"""B""",F1,Székesfehérvár (HUN),2022.6.18
2:16.63,6,7,"""C""",F1,Székesfehérvár (HUN),2022.6.18
2:18.79,7,8,C,F1,Budapest (HUN),2022.6.05
