Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
19.33,1,1,Márton Anita,89,Békéscsabai AC,F,"Portland, OR (USA)",2016.3.19
18.43,-,2,Márton Anita,89,Békéscsabai AC,F,Szombathely (HUN),2016.2.27
18.4,-,3,Márton Anita,89,Békéscsabai AC,F,Budapest (HUN),2016.2.06
18.34,-,4,Márton Anita,89,Békéscsabai AC,F,Budapest (HUN),2016.2.13
17.58,-,5,Márton Anita,89,Békéscsabai AC,F,Budapest (HUN),2016.1.3
17.04,-,6,Márton Anita,89,Békéscsabai AC,F,Novi Sad (SRB),2016.1.23
14.54,2,7,Zsivoczky-Farkas Györgyi,85,BHSE,CE,"Portland, OR (USA)",2016.3.18
14.53,-,8,Zsivoczky-Farkas Györgyi,85,BHSE,CE,Budapest (HUN),2016.2.07
14.35,3,9,Váradi Krisztina,93,Maximus SE,F,Budapest (HUN),2016.2.06
14.18,4,10,Bogdán Annabella,92,Békéscsabai AC,F,Szombathely (HUN),2016.2.27
13.88,5,11,Veiland Violetta,98,ZALASZÁM-ZAC,F,Szombathely (HUN),2016.2.27
13.83,-,12,Zsivoczky-Farkas Györgyi,85,BHSE,F,Budapest (HUN),2016.3.05
13.57,-,13,Veiland Violetta,98,ZALASZÁM-ZAC,F,Szombathely (HUN),2016.3.05
13.42,-,14,Bogdán Annabella,92,Békéscsabai AC,F,Budapest (HUN),2016.2.13
13.32,6,15,Krizsán Xénia,93,BHSE,F,Budapest (HUN),2016.1.3
13.24,-,16,Veiland Violetta,98,ZALASZÁM-ZAC,F,Bécs (AUT),2016.1.3
12.87,-,17,Váradi Krisztina,93,Maximus SE,F,Budapest (HUN),2016.1.3
12.81,-,18,Váradi Krisztina,93,Maximus SE,F,Szombathely (HUN),2016.2.27
12.75,-,19,Bogdán Annabella,92,Békéscsabai AC,F,Budapest (HUN),2016.1.3
12.7,-,20,Bogdán Annabella,92,Békéscsabai AC,F,Novi Sad (SRB),2016.1.23
12.68,7,21,Banga Beatrix,95,Dobó SE,F,Szombathely (HUN),2016.2.27
12.65,8,22,Szatló Nóra,0,A-Plast Ikarus BSE,F,Szombathely (HUN),2016.2.27
12.31,-,23,Szatló Nóra,0,A-Plast Ikarus BSE,F,Budapest (HUN),2016.2.06
11.92,9,24,Gyurátz Réka,96,Dobó SE,F,Szombathely (HUN),2016.2.27
11.89,10,25,Monoki Katalin,99,Reménység Vác,F,Szombathely (HUN),2016.2.27
11.87,11,26,Kerekes Dóra,94,NYSC,F,Nyíregyháza (HUN),2016.1.17
11.75,-,27,Monoki Katalin,99,Reménység Vác,F,Budapest (HUN),2016.2.06
11.73,12,28,Takács Dóra,99,ZALASZÁM-ZAC,F,Szombathely (HUN),2016.2.27
11.45,13,29,Kovács Vivien,91,Reménység Vác,CE,Budapest (HUN),2016.2.13
11.45,-,29,Kerekes Dóra,94,NYSC,F,Szombathely (HUN),2016.2.27
11.01,-,31,Monoki Katalin,99,Reménység Vác,F,Budapest (HUN),2016.2.13
10.99,-,32,Kerekes Dóra,94,NYSC,F,Nyíregyháza (HUN),2016.1.23
10.95,-,33,Takács Dóra,99,ZALASZÁM-ZAC,F,Bécs (AUT),2016.1.3
10.93,14,34,Kontra Margit,98,AC Bonyhád,F,Bonyhád (HUN),2016.2.1
10.91,-,35,Kontra Margit,98,AC Bonyhád,F,Szombathely (HUN),2016.3.05
10.86,-,36,Kontra Margit,98,AC Bonyhád,F,Bonyhád (HUN),2016.1.13
10.84,-,37,Kovács Vivien,91,Reménység Vác,CE,Budapest (HUN),2016.2.07
10.74,15,38,Renner Luca,98,MATE - GEAC,CE,Budapest (HUN),2016.2.13
10.73,-,39,Kovács Vivien,91,Reménység Vác,F,Szombathely (HUN),2016.2.27
10.58,16,40,Varga Barbara,98,Dobó SE,F,Szombathely (HUN),2016.3.05
10.48,17,41,Fodor Zsófia,95,UTE,F,Budapest (HUN),2016.2.13
10.48,-,41,Renner Luca,98,MATE - GEAC,F,Budapest (HUN),2016.3.05
10.28,18,43,Magos Anita,97,Szolnoki MÁV-SE,F,Szombathely (HUN),2016.2.27
9.89,-,44,Renner Luca,98,MATE - GEAC,CE,Budapest (HUN),2016.2.07
9.59,19,45,Zimonyi Fanni,98,Reménység Vác,F,Budapest (HUN),2016.2.06
9.24,20,46,Benácsi Szandra,90,Reménység Vác,F,Budapest (HUN),2016.2.13
9.2,21,47,Csihar Szandra,97,Győri Atlétikai Club,F,Szombathely (HUN),2016.3.05
9.0,22,48,Mátó Sára,0,ARAK,F,Budapest (HUN),2016.2.06
8.98,-,49,Benácsi Szandra,90,Reménység Vác,F,Budapest (HUN),2016.2.06
8.91,23,50,Ajkler Eszter,97,MATE - GEAC,CE,Budapest (HUN),2016.2.13
8.82,-,51,Ajkler Eszter,97,MATE - GEAC,F,Budapest (HUN),2016.3.05
8.77,-,52,Benácsi Szandra,90,Reménység Vác,F,Szombathely (HUN),2016.2.27
8.61,24,53,Keresztes Réka,98,AC Bonyhád,CE,Budapest (HUN),2016.2.13
8.56,-,54,Ajkler Eszter,97,MATE - GEAC,CE,Budapest (HUN),2016.2.07
8.33,-,55,Csihar Szandra,97,Győri Atlétikai Club,F,Budapest (HUN),2016.1.3
8.2,25,56,Szabó Beatrix,95,MTK Budapest,CE,Budapest (HUN),2016.2.13
8.19,-,57,Szabó Beatrix,95,MTK Budapest,CE,Budapest (HUN),2016.2.07
19.28,1,1,Márton Anita,89,Békéscsabai AC,F,Beograd (SRB),2017.3.03
18.97,-,2,Márton Anita,89,Békéscsabai AC,F,Birmingham (GBR),2017.2.18
18.75,-,3,Márton Anita,89,Békéscsabai AC,F,Szombathely (HUN),2017.2.25
18.56,-,4,Márton Anita,89,Békéscsabai AC,F,Budapest (HUN),2017.1.28
18.44,-,5,Márton Anita,89,Békéscsabai AC,Q,Beograd (SRB),2017.3.03
18.38,-,6,Márton Anita,89,Békéscsabai AC,F,Sassnitz (GER),2017.2.12
18.34,-,7,Márton Anita,89,Békéscsabai AC,F,Karlsruhe (GER),2017.2.04
18.17,-,8,Márton Anita,89,Békéscsabai AC,F,Düsseldorf (GER),2017.2.01
14.95,2,9,Zsivoczky-Farkas Györgyi,85,BHSE,CE,Beograd (SRB),2017.3.03
14.93,3,10,Veiland Violetta,98,ZALASZÁM-ZAC,F,Szombathely (HUN),2017.3.04
14.8,-,11,Veiland Violetta,98,ZALASZÁM-ZAC,F,Szombathely (HUN),2017.2.25
14.51,-,12,Zsivoczky-Farkas Györgyi,85,BHSE,CE,Budapest (HUN),2017.2.05
14.47,-,13,Zsivoczky-Farkas Györgyi,85,BHSE,F,Budapest (HUN),2017.2.11
14.47,4,13,Váradi Krisztina,93,Maximus SE,F,Szombathely (HUN),2017.2.25
14.31,5,15,Krizsán Xénia,93,MTK Budapest,CE,Budapest (HUN),2017.2.11
14.24,-,16,Krizsán Xénia,93,MTK Budapest,CE,Beograd (SRB),2017.3.03
14.14,-,17,Krizsán Xénia,93,MTK Budapest,F,Budapest (HUN),2017.1.28
14.1,-,18,Veiland Violetta,98,ZALASZÁM-ZAC,F,Bécs (AUT),2017.1.28
13.83,-,19,Krizsán Xénia,93,MTK Budapest,CE,Budapest (HUN),2017.2.05
13.38,6,20,Szatló Nóra,0,A-Plast Ikarus BSE,F,Szombathely (HUN),2017.2.25
13.27,7,21,Bogdán Annabella,92,Békéscsabai AC,F,Szombathely (HUN),2017.2.25
13.15,-,22,Veiland Violetta,98,ZALASZÁM-ZAC,F,Zalaegerszeg (HUN),2017.2.11
12.65,8,23,Lukóczki Nárcisz,79,Békéscsabai AC,F,Budapest (HUN),2017.2.11
12.43,9,24,Monoki Katalin,99,Reménység Vác,F,Szombathely (HUN),2017.3.04
12.18,10,25,Takács Dóra,99,ZALASZÁM-ZAC,F,Szombathely (HUN),2017.3.04
12.06,-,26,Szatló Nóra,0,A-Plast Ikarus BSE,F,Budapest (HUN),2017.2.11
12.03,-,27,Monoki Katalin,99,Reménység Vác,F,Budapest (HUN),2017.2.04
11.98,-,28,Takács Dóra,99,ZALASZÁM-ZAC,F,Szombathely (HUN),2017.2.25
11.83,-,29,Monoki Katalin,99,Reménység Vác,F,Szombathely (HUN),2017.2.25
