Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
19.87,1,1,Márton Anita,89,Békéscsabai AC,F,Rio de Janeiro (BRA),2016.8.12
19.49,-,2,Márton Anita,89,Békéscsabai AC,F,Székesfehérvár (HUN),2016.7.18
19.22,-,3,Márton Anita,89,Békéscsabai AC,F,Doha (QAT),2016.5.06
19.11,-,4,Márton Anita,89,Békéscsabai AC,F,Bruxelles (BEL),2016.9.08
18.98,-,5,Márton Anita,89,Békéscsabai AC,F,Roma (ITA),2016.6.02
18.89,-,6,Márton Anita,89,Békéscsabai AC,F,Berlin (GER),2016.9.03
18.87,-,7,Márton Anita,89,Békéscsabai AC,F,Bad Köstritz (GER),2016.8.28
18.84,-,8,Márton Anita,89,Békéscsabai AC,F,Draževina (MNE),2016.4.3
18.72,-,9,Márton Anita,89,Békéscsabai AC,F,Amsterdam (NED),2016.7.07
18.63,-,10,Márton Anita,89,Békéscsabai AC,F,Budapest (HUN),2016.9.04
18.6,-,11,Márton Anita,89,Békéscsabai AC,F,Beijing (CHN),2016.5.18
18.6,-,11,Márton Anita,89,Békéscsabai AC,F,Lausanne (SUI),2016.8.25
18.52,-,13,Márton Anita,89,Békéscsabai AC,F,Székesfehérvár (HUN),2016.7.3
18.51,-,14,Márton Anita,89,Békéscsabai AC,F,Rabat (MAR),2016.5.22
18.51,-,14,Márton Anita,89,Békéscsabai AC,Q2,Rio de Janeiro (BRA),2016.8.12
18.41,-,16,Márton Anita,89,Békéscsabai AC,F,Birmingham (GBR),2016.6.05
18.36,-,17,Márton Anita,89,Békéscsabai AC,F,Monaco (MON),2016.7.15
18.35,-,18,Márton Anita,89,Békéscsabai AC,F,Székesfehérvár (HUN),2016.9.11
18.2,-,19,Márton Anita,89,Békéscsabai AC,F,Bar (MNE),2016.5.01
17.75,-,20,Márton Anita,89,Békéscsabai AC,F,Szentes (HUN),2016.4.16
17.55,-,21,Márton Anita,89,Békéscsabai AC,F,Budapest (HUN),2016.6.18
17.54,-,22,Márton Anita,89,Békéscsabai AC,Q1,Amsterdam (NED),2016.7.06
17.42,-,23,Márton Anita,89,Békéscsabai AC,F,Szeged (HUN),2016.10.01
16.32,-,24,Márton Anita,89,Békéscsabai AC,F,Zalaegerszeg (HUN),2016.6.11
15.03,2,25,Váradi Krisztina,93,Maximus SE,F,Miskolc (HUN),2016.5.28
14.66,-,26,Váradi Krisztina,93,Maximus SE,F,Senta (SRB),2016.5.07
14.48,-,27,Váradi Krisztina,93,Maximus SE,F,Budapest (HUN),2016.6.18
14.46,3,28,Zsivoczky-Farkas Györgyi,85,BHSE,F,Székesfehérvár (HUN),2016.7.3
14.39,-,29,Váradi Krisztina,93,Maximus SE,F,Szombathely (HUN),2016.5.01
14.39,-,29,Zsivoczky-Farkas Györgyi,85,BHSE,CE1,Rio de Janeiro (BRA),2016.8.12
14.36,-,31,Váradi Krisztina,93,Maximus SE,F,Székesfehérvár (HUN),2016.7.3
14.33,-,32,Zsivoczky-Farkas Györgyi,85,BHSE,CE,Talence (FRA),2016.9.17
14.3,4,33,Veiland Violetta,98,ZALASZÁM-ZAC,F,Szombathely (HUN),2016.6.08
14.28,-,34,Zsivoczky-Farkas Györgyi,85,BHSE,CE,Budapest (HUN),2016.9.04
14.2,-,35,Váradi Krisztina,93,Maximus SE,F,Szeged (HUN),2016.10.01
14.12,-,36,Váradi Krisztina,93,Maximus SE,F,Szentes (HUN),2016.4.16
14.02,-,37,Zsivoczky-Farkas Györgyi,85,BHSE,CE2,Amsterdam (NED),2016.7.08
13.95,-,38,Veiland Violetta,98,ZALASZÁM-ZAC,F,Székesfehérvár (HUN),2016.7.3
13.94,-,39,Váradi Krisztina,93,Maximus SE,F,Debrecen (HUN),2016.6.04
13.93,5,40,Krizsán Xénia,93,MTK Budapest,CE2,Amsterdam (NED),2016.7.08
13.91,-,41,Zsivoczky-Farkas Györgyi,85,BHSE,F,Debrecen (HUN),2016.6.04
13.89,-,42,Zsivoczky-Farkas Györgyi,85,BHSE,F,Székesfehérvár (HUN),2016.9.11
13.85,-,43,Veiland Violetta,98,ZALASZÁM-ZAC,F,Zalaegerszeg (HUN),2016.4.23
13.82,-,44,Váradi Krisztina,93,Maximus SE,F,Szentes (HUN),2016.6.21
13.8,6,45,Bogdán Annabella,92,Békéscsabai AC,F,Debrecen (HUN),2016.5.15
13.78,-,46,Krizsán Xénia,93,MTK Budapest,CE2,Rio de Janeiro (BRA),2016.8.12
13.74,-,47,Bogdán Annabella,92,Békéscsabai AC,F,Draževina (MNE),2016.4.3
13.72,-,48,Bogdán Annabella,92,Békéscsabai AC,F,Szentes (HUN),2016.4.16
13.72,-,48,Krizsán Xénia,93,MTK Budapest,CE,Budapest (HUN),2016.6.19
13.71,-,50,Veiland Violetta,98,ZALASZÁM-ZAC,F,Szombathely (HUN),2016.5.01
13.71,-,50,Veiland Violetta,98,ZALASZÁM-ZAC,F,Szombathely (HUN),2016.5.01
13.69,-,52,Krizsán Xénia,93,MTK Budapest,F,Székesfehérvár (HUN),2016.9.11
13.67,7,53,Bácskay Zsófia,97,Continent Company SE,F,Budapest (HUN),2016.5.22
13.67,-,53,Veiland Violetta,98,ZALASZÁM-ZAC,F,Szombathely (HUN),2016.6.26
13.67,-,53,Krizsán Xénia,93,MTK Budapest,CE,Budapest (HUN),2016.9.04
13.66,-,56,Bogdán Annabella,92,Békéscsabai AC,F,Budapest (HUN),2016.6.18
13.66,-,56,Bogdán Annabella,92,Békéscsabai AC,F,Szeged (HUN),2016.10.01
13.64,-,58,Krizsán Xénia,93,MTK Budapest,CE,Miskolc (HUN),2016.5.28
13.63,-,59,Zsivoczky-Farkas Györgyi,85,BHSE,F,Debrecen (HUN),2016.5.15
13.63,-,59,Váradi Krisztina,93,Maximus SE,F,Zalaegerszeg (HUN),2016.6.11
13.63,-,59,Veiland Violetta,98,ZALASZÁM-ZAC,F,Miskolc (HUN),2016.7.01
13.63,-,59,Bogdán Annabella,92,Békéscsabai AC,F,Szentes (HUN),2016.9.24
13.61,-,63,Krizsán Xénia,93,MTK Budapest,F,Budapest (HUN),2016.9.04
13.58,-,64,Zsivoczky-Farkas Györgyi,85,BHSE,F,Budapest (HUN),2016.9.04
13.57,-,65,Veiland Violetta,98,ZALASZÁM-ZAC,F,Budapest (HUN),2016.9.04
13.51,-,66,Veiland Violetta,98,ZALASZÁM-ZAC,F,Szombathely (HUN),2016.1.23
13.51,-,66,Veiland Violetta,98,ZALASZÁM-ZAC,F,Zalaegerszeg (HUN),2016.6.11
13.49,-,68,Veiland Violetta,98,ZALASZÁM-ZAC,F,Zalaegerszeg (HUN),2016.9.24
13.48,-,69,Bácskay Zsófia,97,Continent Company SE,F,Székesfehérvár (HUN),2016.5.28
13.46,-,70,Bogdán Annabella,92,Békéscsabai AC,F,Zalaegerszeg (HUN),2016.6.11
13.45,-,71,Bogdán Annabella,92,Békéscsabai AC,F,Székesfehérvár (HUN),2016.9.11
13.42,-,72,Krizsán Xénia,93,MTK Budapest,F,Debrecen (HUN),2016.6.04
13.39,-,73,Veiland Violetta,98,ZALASZÁM-ZAC,F,Szombathely (HUN),2016.6.16
13.38,-,74,Veiland Violetta,98,ZALASZÁM-ZAC,F,Uherské Hradiste (CZE),2016.6.04
13.37,-,75,Zsivoczky-Farkas Györgyi,85,BHSE,F,Budapest (HUN),2016.6.18
13.33,-,76,Krizsán Xénia,93,MTK Budapest,F,Székesfehérvár (HUN),2016.7.3
13.33,-,76,Váradi Krisztina,93,Maximus SE,F,Szentes (HUN),2016.9.24
13.3,-,78,Veiland Violetta,98,ZALASZÁM-ZAC,F,Székesfehérvár (HUN),2016.5.28
13.27,-,79,Veiland Violetta,98,ZALASZÁM-ZAC,F,Maribor (SLO),2016.7.15
13.21,-,80,Veiland Violetta,98,ZALASZÁM-ZAC,F,Székesfehérvár (HUN),2016.9.11
13.13,-,81,Krizsán Xénia,93,MTK Budapest,CE,Talence (FRA),2016.9.17
13.04,-,82,Zsivoczky-Farkas Györgyi,85,BHSE,F,Zalaegerszeg (HUN),2016.6.11
12.9,8,83,Azumah Felícia,99,BSC,F,Szentes (HUN),2016.9.24
12.87,-,84,Veiland Violetta,98,ZALASZÁM-ZAC,F,Szekszárd (HUN),2016.5.15
12.83,-,85,Veiland Violetta,98,ZALASZÁM-ZAC,F,Szombathely (HUN),2016.3.19
