Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
32:44,1,1,Lövei Vanda,6,DVTK,F1,Szentgál (HUN),2023.4.02
33:26,2,2,Iker Natália,5,Csepeli DAC,F1,Szentgál (HUN),2023.4.02
34:07,3,3,Galsi Laura,6,Csepeli DAC,F1,Szentgál (HUN),2023.4.02
34:19,4,4,Dolmány Emma,7,SMAFC,F1,Szentgál (HUN),2023.4.02
34:26,5,5,Dobó Eszter,5,Vasas,F1,Szentgál (HUN),2023.4.02
34:46,6,6,Cseh Krisztina,7,Centrál Elit AC,F1,Szentgál (HUN),2023.4.02
35:53,7,7,Buglos Flóra,7,Vasas,F1,Szentgál (HUN),2023.4.02
36:15,8,8,Esső Dóra,7,VEDAC,F1,Szentgál (HUN),2023.4.02
36:26,9,9,Szemán Kitti,4,VEDAC,F1,Szentgál (HUN),2023.4.02
39:01,10,10,Tákos Csenge,4,BHSE,F1,Szentgál (HUN),2023.4.02
39:20,11,11,Reicher Dorka,6,Tovafutók SE,F1,Szentgál (HUN),2023.4.02
39:42,12,12,Kozma Réka,5,DVTK,F1,Szentgál (HUN),2023.4.02
40:18,13,13,Németh Dóra,6,VEDAC,F1,Szentgál (HUN),2023.4.02
41:18,14,14,Zibrinyi Luca,6,DVTK,F1,Szentgál (HUN),2023.4.02
41:39,15,15,Lövei Gréta,4,DVTK,F1,Szentgál (HUN),2023.4.02
44:40,16,16,Molitorisz Noémi,6,DVTK,F1,Szentgál (HUN),2023.4.02
47:44,17,17,Béres Emma,6,DVTK,F1,Szentgál (HUN),2023.4.02
33:50,1,1,Dolmány Emma,7,SMAFC,F1,Szentgál (HUN),2024.4.07
34:02,2,2,Iker Natália,5,Csepel TC,F1,Szentgál (HUN),2024.4.07
34:38,3,3,Dobó Eszter,5,Vasas,F1,Szentgál (HUN),2024.4.07
36:00,4,4,Lövei Vanda,6,DVTK,F1,Szentgál (HUN),2024.4.07
36:30,5,5,Gombár Zoé,8,DVTK,F1,Szentgál (HUN),2024.4.07
36:34,6,6,Galsi Laura,6,Csepel TC,F1,Szentgál (HUN),2024.4.07
36:52,7,7,Cseh Krisztina,7,Centrál Elit AC,F1,Szentgál (HUN),2024.4.07
37:17,8,8,Nemes Réka,7,SMAFC,F1,Szentgál (HUN),2024.4.07
38:47,9,9,Báles Pálma,5,VEDAC,F1,Szentgál (HUN),2024.4.07
40:54,10,10,Lőcse Hanna,8,DVTK,F1,Szentgál (HUN),2024.4.07
44:50,11,11,Reicher Dorka,6,Tovafutók SE,F1,Szentgál (HUN),2024.4.07
