Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
6.45,1.1,1,1,Bajnok Eszter,97,Favorit AC,F,Szombathely (HUN),2016.6.26
6.34,0.9,2,2,Schmelcz Vivien,92,TFSE,Q,Székesfehérvár (HUN),2016.7.3
6.31,0.1,3,3,Zsivoczky-Farkas Györgyi,85,BHSE,CE2,Rio de Janeiro (BRA),2016.8.13
6.3,1.5,-,4,Schmelcz Vivien,92,TFSE,F,Miskolc (HUN),2016.5.28
6.29,0.4,-,5,Bajnok Eszter,97,Favorit AC,F,Debrecen (HUN),2016.6.04
6.29,0.7,-,5,Bajnok Eszter,97,Favorit AC,F,Budapest (HUN),2016.6.19
6.23,1.2,-,7,Schmelcz Vivien,92,TFSE,F,Budapest (HUN),2016.6.19
6.23,1.0,-,7,Zsivoczky-Farkas Györgyi,85,BHSE,F,Székesfehérvár (HUN),2016.9.11
6.18,1.9,4,9,Lesti Diana,98,KARC,F,Szombathely (HUN),2016.6.26
6.18,1.1,-,9,Bajnok Eszter,97,Favorit AC,Q1,Bydgoszcz (POL),2016.7.21
6.17,1.5,5,11,Krizsán Xénia,93,MTK Budapest,F,Székesfehérvár (HUN),2016.7.31
6.16,1.4,6,12,Czuth Réka,94,AC Bonyhád,F,Lincoln (USA),2016.5.14
6.16,0.9,-,12,Bajnok Eszter,97,Favorit AC,F,Bydgoszcz (POL),2016.7.22
6.14,0.8,-,14,Krizsán Xénia,93,MTK Budapest,F,Szombathely (HUN),2016.6.26
6.13,1.9,7,15,Bánhidi-Farkas Petra,99,UTE,F,Miskolc (HUN),2016.7.03
6.13,0.9,-,15,Krizsán Xénia,93,MTK Budapest,CE1,Amsterdam (NED),2016.7.09
6.12,0.8,-,17,Lesti Diana,98,KARC,F,Budapest (HUN),2016.6.19
6.12,2.0,-,17,Schmelcz Vivien,92,TFSE,F,Maribor (SLO),2016.6.22
6.1,1.2,-,19,Schmelcz Vivien,92,TFSE,F,Szombathely (HUN),2016.6.26
6.08,1.7,-,20,Czuth Réka,94,AC Bonyhád,F,"Austin, TX (USA)",2016.4.16
6.08,-3.0,-,20,Bánhidi-Farkas Petra,99,UTE,F,Tbilisi (GEO),2016.7.17
6.08,-0.6,-,20,Krizsán Xénia,93,MTK Budapest,CE1,Rio de Janeiro (BRA),2016.8.13
6.07,2.0,-,23,Bánhidi-Farkas Petra,99,UTE,F,Brno (CZE),2016.6.11
6.07,0.5,-,23,Bánhidi-Farkas Petra,99,UTE,F,Budapest (HUN),2016.6.19
6.07,1.5,-,23,Bánhidi-Farkas Petra,99,UTE,Q,Székesfehérvár (HUN),2016.7.3
6.06,0.2,-,26,Schmelcz Vivien,92,TFSE,F,Veszprém (HUN),2016.6.12
6.06,1.3,-,26,Zsivoczky-Farkas Györgyi,85,BHSE,CE2,Amsterdam (NED),2016.7.09
6.05,-0.5,-,28,Bajnok Eszter,97,Favorit AC,F,Veszprém (HUN),2016.6.12
6.05,-0.6,-,28,Zsivoczky-Farkas Györgyi,85,BHSE,Q,Székesfehérvár (HUN),2016.7.3
6.05,1.8,-,28,Lesti Diana,98,KARC,F,Székesfehérvár (HUN),2016.7.31
6.05,1.1,-,28,Zsivoczky-Farkas Györgyi,85,BHSE,CE,Talence (FRA),2016.9.18
6.04,,8,32,Endrész Klaudia,1,ARAK,F,Székesfehérvár (HUN),2016.5.3
6.04,0.5,-,32,Bánhidi-Farkas Petra,99,UTE,F,Székesfehérvár (HUN),2016.9.11
6.02,0.0,-,34,Lesti Diana,98,KARC,F,Debrecen (HUN),2016.7.1
6.0,2.0,-,35,Endrész Klaudia,1,ARAK,F,Uherské Hradiste (CZE),2016.6.04
6.0,0.0,-,35,Zsivoczky-Farkas Györgyi,85,BHSE,F,Budapest (HUN),2016.9.03
5.99,0.0,-,37,Czuth Réka,94,AC Bonyhád,Q1,Lawrence (USA),2016.5.27
5.98,1.5,-,38,Lesti Diana,98,KARC,F,Székesfehérvár (HUN),2016.5.28
5.97,2.0,9,39,Csanádi Zsófia,96,TFSE,F,Szombathely (HUN),2016.6.26
5.97,-1.1,-,39,Zsivoczky-Farkas Györgyi,85,BHSE,F,Miskolc (HUN),2016.7.01
5.97,0.5,-,39,Csanádi Zsófia,96,TFSE,F,Maribor (SLO),2016.7.15
5.97,0.6,-,39,Lesti Diana,98,KARC,F,Székesfehérvár (HUN),2016.7.18
5.96,0.6,-,43,Krizsán Xénia,93,MTK Budapest,Q,Székesfehérvár (HUN),2016.7.3
5.96,0.0,-,43,Bánhidi-Farkas Petra,99,UTE,F,Budapest (HUN),2016.9.03
5.96,1.0,-,43,Krizsán Xénia,93,MTK Budapest,CE,Talence (FRA),2016.9.18
5.96,2.0,-,43,Bánhidi-Farkas Petra,99,UTE,F,Boissano (ITA),2016.9.29
5.94,-0.9,-,47,Lesti Diana,98,KARC,F,Miskolc (HUN),2016.7.01
