Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
4656,1,1,Zsivoczky-Farkas Györgyi,85,BHSE,F,"Portland, OR (USA)",2016.3.18
3909,2,2,Renner Luca,98,MATE - GEAC,F,Budapest (HUN),2016.2.13
3493,3,3,Szabó Beatrix,95,MTK Budapest,F,Budapest (HUN),2016.2.13
3418,4,4,Ajkler Eszter,97,MATE - GEAC,F,Budapest (HUN),2016.2.13
2967,5,5,Németh Nikolett,98,BEAC,F,Budapest (HUN),2016.2.13
2819,6,6,Horváthné Nyeste Ágnes,97,Békési DAC,F,Budapest (HUN),2016.2.13
4723,1,1,Zsivoczky-Farkas Györgyi,85,BHSE,F,Beograd (SRB),2017.3.03
4631,2,2,Krizsán Xénia,93,MTK Budapest,F,Beograd (SRB),2017.3.03
4533,-,3,Krizsán Xénia,93,MTK Budapest,F,Budapest (HUN),2017.2.11
3908,3,4,Szabó Beatrix,95,MTK Budapest,F,Budapest (HUN),2017.2.11
3078,4,5,Tóth Rebeka,99,UTE,F,Budapest (HUN),2017.2.11
2992,5,6,Horváthné Nyeste Ágnes,97,Békési DAC,F,Budapest (HUN),2017.2.11
2907,6,7,Szabó Daniella,92,BHSE,F,"Pittsburgh, PA (USA)",2017.12.09
2816,7,8,Kriszt Katalin,99,MATE - GEAC,F,Budapest (HUN),2017.2.11
2605,8,9,Szalai Szimonetta,98,UTE,F,Budapest (HUN),2017.2.11
2525,9,10,Veres Fanni,98,Békési DAC,F,Budapest (HUN),2017.2.11
4583,1,1,Krizsán Xénia,93,MTK Budapest,F,Budapest (HUN),2018.2.1
4559,-,2,Krizsán Xénia,93,MTK Budapest,F,Birmingham (GBR),2018.3.02
4328,2,3,Zsivoczky-Farkas Györgyi,85,BHSE,F,Budapest (HUN),2018.2.1
3928,3,4,Szabó Beatrix,95,MTK Budapest,F,Budapest (HUN),2018.2.1
3561,4,5,Nemes Rita,89,Miskolci Sportiskola,F,Budapest (HUN),2018.2.1
3295,5,6,Hajdú Lotti,98,Szolnoki MÁV-SE,F,Budapest (HUN),2018.2.1
3146,6,7,Tóth Rebeka,99,UTE,F,Budapest (HUN),2018.2.1
2988,7,8,Gődény Pálma,0,FTC,F,Budapest (HUN),2018.2.1
2865,8,9,Fekete Fanni,0,Reménység Vác,F,Budapest (HUN),2018.2.1
4608,1,1,Krizsán Xénia,93,MTK Budapest,F,Glasgow (GBR),2019.3.01
4463,-,2,Krizsán Xénia,93,MTK Budapest,F1,Budapest (HUN),2019.2.1
4058,2,3,Mátó Sára,0,ARAK,F1,Budapest (HUN),2019.2.1
3779,3,4,Szabó Beatrix,95,MTK Budapest,F1,Budapest (HUN),2019.2.1
