Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
4588,1,1,Szűcs Szabina,2,BHSE,F1,Budapest (HUN),2024.2.11
4219,-,2,Szűcs Szabina,2,BHSE,F,Glasgow (GBR),2024.3.01
3836,2,3,Bartha Lilla,3,Vasas,F1,Budapest (HUN),2024.2.11
3810,3,4,Barna Patrícia,3,KARC,F1,Budapest (HUN),2024.2.11
3496,4,5,Mórocz Boglárka,0,Vasas,F1,Budapest (HUN),2024.2.11
3220,5,6,Nemes Kincső,3,KSI SE,F1,Budapest (HUN),2024.2.11
3152,6,7,Pénzes Júlia,6,TSC-Geotech,F1,Budapest (HUN),2024.2.11
2971,7,8,Vancsik Petra,6,KARC,F1,Budapest (HUN),2024.2.11
2945,8,9,Hriczu Kinga,6,Csepel TC,F1,Budapest (HUN),2024.2.11
2795,9,10,Csepregi Nóra,6,Békéscsabai AC,F1,Budapest (HUN),2024.2.11
2591,10,11,Kerezsi Judit,4,KARC,F1,Budapest (HUN),2024.2.11
