Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
17.06,1,1,Kónya Enikő,2,UTE,F,Budapest (HUN),2016.2.06
16.8,2,2,Fodor Anna,1,DSC-SI,F,Budapest (HUN),2016.2.06
16.4,3,3,Áts Viktória,1,TSC-Geotech,F,Budapest (HUN),2016.2.06
16.3,4,4,Goschi Anna,2,FTC,F,Budapest (HUN),2016.2.06
15.96,-,5,Fodor Anna,1,DSC-SI,F,Nyíregyháza (HUN),2016.1.17
15.96,-,5,Áts Viktória,1,TSC-Geotech,F,Székesfehérvár (HUN),2016.1.23
15.84,5,7,Szűcs Szabina,2,KARC,F,Bonyhád (HUN),2016.1.27
15.71,6,8,Radócz Viktória,2,TSC-Geotech,F,Budapest (HUN),2016.2.06
15.68,7,9,Fodor Nikolett,1,III. kerület TVE,F,Dunakeszi (HUN),2016.1.17
15.49,8,10,Rácz Vivien,2,DSC-SI,F,Nyíregyháza (HUN),2016.1.23
15.4,9,11,Széki Dóra,1,NYSC,F,Nyíregyháza (HUN),2016.1.23
15.37,-,12,Széki Dóra,1,NYSC,F,Budapest (HUN),2016.2.06
15.34,-,13,Goschi Anna,2,FTC,F,Budapest (HUN),2016.1.24
15.28,10,14,Tóth Boglárka,2,ZALASZÁM-ZAC,F,Budapest (HUN),2016.2.06
15.17,11,15,Horváth Csenge,2,Favorit AC,F,Bonyhád (HUN),2016.2.1
15.07,-,16,Horváth Csenge,2,Favorit AC,F,Budapest (HUN),2016.2.06
15.06,12,17,Béres Luca,1,A-Plast Ikarus BSE,F,Budapest (HUN),2016.2.06
15.04,-,18,Horváth Csenge,2,Favorit AC,F,Bonyhád (HUN),2016.1.27
14.95,13,19,Tóth-Keppler Zsófia,2,Dunakeszi VSE,F,Dunakeszi (HUN),2016.1.17
14.95,-,19,Radócz Viktória,2,TSC-Geotech,F,Székesfehérvár (HUN),2016.1.23
14.92,-,21,Széki Dóra,1,NYSC,F,Nyíregyháza (HUN),2016.1.17
14.91,14,22,Ley Fanni,1,FTC,F,Budapest (HUN),2016.1.24
14.91,14,22,Kriston Tia,1,BHSE,F,Budapest (HUN),2016.1.24
14.9,-,24,Tóth-Keppler Zsófia,2,Dunakeszi VSE,F,Budapest (HUN),2016.2.06
14.86,16,25,Kerekes Dominika,2,DSC-SI,F,Nyíregyháza (HUN),2016.1.23
14.74,17,26,Ivancsó Adrienn,2,Csepeli DAC,F,Dunakeszi (HUN),2016.1.17
14.73,-,27,Tóth Boglárka,2,ZALASZÁM-ZAC,F,Zalaegerszeg (HUN),2016.1.29
14.67,18,28,Simon Zsófia,1,ARAK,F,Székesfehérvár (HUN),2016.1.23
14.58,19,29,Mazák Anna,1,ARAK,F,Székesfehérvár (HUN),2016.1.23
14.53,-,30,Ivancsó Adrienn,2,Csepeli DAC,F,Budapest (HUN),2016.2.06
14.47,20,31,Kovács Dorina,2,ARAK,F,Székesfehérvár (HUN),2016.1.23
14.47,20,31,Sándor Eszter,1,Szolnoki SC-SI,F,Budapest (HUN),2016.2.06
14.45,22,33,Simon Virág,2,Győri Atlétikai Club,F,Székesfehérvár (HUN),2016.1.23
14.32,-,34,Kovács Dorina,2,ARAK,F,Bonyhád (HUN),2016.1.27
14.3,23,35,Harsányi Júlia,2,Miskolci Sportiskola,F,Nyíregyháza (HUN),2016.1.17
14.2,24,36,Tigyi Zsuzsanna,2,Miskolci Sportiskola,F,Nyíregyháza (HUN),2016.1.17
14.18,-,37,Ley Fanni,1,FTC,F,Budapest (HUN),2016.2.06
14.12,25,38,Kiss Virág,2,NYSC,F,Nyíregyháza (HUN),2016.1.17
