Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
12.45,1,1,Kékesi Eszter,3,Egri Sportiskola SE,F,Budapest (HUN),2016.2.06
12.35,2,2,Veres Panna,3,UTE,F,Budapest (HUN),2016.2.06
12.2,3,3,Gábor Luca,3,KSI SE,F,Budapest (HUN),2016.2.06
12.17,4,4,Bognár Anna,3,UTE,F,Budapest (HUN),2016.2.06
12.05,5,5,Werderitsch Kata,3,KSI SE,F,Budapest (HUN),2016.2.06
11.93,6,6,Nagy Vanessza,3,Szolnoki SC-SI,F,Budapest (HUN),2016.2.06
11.78,7,7,Skriván Bíbor,3,PSN - Pécsi Sportiskola,F,Budapest (HUN),2016.2.06
11.69,8,8,Csalai-Kégl Sarolta,3,Budaörsi DSE,F,Dunakeszi (HUN),2016.1.17
11.53,9,9,Csalai-Kégl Patricia,3,Budaörsi DSE,F,Bonyhád (HUN),2016.2.1
11.48,-,10,Csalai-Kégl Sarolta,3,Budaörsi DSE,F,Bonyhád (HUN),2016.2.1
11.45,10,11,Hevesi Blanka,3,Csepeli DAC,F,Dunakeszi (HUN),2016.1.17
11.38,-,12,Skriván Bíbor,3,PSN - Pécsi Sportiskola,F,Bonyhád (HUN),2016.1.27
11.33,11,13,Kiss Gabriella,3,ARAK,F,Budapest (HUN),2016.2.06
11.32,12,14,Baranyai Luca,3,PSN - Pécsi Sportiskola,F,Budapest (HUN),2016.2.06
11.23,13,15,Pető Antónia,3,Mezőtúri AC,F,Budapest (HUN),2016.2.06
11.23,13,15,Záhonyi Bori,3,Albertirsai SE,F,Budapest (HUN),2016.2.06
11.19,15,17,Bartha Lilla,3,UTE,F,Budapest (HUN),2016.2.06
11.18,16,18,Nemes Nóra,3,FTC,F,Budapest (HUN),2016.2.06
11.15,-,19,Csalai-Kégl Patricia,3,Budaörsi DSE,F,Dunakeszi (HUN),2016.1.17
11.15,-,19,Hevesi Blanka,3,Csepeli DAC,F,Budapest (HUN),2016.2.06
11.05,17,21,Wéber Csenge,3,Csepeli DAC,F,Budapest (HUN),2016.2.06
11.04,18,22,Mórocz Zsófia,3,MAFC,F,Budapest (HUN),2016.2.06
11.0,-,23,Kiss Gabriella,3,ARAK,F,Bonyhád (HUN),2016.1.27
