Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
12.88,1,1,Mohai Regina,3,ARAK,F,Debrecen (HUN),2016.7.09
12.45,2,2,Kékesi Eszter,3,Egri Sportiskola SE,F,Debrecen (HUN),2016.7.09
12.45,2,2,Werderitsch Kata,3,KSI SE,F,Debrecen (HUN),2016.7.09
12.41,-,4,Kékesi Eszter,3,Egri Sportiskola SE,F,Tiszaújváros (HUN),2016.4.3
12.4,4,5,Gábor Luca,3,KSI SE,F,Debrecen (HUN),2016.7.09
12.35,5,6,Skriván Bíbor,3,PSN - Pécsi Sportiskola,CE,Székesfehérvár (HUN),2016.9.18
12.34,-,7,Skriván Bíbor,3,PSN - Pécsi Sportiskola,F,Debrecen (HUN),2016.7.09
12.3,6,8,Záhonyi Bori,3,Albertirsai SE,F,Debrecen (HUN),2016.7.09
12.16,7,9,Veres Panna,3,UTE,F,Tiszaújváros (HUN),2016.4.3
12.09,8,10,Bartha Lilla,3,UTE,F,Debrecen (HUN),2016.7.09
12.07,-,11,Bartha Lilla,3,UTE,CE,Székesfehérvár (HUN),2016.9.18
11.86,-,12,Záhonyi Bori,3,Albertirsai SE,F,Tiszaújváros (HUN),2016.4.3
11.83,9,13,Suppan Emma,3,III. kerület TVE,F,Tiszaújváros (HUN),2016.4.3
11.83,9,13,Dancsó Dorottya,3,Szekszárdi Sportközpont,F,Debrecen (HUN),2016.7.09
11.82,-,15,Gábor Luca,3,KSI SE,F,Tiszaújváros (HUN),2016.4.3
11.79,-,16,Kékesi Eszter,3,Egri Sportiskola SE,CE,Székesfehérvár (HUN),2016.9.18
11.73,11,17,Kiss Gabriella,3,ARAK,CE,Székesfehérvár (HUN),2016.9.18
11.69,12,18,Katona Enikő,3,KSI SE,CE,Székesfehérvár (HUN),2016.9.18
11.67,13,19,Gombolai Nóra,3,ARAK,F,Debrecen (HUN),2016.7.09
11.65,14,20,Imre Eszter,3,Kazincbarcikai VSE,F,Tiszaújváros (HUN),2016.4.3
11.64,15,21,Vajda Virág,3,A-Plast Ikarus BSE,F,Debrecen (HUN),2016.7.09
11.6,-,22,Skriván Bíbor,3,PSN - Pécsi Sportiskola,F,Szekszárd (HUN),2016.8.27
11.59,16,23,Takács Zsófia,3,Vasas,CE,Székesfehérvár (HUN),2016.9.18
11.56,17,24,Bognár Anna,3,UTE,F,Debrecen (HUN),2016.7.09
11.49,-,25,Kiss Gabriella,3,ARAK,F,Debrecen (HUN),2016.7.09
11.46,18,26,Csengeri Dorottya,3,NYSC,F,Debrecen (HUN),2016.7.09
11.37,19,27,Kónya Eszter,3,Békéscsabai AC,CE,Székesfehérvár (HUN),2016.9.18
11.34,20,28,Zánkai Zsófia,3,A-Plast Ikarus BSE,CE,Albertirsa (HUN),2016.8.27
11.33,21,29,Tóth Anna,3,Miskolci Sportiskola,F,Tiszaújváros (HUN),2016.4.3
11.28,22,30,Szeredi Luca,3,FTC,CE,Székesfehérvár (HUN),2016.9.18
11.26,-,31,Zánkai Zsófia,3,A-Plast Ikarus BSE,F,Debrecen (HUN),2016.7.09
11.25,-,32,Szeredi Luca,3,FTC,CE,Albertirsa (HUN),2016.8.27
11.22,-,33,Zánkai Zsófia,3,A-Plast Ikarus BSE,CE,Székesfehérvár (HUN),2016.9.18
11.13,23,34,Hegyi Boglárka,3,Jogging Plus,F,Debrecen (HUN),2016.7.09
11.11,-,35,Suppan Emma,3,III. kerület TVE,F,Debrecen (HUN),2016.7.09
11.11,24,35,Dobránsky Maja,3,KSI SE,F,Debrecen (HUN),2016.7.09
11.09,25,37,Beretzky Boglárka,3,Szombathelyi SI,CE,Székesfehérvár (HUN),2016.9.18
11.05,26,38,Fedor Veronika,3,Reménység Vác,CE,Albertirsa (HUN),2016.8.27
11.0,27,39,Szluka Kitti,3,Albertirsai SE,CE,Albertirsa (HUN),2016.8.27
10.99,28,40,Krámer Zita,3,A-Plast Ikarus BSE,F,Debrecen (HUN),2016.7.09
10.98,-,41,Szluka Kitti,3,Albertirsai SE,F,Debrecen (HUN),2016.7.09
10.79,29,42,Czeczon Csenge,3,A-Plast Ikarus BSE,F,Debrecen (HUN),2016.7.09
10.76,30,43,Tóth Lilla,3,A-Plast Ikarus BSE,CE,Albertirsa (HUN),2016.8.27
10.72,-,44,Szluka Kitti,3,Albertirsai SE,CE,Székesfehérvár (HUN),2016.9.18
10.66,31,45,Németh Vera,3,MATE - GEAC,CE,Székesfehérvár (HUN),2016.9.18
10.52,32,46,Németh Nóra,2,MATE - GEAC,CE,Székesfehérvár (HUN),2016.9.18
10.46,33,47,Baranyai Luca,3,PSN - Pécsi Sportiskola,CE,Székesfehérvár (HUN),2016.9.18
10.28,34,48,Böndicz Dorina,3,KARC,CE,Székesfehérvár (HUN),2016.9.18
10.07,35,49,Gálpál Zsófia,3,A-Plast Ikarus BSE,CE,Székesfehérvár (HUN),2016.9.18
10.03,-,50,Gálpál Zsófia,3,A-Plast Ikarus BSE,CE,Albertirsa (HUN),2016.8.27
13.15,1,1,Keszthelyi Luca,4,CVSE,F,Budapest (HUN),2017.7.08
13.08,2,2,Czepanecz Zsófi,4,ARAK,F,Budapest (HUN),2017.7.08
12.73,-,3,Czepanecz Zsófi,4,ARAK,CE,Székesfehérvár (HUN),2017.9.24
12.54,3,4,Vári Petra,4,KARC,F,Budapest (HUN),2017.7.08
12.51,4,5,Tokai Lili,4,Albertirsai SE,F,Budapest (HUN),2017.7.08
12.51,4,5,Botos Katalin,4,Csepeli DAC,CE,Albertirsa (HUN),2017.8.25
12.36,6,7,Grubits Liliána,4,ARAK,F,Budapest (HUN),2017.7.08
12.27,7,8,Kupi Vanda,4,KSI SE,F,Budapest (HUN),2017.7.08
12.17,8,9,Rőczei Gréta,4,Miskolci Sportiskola,F,Budapest (HUN),2017.7.08
12.11,-,10,Tokai Lili,4,Albertirsai SE,CE,Albertirsa (HUN),2017.8.25
12.06,9,11,Harkai Anna,4,KARC,CE,Székesfehérvár (HUN),2017.9.24
11.94,-,12,Rőczei Gréta,4,Miskolci Sportiskola,CE,Székesfehérvár (HUN),2017.9.24
11.87,-,13,Tokai Lili,4,Albertirsai SE,CE,Székesfehérvár (HUN),2017.9.24
11.86,-,14,Rőczei Gréta,4,Miskolci Sportiskola,F,Tiszaújváros (HUN),2017.4.29
11.8,10,15,Hegyes Zsanett,4,Csepeli DAC,F,Budapest (HUN),2017.7.08
11.79,-,16,Kupi Vanda,4,KSI SE,CE,Székesfehérvár (HUN),2017.9.24
11.78,11,17,Aradi Júlia,4,POSTÁS SE,F,Budapest (HUN),2017.7.08
11.77,12,18,Sütő Napsugár,4,KSI SE,F,Tiszaújváros (HUN),2017.4.29
11.74,13,19,Vass Anett,4,NYSC,F,Budapest (HUN),2017.7.08
11.68,-,20,Vass Anett,4,NYSC,F,Tiszaújváros (HUN),2017.4.29
11.64,-,21,Vári Petra,4,KARC,CE,Székesfehérvár (HUN),2017.9.24
11.59,14,22,Szabó Nóra,4,Győri Atlétikai Club,F,Budapest (HUN),2017.7.08
11.53,-,23,Sütő Napsugár,4,KSI SE,F,Budapest (HUN),2017.7.08
11.47,15,24,Makai Anna,4,Szolnoki SC-SI,CE,Székesfehérvár (HUN),2017.9.24
11.47,15,24,Kiss Regina,4,KARC,CE,Székesfehérvár (HUN),2017.9.24
11.46,-,26,Makai Anna,4,Szolnoki Honvéd,CE,Albertirsa (HUN),2017.8.25
11.43,17,27,Nagypál Zsófia,4,Egri Sportiskola SE,F,Budapest (HUN),2017.7.08
11.34,18,28,Perenyei Nóra,4,TSC-Geotech,F,Budapest (HUN),2017.7.08
11.27,19,29,Szabó Blanka,4,KSI SE,F,Tiszaújváros (HUN),2017.4.29
11.23,20,30,Kraut Zsófia,4,TSC-Geotech,F,Budapest (HUN),2017.7.08
11.19,21,31,Dóczi Csenge,4,KSI SE,F,Budapest (HUN),2017.7.08
11.17,22,32,Szőke Luca,4,Vasas,F,Budapest (HUN),2017.7.08
11.11,23,33,Dzsubák Fanni,4,Szolnoki SC-SI,CE,Székesfehérvár (HUN),2017.9.24
11.1,24,34,Bodó Gréta,4,ARAK,F,Budapest (HUN),2017.7.08
11.09,25,35,Takács Fanni,4,Tiszaújvárosi SC,F,Budapest (HUN),2017.7.08
11.09,25,35,Diós Luca,4,REAC SI SE,CE,Albertirsa (HUN),2017.8.25
11.09,25,35,Romsics Nóra,4,FTC,CE,Székesfehérvár (HUN),2017.9.24
11.03,28,38,Koller Dorina,4,ZALASZÁM-ZAC,F,Budapest (HUN),2017.7.08
11.0,29,39,Buzga Beatrix,4,NYSC,F,Budapest (HUN),2017.7.08
10.99,-,40,Szőke Luca,4,Vasas,CE,Székesfehérvár (HUN),2017.9.24
10.98,30,41,Posta Flóra,4,Szekszárdi Sportközpont,CE,Székesfehérvár (HUN),2017.9.24
10.94,-,42,Takács Fanni,4,Tiszaújvárosi SC,F,Tiszaújváros (HUN),2017.4.29
10.91,31,43,Carroll Anna,4,Vasas,CE,Székesfehérvár (HUN),2017.9.24
10.9,32,44,Domán Maya,4,MAFC,F,Budapest (HUN),2017.7.08
10.83,33,45,Kovács Fédra,4,REAC SI SE,F,Budapest (HUN),2017.7.08
10.79,34,46,Juhász Anna,4,CVSE,CE,Székesfehérvár (HUN),2017.9.24
10.77,35,47,Molnár Jázmin,4,TSC-Geotech,F,Budapest (HUN),2017.7.08
10.73,-,48,Perenyei Nóra,4,TSC-Geotech,CE,Székesfehérvár (HUN),2017.9.24
10.66,36,49,Pölös Csenge,4,FTC,F,Budapest (HUN),2017.7.08
10.63,37,50,Horváth Zsófi,4,Reménység Vác,CE,Székesfehérvár (HUN),2017.9.24
10.61,38,51,Gyursó Virág,4,Albertirsai SE,CE,Székesfehérvár (HUN),2017.9.24
10.6,39,52,Fajd Virág,4,REAC SI SE,F,Budapest (HUN),2017.7.08
10.58,40,53,Szatmári Dorka,4,UTE,F,Tiszaújváros (HUN),2017.4.29
10.54,41,54,Herczog Dóra,4,ARAK,CE,Székesfehérvár (HUN),2017.9.24
10.42,42,55,Kühne Dorka,4,KSI SE,CE,Székesfehérvár (HUN),2017.9.24
10.38,43,56,Zsigovics Panna,4,ARAK,CE,Székesfehérvár (HUN),2017.9.24
10.34,-,57,Gyursó Virág,4,Albertirsai SE,CE,Albertirsa (HUN),2017.8.25
10.32,-,58,Fajd Virág,4,REAC SI SE,CE,Albertirsa (HUN),2017.8.25
10.32,-,58,Molnár Jázmin,4,TSC-Geotech,CE,Székesfehérvár (HUN),2017.9.24
10.23,44,60,Zimmermann Lili,4,ARAK,CE,Székesfehérvár (HUN),2017.9.24
10.19,45,61,Makovecz Virág,4,ZALASZÁM-ZAC,CE,Székesfehérvár (HUN),2017.9.24
