Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
17.24,1,1,Szépe Flóra,0,ARAK,F,Székesfehérvár (HUN),2016.5.07
17.1,2,2,Fodor Anna,1,DSC-SI,F,Debrecen (HUN),2016.7.09
16.73,3,3,Bánhidi-Farkas Petra,99,UTE,F,Székesfehérvár (HUN),2016.5.07
16.63,4,4,Tóth Rebeka,99,UTE,F,Székesfehérvár (HUN),2016.5.07
16.58,-,5,Fodor Anna,1,DSC-SI,F,Székesfehérvár (HUN),2016.9.1
16.55,5,6,Endrész Klaudia,1,ARAK,F,Székesfehérvár (HUN),2016.5.07
16.52,-,7,Fodor Anna,1,DSC-SI,F,Tiszaújváros (HUN),2016.4.3
16.5,6,8,Áts Viktória,1,TSC-Geotech,F,Debrecen (HUN),2016.7.09
16.48,7,9,Kónya Enikő,2,UTE,F,Székesfehérvár (HUN),2016.9.1
16.33,-,10,Endrész Klaudia,1,ARAK,F,Székesfehérvár (HUN),2016.9.1
16.1,-,11,Kónya Enikő,2,UTE,F,Debrecen (HUN),2016.7.09
16.04,8,12,Balogh Csenge,1,NYSC,F,Debrecen (HUN),2016.7.09
15.98,9,13,Csincsi Barbara,0,ARAK,F,Székesfehérvár (HUN),2016.5.07
15.95,-,14,Kónya Enikő,2,UTE,F,Tiszaújváros (HUN),2016.4.3
15.92,10,15,Tóth Virág,1,Győri Atlétikai Club,F,Debrecen (HUN),2016.7.09
15.91,-,16,Áts Viktória,1,TSC-Geotech,F,Székesfehérvár (HUN),2016.5.07
15.91,11,16,Horváth Csenge,2,Favorit AC,F,Budapest (HUN),2016.5.22
15.86,-,18,Kónya Enikő,2,UTE,F,Budapest (HUN),2016.5.22
15.86,-,18,Horváth Csenge,2,Favorit AC,F,Debrecen (HUN),2016.7.09
15.76,12,20,Kerék Kata,99,ARAK,F,Székesfehérvár (HUN),2016.5.07
15.75,13,21,Kriston Tia,1,BHSE,F,Debrecen (HUN),2016.7.09
15.75,13,21,Radócz Viktória,2,TSC-Geotech,F,Debrecen (HUN),2016.7.09
15.71,-,23,Horváth Csenge,2,Favorit AC,F,Budapest (HUN),2016.8.19
15.57,-,24,Radócz Viktória,2,TSC-Geotech,F,Székesfehérvár (HUN),2016.5.07
15.51,15,25,Kühne Gréta,0,UTE,F,Székesfehérvár (HUN),2016.5.07
15.5,-,26,Áts Viktória,1,TSC-Geotech,F,Székesfehérvár (HUN),2016.9.1
15.49,-,27,Balogh Csenge,1,NYSC,F,Székesfehérvár (HUN),2016.9.1
15.48,16,28,Halász Szabó Emese,1,Titán TC,F,Debrecen (HUN),2016.7.09
15.44,-,29,Kriston Tia,1,BHSE,F,Budapest (HUN),2016.5.22
15.42,17,30,Goschi Anna,2,FTC,F,Budapest (HUN),2016.5.22
15.32,-,31,Tóth Virág,1,Győri Atlétikai Club,F,Székesfehérvár (HUN),2016.9.1
15.29,18,32,Harsányi Júlia,2,Miskolci Sportiskola,F,Székesfehérvár (HUN),2016.9.1
15.25,19,33,Béres Luca,1,A-Plast Ikarus BSE,F,Székesfehérvár (HUN),2016.9.1
15.18,20,34,Széki Dóra,1,NYSC,F,Debrecen (HUN),2016.7.09
15.14,-,35,Kriston Tia,1,BHSE,F,Tiszaújváros (HUN),2016.4.3
15.08,21,36,Veres Csilla,0,UTE,F,Székesfehérvár (HUN),2016.5.07
15.02,-,37,Széki Dóra,1,NYSC,F,Székesfehérvár (HUN),2016.9.1
15.01,-,38,Béres Luca,1,A-Plast Ikarus BSE,F,Budapest (HUN),2016.5.22
15.0,-,39,Radócz Viktória,2,TSC-Geotech,F,Székesfehérvár (HUN),2016.9.1
14.93,22,40,Tóth Gyöngyvér,2,UTE,F,Debrecen (HUN),2016.7.09
14.91,-,41,Tóth Gyöngyvér,2,UTE,F,Székesfehérvár (HUN),2016.9.1
14.82,23,42,Fazekas Rebeka,1,TSC-Geotech,F,Székesfehérvár (HUN),2016.5.07
